Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2016,D2,01/11/2016,5:06 p.m.,Christian Bros.,25,58,6,20,9,13,65,9,23,32,18,14,5,0,22,Ala.-Huntsville,21,49,10,25,23,26,75,6,26,32,16,14,5,0,18
Women,2016,D2,01/11/2016,5:06 p.m.,Ala.-Huntsville,21,49,10,25,23,26,75,6,26,32,16,14,5,0,18,Christian Bros.,25,58,6,20,9,13,65,9,23,32,18,14,5,0,22
Men,2017,D1,02/07/2017,6:30 p.m. ET,Alabama,30,71,8,27,22,33,90,13,49,62,11,24,6,5,36,South Carolina,23,88,5,31,35,50,86,23,29,52,7,14,11,2,26
Men,2017,D1,02/07/2017,6:30 p.m. ET,South Carolina,23,88,5,31,35,50,86,23,29,52,7,14,11,2,26,Alabama,30,71,8,27,22,33,90,13,49,62,11,24,6,5,36
Women,2017,D2,12/03/2016,2 pm,Western Wash.,28,54,3,11,10,13,69,5,22,27,19,21,10,4,15,Alas. Anchorage,31,64,8,21,10,12,80,11,21,32,21,18,12,2,13
Women,2017,D2,12/03/2016,2 pm,Alas. Anchorage,31,64,8,21,10,12,80,11,21,32,21,18,12,2,13,Western Wash.,28,54,3,11,10,13,69,5,22,27,19,21,10,4,15
Men,2017,D2,02/07/2017,7 pm,Alas. Anchorage,23,62,9,21,13,17,68,20,28,48,7,12,2,2,13,Alas. Fairbanks,24,56,7,19,6,7,61,4,22,26,6,8,9,3,16
Men,2017,D2,02/07/2017,7 pm,Alas. Fairbanks,24,56,7,19,6,7,61,4,22,26,6,8,9,3,16,Alas. Anchorage,23,62,9,21,13,17,68,20,28,48,7,12,2,2,13
Women,2016,D3,01/23/2016,2:00 pm,Albion,34,74,9,23,24,36,101,18,38,56,20,15,24,9,12,IIT,10,57,5,18,7,8,32,10,27,37,6,37,3,2,22
Women,2016,D3,01/23/2016,2:00 pm,IIT,10,57,5,18,7,8,32,10,27,37,6,37,3,2,22,Albion,34,74,9,23,24,36,101,18,38,56,20,15,24,9,12
Women,2016,D3,02/20/2016,3:00 PM,St. Mary's (IN),18,60,3,8,12,20,51,18,24,42,9,25,9,2,15,Albion,31,71,2,14,11,19,75,17,27,44,18,16,16,7,14
Women,2016,D3,02/20/2016,3:00 PM,Albion,31,71,2,14,11,19,75,17,27,44,18,16,16,7,14,St. Mary's (IN),18,60,3,8,12,20,51,18,24,42,9,25,9,2,15
Men,2017,D3,01/28/2017,3:15 PM,Allegheny,21,57,2,19,13,19,57,12,23,35,10,11,9,3,21,Hiram,22,59,8,24,17,24,69,20,27,47,10,13,7,4,17
Men,2017,D3,01/28/2017,3:15 PM,Hiram,22,59,8,24,17,24,69,20,27,47,10,13,7,4,17,Allegheny,21,57,2,19,13,19,57,12,23,35,10,11,9,3,21
Men,2016,D3,11/21/2015,5:10 pm,CWRU,36,63,10,26,14,20,96,11,23,34,13,14,9,3,18,Allegheny,28,60,4,12,19,24,79,11,20,31,10,13,9,3,19
Men,2016,D3,11/21/2015,5:10 pm,Allegheny,28,60,4,12,19,24,79,11,20,31,10,13,9,3,19,CWRU,36,63,10,26,14,20,96,11,23,34,13,14,9,3,18
Men,2017,D3,12/17/2016,3:00pm,Arcadia,31,48,9,16,20,28,91,4,27,31,21,24,9,0,18,Rosemont,30,73,8,33,14,24,82,20,15,35,19,16,9,0,24
Men,2017,D3,12/17/2016,3:00pm,Rosemont,30,73,8,33,14,24,82,20,15,35,19,16,9,0,24,Arcadia,31,48,9,16,20,28,91,4,27,31,21,24,9,0,18
Men,2016,D1,03/04/2016,6:30 p.m.,Austin Peay,32,60,8,19,25,29,97,14,20,34,11,16,8,1,18,Belmont,39,68,9,30,9,12,96,11,17,28,23,15,7,1,23
Men,2016,D1,03/04/2016,6:30 p.m.,Belmont,39,68,9,30,9,12,96,11,17,28,23,15,7,1,23,Austin Peay,32,60,8,19,25,29,97,14,20,34,11,16,8,1,18
Women,2016,D3,01/05/2016,5:30,Johnson St.,16,68,0,20,8,16,40,19,29,48,3,17,13,2,10,Colby-Sawyer,23,63,7,21,3,6,56,13,37,50,11,20,9,3,16
Women,2016,D3,01/05/2016,5:30,Colby-Sawyer,23,63,7,21,3,6,56,13,37,50,11,20,9,3,16,Johnson St.,16,68,0,20,8,16,40,19,29,48,3,17,13,2,10
Women,2017,D3,11/19/2016,5:14 PM,Rose-Hulman,14,45,1,11,18,22,47,7,20,27,7,17,5,6,21,DePauw,19,54,3,15,11,16,52,14,20,34,6,18,10,2,26
Women,2017,D3,11/19/2016,5:14 PM,DePauw,19,54,3,15,11,16,52,14,20,34,6,18,10,2,26,Rose-Hulman,14,45,1,11,18,22,47,7,20,27,7,17,5,6,21
Men,2017,D1,03/19/2017,12 p.m.,Belmont,21,63,11,33,4,5,57,13,27,40,15,17,2,2,18,Georgia Tech,26,56,6,15,13,21,71,6,30,36,23,8,11,3,9
Men,2017,D1,03/19/2017,12 p.m.,Georgia Tech,26,56,6,15,13,21,71,6,30,36,23,8,11,3,9,Belmont,21,63,11,33,4,5,57,13,27,40,15,17,2,2,18
Women,2016,D3,01/16/2016,1:00 p.m.,Hardin-Simmons,26,70,7,17,26,35,85,16,28,44,12,15,7,2,22,Sul Ross St.,28,67,4,18,22,36,82,20,35,55,15,20,10,3,23
Women,2016,D3,01/16/2016,1:00 p.m.,Sul Ross St.,28,67,4,18,22,36,82,20,35,55,15,20,10,3,23,Hardin-Simmons,26,70,7,17,26,35,85,16,28,44,12,15,7,2,22
Men,2016,D3,01/13/2016,7:30,Huntingdon,23,64,3,21,18,31,67,18,28,46,10,24,10,2,19,LaGrange,37,70,16,33,10,19,100,9,30,39,26,17,14,5,22
Men,2016,D3,01/13/2016,7:30,LaGrange,37,70,16,33,10,19,100,9,30,39,26,17,14,5,22,Huntingdon,23,64,3,21,18,31,67,18,28,46,10,24,10,2,19
Men,2016,D3,11/21/2015,2:00 PM,Luther,26,71,10,33,6,7,68,11,25,36,12,10,3,1,16,Rockford,34,65,7,17,13,16,88,7,35,42,15,7,1,3,13
