Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,11/12/2016,8:07,Akron,29,65,10,31,14,22,82,12,26,38,14,14,5,4,16,Youngstown St.,33,65,11,27,13,18,90,9,28,37,17,9,8,3,18
Men,2017,D1,11/12/2016,8:07,Youngstown St.,33,65,11,27,13,18,90,9,28,37,17,9,8,3,18,Akron,29,65,10,31,14,22,82,12,26,38,14,14,5,4,16
Women,2016,D1,01/29/2016,6 p.m.,Arizona,16,54,1,5,10,15,43,9,23,32,8,11,6,2,12,Oregon St.,27,58,9,18,8,11,71,11,33,44,17,11,7,4,12
Women,2016,D1,01/29/2016,6 p.m.,Oregon St.,27,58,9,18,8,11,71,11,33,44,17,11,7,4,12,Arizona,16,54,1,5,10,15,43,9,23,32,8,11,6,2,12
Women,2017,D1,02/03/2017,7:02 p.m.,Loyola Chicago,17,54,5,17,6,15,45,6,25,31,7,14,9,2,19,Bradley,26,60,7,18,13,16,72,11,38,49,21,14,10,4,12
Women,2017,D1,02/03/2017,7:02 p.m.,Bradley,26,60,7,18,13,16,72,11,38,49,21,14,10,4,12,Loyola Chicago,17,54,5,17,6,15,45,6,25,31,7,14,9,2,19
Women,2017,D3,01/18/2017,6:00pm,Medaille,33,71,10,29,22,32,98,14,29,43,20,14,16,3,22,D'Youville,23,57,6,15,18,25,70,7,30,37,18,24,8,1,24
Women,2017,D3,01/18/2017,6:00pm,D'Youville,23,57,6,15,18,25,70,7,30,37,18,24,8,1,24,Medaille,33,71,10,29,22,32,98,14,29,43,20,14,16,3,22
Women,2017,D3,11/30/2016,6:00pm,Penn St.-Behrend,23,59,2,20,3,3,51,9,28,37,15,29,7,3,19,D'Youville,20,59,3,20,16,26,59,7,18,25,16,14,20,4,8
Women,2017,D3,11/30/2016,6:00pm,D'Youville,20,59,3,20,16,26,59,7,18,25,16,14,20,4,8,Penn St.-Behrend,23,59,2,20,3,3,51,9,28,37,15,29,7,3,19
