Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2016,D2,01/30/2016,2 p.m.,Newberry,19,51,6,13,20,26,64,9,18,27,7,14,4,4,19,Anderson (SC),21,56,5,15,20,26,67,19,26,45,12,19,6,5,25
Women,2016,D2,01/30/2016,2 p.m.,Anderson (SC),21,56,5,15,20,26,67,19,26,45,12,19,6,5,25,Newberry,19,51,6,13,20,26,64,9,18,27,7,14,4,4,19
Men,2016,D1,01/28/2016,7:00 p.m.,Oregon,32,62,7,20,12,16,83,8,13,21,9,6,9,1,21,Arizona,25,41,6,14,19,25,75,5,24,29,18,19,1,4,16
Men,2016,D1,01/28/2016,7:00 p.m.,Arizona,25,41,6,14,19,25,75,5,24,29,18,19,1,4,16,Oregon,32,62,7,20,12,16,83,8,13,21,9,6,9,1,21
Men,2016,D3,01/20/2016,7:30 pm,Averett,29,67,9,22,6,11,73,12,16,28,19,7,11,3,13,Methodist,24,54,3,10,10,10,61,11,29,40,10,20,6,4,12
Men,2016,D3,01/20/2016,7:30 pm,Methodist,24,54,3,10,10,10,61,11,29,40,10,20,6,4,12,Averett,29,67,9,22,6,11,73,12,16,28,19,7,11,3,13
Women,2017,D3,01/21/2017,1:00 p.m.,Becker,15,53,2,20,12,22,44,14,22,36,7,21,12,2,13,Mitchell,21,57,5,17,4,8,51,16,29,45,12,27,10,4,25
Women,2017,D3,01/21/2017,1:00 p.m.,Mitchell,21,57,5,17,4,8,51,16,29,45,12,27,10,4,25,Becker,15,53,2,20,12,22,44,14,22,36,7,21,12,2,13
Men,2017,D3,02/16/2017,7:00 PM,Cal Lutheran,22,50,8,20,9,12,61,5,21,26,10,9,5,2,13,Claremont-M-S,24,54,2,14,8,10,58,10,25,35,10,12,6,2,15
Men,2017,D3,02/16/2017,7:00 PM,Claremont-M-S,24,54,2,14,8,10,58,10,25,35,10,12,6,2,15,Cal Lutheran,22,50,8,20,9,12,61,5,21,26,10,9,5,2,13
Men,2017,D1,12/21/2016,6:30 p.m.,Georgia St.,22,46,10,20,10,17,64,8,26,34,13,17,11,5,19,Middle Tenn.,18,51,7,26,13,18,56,10,21,31,9,13,10,2,16
Men,2017,D1,12/21/2016,6:30 p.m.,Middle Tenn.,18,51,7,26,13,18,56,10,21,31,9,13,10,2,16,Georgia St.,22,46,10,20,10,17,64,8,26,34,13,17,11,5,19
Men,2017,D1,03/04/2017,4:05 p.m.,Georgia Tech,25,57,5,20,6,11,61,8,23,31,15,16,8,4,15,Syracuse,29,54,15,24,17,22,90,6,27,33,18,13,9,4,12
Men,2017,D1,03/04/2017,4:05 p.m.,Syracuse,29,54,15,24,17,22,90,6,27,33,18,13,9,4,12,Georgia Tech,25,57,5,20,6,11,61,8,23,31,15,16,8,4,15
Men,2017,D1,03/21/2017,8 PM,Georgia Tech,27,52,3,15,17,20,74,6,27,33,21,15,11,8,13,Ole Miss,27,68,6,28,6,8,66,14,22,36,16,13,9,3,17
Men,2017,D1,03/21/2017,8 PM,Ole Miss,27,68,6,28,6,8,66,14,22,36,16,13,9,3,17,Georgia Tech,27,52,3,15,17,20,74,6,27,33,21,15,11,8,13
Women,2016,D3,12/05/2015,1:00 pm,Hardin-Simmons,26,72,9,23,16,22,77,14,25,39,13,9,7,2,24,East Tex. Baptist,25,56,5,17,23,29,78,6,33,39,14,14,4,5,18
Women,2016,D3,12/05/2015,1:00 pm,East Tex. Baptist,25,56,5,17,23,29,78,6,33,39,14,14,4,5,18,Hardin-Simmons,26,72,9,23,16,22,77,14,25,39,13,9,7,2,24
Women,2017,D2,12/03/2016,2:00 PM,BYU-Hawaii,18,56,5,17,8,9,49,13,26,39,14,22,8,3,18,Holy Names,21,58,5,15,11,17,58,15,25,40,15,18,11,1,10
Women,2017,D2,12/03/2016,2:00 PM,Holy Names,21,58,5,15,11,17,58,15,25,40,15,18,11,1,10,BYU-Hawaii,18,56,5,17,8,9,49,13,26,39,14,22,8,3,18
Men,2016,D1,02/14/2016,1 p.m.,Indiana,26,69,11,30,6,10,69,16,18,34,20,11,3,5,14,Michigan St.,34,59,10,23,10,12,88,7,30,37,27,11,4,10,17
Men,2016,D1,02/14/2016,1 p.m.,Michigan St.,34,59,10,23,10,12,88,7,30,37,27,11,4,10,17,Indiana,26,69,11,30,6,10,69,16,18,34,20,11,3,5,14
Men,2016,D3,01/29/2016,8:00 p.m.,Whitworth,22,52,7,17,16,21,67,6,31,37,12,5,5,5,13,Linfield,19,58,6,27,11,14,55,10,25,35,10,7,3,3,18
Men,2016,D3,01/29/2016,8:00 p.m.,Linfield,19,58,6,27,11,14,55,10,25,35,10,7,3,3,18,Whitworth,22,52,7,17,16,21,67,6,31,37,12,5,5,5,13
