Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D3,02/03/2017,7:30 p.m.,Agnes Scott,19,50,1,7,5,11,44,11,23,34,10,19,11,2,6,Maryville (TN),24,54,11,28,2,2,61,7,24,31,19,15,12,3,13
Women,2017,D3,02/03/2017,7:30 p.m.,Maryville (TN),24,54,11,28,2,2,61,7,24,31,19,15,12,3,13,Agnes Scott,19,50,1,7,5,11,44,11,23,34,10,19,11,2,6
Men,2017,D2,01/28/2017,7:00 p.m.,Alas. Anchorage,29,65,6,12,19,25,83,12,23,35,11,7,5,1,22,Seattle Pacific,28,58,6,19,19,26,81,9,28,37,11,12,4,3,25
Men,2017,D2,01/28/2017,7:00 p.m.,Seattle Pacific,28,58,6,19,19,26,81,9,28,37,11,12,4,3,25,Alas. Anchorage,29,65,6,12,19,25,83,12,23,35,11,7,5,1,22
Women,2017,D2,02/25/2017,3:00 pm,Alas. Fairbanks,23,55,7,18,18,22,71,10,17,27,13,7,3,3,21,Western Wash.,28,56,4,11,18,21,78,11,24,35,13,10,3,1,22
Women,2017,D2,02/25/2017,3:00 pm,Western Wash.,28,56,4,11,18,21,78,11,24,35,13,10,3,1,22,Alas. Fairbanks,23,55,7,18,18,22,71,10,17,27,13,7,3,3,21
Men,2016,D3,01/09/2016,3:11 p.m.,Ohio Wesleyan,29,58,17,39,14,19,89,6,21,27,18,8,9,2,10,Allegheny,30,61,10,26,7,10,77,10,26,36,20,15,3,2,14
Men,2016,D3,01/09/2016,3:11 p.m.,Allegheny,30,61,10,26,7,10,77,10,26,36,20,15,3,2,14,Ohio Wesleyan,29,58,17,39,14,19,89,6,21,27,18,8,9,2,10
Men,2017,D3,11/15/2016,5:30 pm EST,Allegheny,23,53,9,23,8,17,63,13,34,47,15,21,2,6,30,Grove City,18,61,2,14,21,36,59,17,23,40,10,13,11,4,19
Men,2017,D3,11/15/2016,5:30 pm EST,Grove City,18,61,2,14,21,36,59,17,23,40,10,13,11,4,19,Allegheny,23,53,9,23,8,17,63,13,34,47,15,21,2,6,30
Women,2017,D3,11/19/2016,4 p.m.,D'Youville,12,59,3,18,16,25,43,14,26,40,2,29,8,2,15,Vassar,29,72,5,22,12,18,75,17,37,54,16,23,21,2,25
Women,2017,D3,11/19/2016,4 p.m.,Vassar,29,72,5,22,12,18,75,17,37,54,16,23,21,2,25,D'Youville,12,59,3,18,16,25,43,14,26,40,2,29,8,2,15
Men,2016,D2,12/10/2015,7:30 p.m.,Hawaii Hilo,29,70,11,30,6,10,75,10,21,31,13,15,4,1,16,Chaminade,34,62,7,20,14,19,89,9,32,41,12,15,7,2,15
Men,2016,D2,12/10/2015,7:30 p.m.,Chaminade,34,62,7,20,14,19,89,9,32,41,12,15,7,2,15,Hawaii Hilo,29,70,11,30,6,10,75,10,21,31,13,15,4,1,16
Women,2016,D1,02/20/2016,5:30 p.m.,Jacksonville St.,13,58,4,21,10,16,40,15,33,48,5,17,4,5,19,Tennessee St.,16,58,1,8,17,21,50,12,34,46,8,12,7,5,19
Women,2016,D1,02/20/2016,5:30 p.m.,Tennessee St.,16,58,1,8,17,21,50,12,34,46,8,12,7,5,19,Jacksonville St.,13,58,4,21,10,16,40,15,33,48,5,17,4,5,19
Men,2016,D3,11/20/2015,5:00 PM,Luther,25,61,9,25,6,11,65,9,20,29,13,11,1,1,16,Wis.-Eau Claire,30,60,9,18,10,16,79,13,29,42,11,11,4,3,15
Men,2016,D3,11/20/2015,5:00 PM,Wis.-Eau Claire,30,60,9,18,10,16,79,13,29,42,11,11,4,3,15,Luther,25,61,9,25,6,11,65,9,20,29,13,11,1,1,16
Men,2016,D2,12/16/2015,9:08 p.m.,Miles,17,66,4,19,8,14,46,17,31,48,7,21,9,8,16,Eckerd,25,67,6,17,14,16,70,9,36,45,15,13,13,5,13
