Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D2,12/17/2016,4:00 PM,Alas. Anchorage,29,67,6,17,14,17,78,20,25,45,15,14,10,0,22,Hawaii Hilo,12,45,4,12,11,16,39,10,19,29,9,25,4,2,21
Women,2017,D2,12/17/2016,4:00 PM,Hawaii Hilo,12,45,4,12,11,16,39,10,19,29,9,25,4,2,21,Alas. Anchorage,29,67,6,17,14,17,78,20,25,45,15,14,10,0,22
Women,2016,D2,11/27/2015,3:15 p.m.,Wis.-Parkside,25,60,8,18,19,25,77,13,24,37,14,19,5,2,22,Alas. Fairbanks,33,74,5,16,17,20,88,19,23,42,20,13,12,4,22
Women,2016,D2,11/27/2015,3:15 p.m.,Alas. Fairbanks,33,74,5,16,17,20,88,19,23,42,20,13,12,4,22,Wis.-Parkside,25,60,8,18,19,25,77,13,24,37,14,19,5,2,22
Women,2016,D2,01/28/2016,7 PM,Alas. Fairbanks,17,53,3,16,9,14,46,7,30,37,8,19,3,1,21,Mont. St. Billings,23,55,8,24,18,25,72,6,31,37,19,10,11,5,19
Women,2016,D2,01/28/2016,7 PM,Mont. St. Billings,23,55,8,24,18,25,72,6,31,37,19,10,11,5,19,Alas. Fairbanks,17,53,3,16,9,14,46,7,30,37,8,19,3,1,21
Men,2017,D2,01/28/2017,7:00 p.m.,Alas. Fairbanks,28,57,7,18,11,21,74,8,30,38,15,15,7,4,23,Saint Martin's,23,61,5,23,21,29,72,13,25,38,8,13,6,2,20
Men,2017,D2,01/28/2017,7:00 p.m.,Saint Martin's,23,61,5,23,21,29,72,13,25,38,8,13,6,2,20,Alas. Fairbanks,28,57,7,18,11,21,74,8,30,38,15,15,7,4,23
Women,2017,D3,01/10/2017,6:00 pm,Bard,14,41,0,6,3,14,31,4,20,24,2,36,2,0,17,Vassar,45,83,3,7,8,15,101,22,29,51,31,11,25,2,15
Women,2017,D3,01/10/2017,6:00 pm,Vassar,45,83,3,7,8,15,101,22,29,51,31,11,25,2,15,Bard,14,41,0,6,3,14,31,4,20,24,2,36,2,0,17
Women,2016,D1,02/24/2016,7:05 pm,Long Beach St.,18,52,7,21,18,25,61,8,24,32,11,17,12,2,19,Cal Poly,20,55,6,21,10,11,56,12,29,41,15,23,5,0,24
Women,2016,D1,02/24/2016,7:05 pm,Cal Poly,20,55,6,21,10,11,56,12,29,41,15,23,5,0,24,Long Beach St.,18,52,7,21,18,25,61,8,24,32,11,17,12,2,19
Women,2016,D1,02/25/2016,7:00 pm,South Dakota St.,23,55,7,16,7,10,60,12,15,27,9,14,9,4,15,IUPUI,26,57,3,10,8,11,63,17,20,37,12,15,11,7,13
Women,2016,D1,02/25/2016,7:00 pm,IUPUI,26,57,3,10,8,11,63,17,20,37,12,15,11,7,13,South Dakota St.,23,55,7,16,7,10,60,12,15,27,9,14,9,4,15
Men,2017,D3,01/26/2017,8 p.m.,Utica,27,59,7,20,12,16,73,13,36,49,13,21,7,6,11,Ithaca,24,69,4,26,1,3,53,11,20,31,9,15,12,2,16
Men,2017,D3,01/26/2017,8 p.m.,Ithaca,24,69,4,26,1,3,53,11,20,31,9,15,12,2,16,Utica,27,59,7,20,12,16,73,13,36,49,13,21,7,6,11
Men,2016,D3,01/30/2016,4:00PM,Loras,32,58,11,22,9,13,84,8,26,34,13,11,6,3,17,Luther,22,56,4,25,13,20,61,11,19,30,9,12,5,0,13
Men,2016,D3,01/30/2016,4:00PM,Luther,22,56,4,25,13,20,61,11,19,30,9,12,5,0,13,Loras,32,58,11,22,9,13,84,8,26,34,13,11,6,3,17
Men,2016,D3,02/10/2016,8:00PM,Simpson,21,49,8,22,14,20,64,7,27,34,9,14,4,2,16,Luther,24,58,10,23,3,6,61,10,24,34,14,13,4,1,17
Men,2016,D3,02/10/2016,8:00PM,Luther,24,58,10,23,3,6,61,10,24,34,14,13,4,1,17,Simpson,21,49,8,22,14,20,64,7,27,34,9,14,4,2,16
Men,2016,D2,02/01/2016,7:30 p.m.,Miles,20,53,6,12,30,39,76,11,26,37,2,11,5,0,15,Tuskegee,26,62,8,27,11,16,71,13,28,41,12,13,0,3,25
Men,2016,D2,02/01/2016,7:30 p.m.,Tuskegee,26,62,8,27,11,16,71,13,28,41,12,13,0,3,25,Miles,20,53,6,12,30,39,76,11,26,37,2,11,5,0,15
Women,2016,D1,01/16/2016,1 p.m.,New Mexico St.,20,51,11,25,19,20,70,12,32,44,15,20,8,2,17,Chicago St.,22,61,4,17,12,17,60,12,19,31,14,13,9,2,20
Women,2016,D1,01/16/2016,1 p.m.,Chicago St.,22,61,4,17,12,17,60,12,19,31,14,13,9,2,20,New Mexico St.,20,51,11,25,19,20,70,12,32,44,15,20,8,2,17
Men,2017,D2,01/28/2017,3 p.m.,Okla. Panhandle,29,66,10,24,13,21,81,11,29,40,13,17,4,4,22,Okla. Christian,27,61,4,19,26,38,84,10,31,41,18,13,8,3,15
Men,2017,D2,01/28/2017,3 p.m.,Okla. Christian,27,61,4,19,26,38,84,10,31,41,18,13,8,3,15,Okla. Panhandle,29,66,10,24,13,21,81,11,29,40,13,17,4,4,22
Men,2016,D2,01/28/2016,7:50 p.m.,Okla. Christian,24,51,3,11,15,21,66,7,26,33,11,12,3,5,19,St. Mary's (TX),25,57,5,14,15,18,70,8,23,31,10,8,5,4,21
Men,2016,D2,01/28/2016,7:50 p.m.,St. Mary's (TX),25,57,5,14,15,18,70,8,23,31,10,8,5,4,21,Okla. Christian,24,51,3,11,15,21,66,7,26,33,11,12,3,5,19
Women,2016,D1,11/22/2015,4 p.m.,Auburn,24,56,6,22,8,10,62,15,23,38,16,22,13,5,16,Savannah St.,14,41,5,21,7,20,40,6,18,24,9,25,9,1,15
Women,2016,D1,11/22/2015,4 p.m.,Savannah St.,14,41,5,21,7,20,40,6,18,24,9,25,9,1,15,Auburn,24,56,6,22,8,10,62,15,23,38,16,22,13,5,16
Women,2017,D2,12/03/2016,7pm AKST,Simon Fraser,30,63,8,24,11,16,79,18,16,34,17,17,8,1,18,Alas. Fairbanks,25,54,8,17,19,22,77,13,16,29,19,17,7,2,16
Women,2017,D2,12/03/2016,7pm AKST,Alas. Fairbanks,25,54,8,17,19,22,77,13,16,29,19,17,7,2,16,Simon Fraser,30,63,8,24,11,16,79,18,16,34,17,17,8,1,18
Men,2017,D2,12/17/2016,8 p.m.,Southwest Minn. St.,30,59,6,15,21,27,87,11,25,36,11,8,5,0,17,Sioux Falls,29,59,9,20,19,22,86,4,20,24,13,9,4,1,21
Men,2017,D2,12/17/2016,8 p.m.,Sioux Falls,29,59,9,20,19,22,86,4,20,24,13,9,4,1,21,Southwest Minn. St.,30,59,6,15,21,27,87,11,25,36,11,8,5,0,17
Women,2017,D2,11/19/2016,1 PM,Slippery Rock,22,67,6,20,8,12,58,19,17,36,12,11,7,1,15,Shippensburg,37,56,9,17,11,13,94,4,28,32,29,10,5,5,13
Women,2017,D2,11/19/2016,1 PM,Shippensburg,37,56,9,17,11,13,94,4,28,32,29,10,5,5,13,Slippery Rock,22,67,6,20,8,12,58,19,17,36,12,11,7,1,15
Men,2016,D1,12/08/2015,7:01 P.M.,UTSA,17,52,2,17,14,27,50,6,21,27,6,24,6,1,21,Texas,44,68,15,30,13,22,116,8,34,42,23,10,10,6,24
Men,2016,D1,12/08/2015,7:01 P.M.,Texas,44,68,15,30,13,22,116,8,34,42,23,10,10,6,24,UTSA,17,52,2,17,14,27,50,6,21,27,6,24,6,1,21
Women,2017,D1,01/22/2017,4 p.m.,LSU,21,59,4,6,6,7,52,16,19,35,10,8,9,6,16,Texas A&M,22,50,5,13,5,7,54,11,22,33,15,12,3,0,15
Women,2017,D1,01/22/2017,4 p.m.,Texas A&M,22,50,5,13,5,7,54,11,22,33,15,12,3,0,15,LSU,21,59,4,6,6,7,52,16,19,35,10,8,9,6,16
Men,2016,D3,02/10/2016,8 pm,Webster,31,65,8,23,3,6,73,8,10,18,20,8,7,2,13,MacMurray,37,61,8,18,9,12,91,13,23,36,26,12,2,1,8
Men,2016,D3,02/10/2016,8 pm,MacMurray,37,61,8,18,9,12,91,13,23,36,26,12,2,1,8,Webster,31,65,8,23,3,6,73,8,10,18,20,8,7,2,13
Women,2017,D3,12/04/2016,12 pm,Wilson,27,59,3,11,18,33,75,14,23,37,19,27,12,2,24,Penn St.-Berks,28,75,9,31,15,19,80,18,25,43,19,22,13,0,22
Women,2017,D3,12/04/2016,12 pm,Penn St.-Berks,28,75,9,31,15,19,80,18,25,43,19,22,13,0,22,Wilson,27,59,3,11,18,33,75,14,23,37,19,27,12,2,24
Women,2017,D3,01/10/2017,6:00pm,Penn St.-Abington,30,86,8,22,8,10,76,25,43,68,15,19,6,3,17,Wilson,21,68,2,20,11,22,55,9,27,36,12,16,10,3,15
Women,2017,D3,01/10/2017,6:00pm,Wilson,21,68,2,20,11,22,55,9,27,36,12,16,10,3,15,Penn St.-Abington,30,86,8,22,8,10,76,25,43,68,15,19,6,3,17
Women,2017,D1,01/19/2017,7:00 p.m.,Wisconsin,18,53,7,17,18,26,61,17,25,42,10,19,1,4,24,Ohio St.,24,57,7,19,15,24,70,12,23,35,11,13,4,6,18
Women,2017,D1,01/19/2017,7:00 p.m.,Ohio St.,24,57,7,19,15,24,70,12,23,35,11,13,4,6,18,Wisconsin,18,53,7,17,18,26,61,17,25,42,10,19,1,4,24
