Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2016,D2,12/10/2015,6:53 p.m.,West Ala.,27,59,6,16,3,4,63,6,22,28,17,8,3,3,11,Ala.-Huntsville,28,64,12,33,4,4,72,14,26,40,19,10,5,2,9
Women,2016,D2,12/10/2015,6:53 p.m.,Ala.-Huntsville,28,64,12,33,4,4,72,14,26,40,19,10,5,2,9,West Ala.,27,59,6,16,3,4,63,6,22,28,17,8,3,3,11
Men,2016,D2,12/31/2015,1:00 p.m.,Alas. Fairbanks,27,64,7,18,18,19,79,11,35,46,13,11,5,5,16,Saint Martin's,27,74,11,34,7,9,72,13,27,40,14,8,5,4,18
Men,2016,D2,12/31/2015,1:00 p.m.,Saint Martin's,27,74,11,34,7,9,72,13,27,40,14,8,5,4,18,Alas. Fairbanks,27,64,7,18,18,19,79,11,35,46,13,11,5,5,16
Women,2016,D2,02/06/2016,2:00 PM,Alas. Fairbanks,26,56,5,13,13,14,70,8,23,31,16,17,7,0,16,Concordia Portland,26,59,7,19,13,14,72,9,22,31,12,15,11,4,14
Women,2016,D2,02/06/2016,2:00 PM,Concordia Portland,26,59,7,19,13,14,72,9,22,31,12,15,11,4,14,Alas. Fairbanks,26,56,5,13,13,14,70,8,23,31,16,17,7,0,16
Women,2016,D1,11/18/2015,7:00 p.m.,Howard,6,39,1,7,15,23,28,11,19,30,3,30,5,3,18,Arizona,23,52,9,15,10,17,65,13,25,38,17,19,15,2,24
Women,2016,D1,11/18/2015,7:00 p.m.,Arizona,23,52,9,15,10,17,65,13,25,38,17,19,15,2,24,Howard,6,39,1,7,15,23,28,11,19,30,3,30,5,3,18
Women,2016,D1,01/10/2016,12 p.m.,Arizona St.,23,55,5,9,12,15,63,16,29,45,10,18,6,1,20,Washington St.,19,59,2,16,5,9,45,12,17,29,7,16,12,2,17
Women,2016,D1,01/10/2016,12 p.m.,Washington St.,19,59,2,16,5,9,45,12,17,29,7,16,12,2,17,Arizona St.,23,55,5,9,12,15,63,16,29,45,10,18,6,1,20
Women,2016,D1,01/02/2016,2 p.m.,Army West Point,30,62,7,17,2,4,69,11,21,32,15,15,6,11,18,Bucknell,27,62,12,21,13,14,79,13,20,33,18,11,9,4,12
Women,2016,D1,01/02/2016,2 p.m.,Bucknell,27,62,12,21,13,14,79,13,20,33,18,11,9,4,12,Army West Point,30,62,7,17,2,4,69,11,21,32,15,15,6,11,18
Women,2016,D1,12/19/2015,1:04 p.m.,Cal Poly,19,57,3,21,11,18,52,19,25,44,10,21,10,3,23,CSU Bakersfield,18,56,5,22,16,19,57,14,22,36,11,18,11,6,23
Women,2016,D1,12/19/2015,1:04 p.m.,CSU Bakersfield,18,56,5,22,16,19,57,14,22,36,11,18,11,6,23,Cal Poly,19,57,3,21,11,18,52,19,25,44,10,21,10,3,23
Women,2017,D1,02/17/2017,7:05 p.m.,Drexel,26,51,11,24,17,22,80,8,23,31,18,14,7,3,15,Towson,23,55,6,11,13,23,65,14,20,34,10,17,9,4,20
Women,2017,D1,02/17/2017,7:05 p.m.,Towson,23,55,6,11,13,23,65,14,20,34,10,17,9,4,20,Drexel,26,51,11,24,17,22,80,8,23,31,18,14,7,3,15
Men,2017,D1,01/26/2017,6:00 PM,San Diego,16,50,5,20,6,11,43,6,24,30,5,15,1,0,16,Gonzaga,34,64,6,20,5,9,79,8,30,38,19,5,7,3,17
Men,2017,D1,01/26/2017,6:00 PM,Gonzaga,34,64,6,20,5,9,79,8,30,38,19,5,7,3,17,San Diego,16,50,5,20,6,11,43,6,24,30,5,15,1,0,16
Men,2016,D2,12/03/2015,7:30 p.m.,East Central,25,49,8,20,10,16,68,7,25,32,9,23,7,4,18,Henderson St.,25,56,6,17,8,18,64,11,21,32,13,17,10,4,16
Men,2016,D2,12/03/2015,7:30 p.m.,Henderson St.,25,56,6,17,8,18,64,11,21,32,13,17,10,4,16,East Central,25,49,8,20,10,16,68,7,25,32,9,23,7,4,18
Women,2017,D1,02/15/2017,7:05 p.m.,Texas Tech,26,61,7,19,9,12,68,9,25,34,11,10,2,5,15,Iowa St.,28,62,10,25,13,16,79,10,27,37,21,7,5,3,14
Women,2017,D1,02/15/2017,7:05 p.m.,Iowa St.,28,62,10,25,13,16,79,10,27,37,21,7,5,3,14,Texas Tech,26,61,7,19,9,12,68,9,25,34,11,10,2,5,15
Women,2017,D3,11/18/2016,8:00 PM,Lynchburg,27,59,3,14,13,17,70,13,26,39,18,21,15,2,18,Greensboro,11,48,0,13,11,17,33,12,21,33,5,33,6,2,17
