Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2016,D1,02/27/2016,7:00 PM,UT Arlington,29,60,5,18,16,30,79,11,35,46,15,18,7,1,35,Arkansas St.,18,53,6,20,33,53,75,10,26,36,6,14,8,1,25
Men,2016,D1,02/27/2016,7:00 PM,Arkansas St.,18,53,6,20,33,53,75,10,26,36,6,14,8,1,25,UT Arlington,29,60,5,18,16,30,79,11,35,46,15,18,7,1,35
Men,2016,D1,12/16/2015,7:30 pm,Austin Peay,29,72,7,19,5,10,70,17,26,43,13,13,10,2,8,North Florida,31,63,13,38,5,7,80,7,29,36,19,14,6,6,10
Men,2016,D1,12/16/2015,7:30 pm,North Florida,31,63,13,38,5,7,80,7,29,36,19,14,6,6,10,Austin Peay,29,72,7,19,5,10,70,17,26,43,13,13,10,2,8
Women,2017,D1,12/22/2016,1:00 pm,Bradley,23,53,2,10,17,22,65,9,31,40,15,16,4,2,22,Ill.-Chicago,17,65,2,19,20,25,56,20,24,44,14,13,9,3,24
Women,2017,D1,12/22/2016,1:00 pm,Ill.-Chicago,17,65,2,19,20,25,56,20,24,44,14,13,9,3,24,Bradley,23,53,2,10,17,22,65,9,31,40,15,16,4,2,22
Women,2016,D3,11/14/2015,5:45pm,Minn.-Morris,21,61,6,18,10,17,58,5,23,28,9,15,7,0,16,Concordia-M'head,24,59,5,22,16,18,69,10,37,47,14,22,9,3,22
Women,2016,D3,11/14/2015,5:45pm,Concordia-M'head,24,59,5,22,16,18,69,10,37,47,14,22,9,3,22,Minn.-Morris,21,61,6,18,10,17,58,5,23,28,9,15,7,0,16
Women,2017,D1,01/02/2017,2:00 p.m.,Towson,16,55,3,11,13,22,48,10,26,36,11,11,7,2,19,Drexel,19,50,6,20,14,20,58,9,32,41,13,15,7,4,20
Women,2017,D1,01/02/2017,2:00 p.m.,Drexel,19,50,6,20,14,20,58,9,32,41,13,15,7,4,20,Towson,16,55,3,11,13,22,48,10,26,36,11,11,7,2,19
Men,2017,D2,11/23/2016,1:00 PM,Daemen,34,66,15,29,7,10,90,5,25,30,22,8,10,5,15,Edinboro,28,63,10,31,13,15,79,11,30,41,12,15,3,3,13
Men,2017,D2,11/23/2016,1:00 PM,Edinboro,28,63,10,31,13,15,79,11,30,41,12,15,3,3,13,Daemen,34,66,15,29,7,10,90,5,25,30,22,8,10,5,15
Women,2016,D3,02/18/2016,5:30 PM,Hardin-Simmons,23,54,4,13,9,13,59,6,22,28,6,20,6,3,9,Concordia (TX),30,60,10,24,11,13,81,7,27,34,14,13,14,3,16
Women,2016,D3,02/18/2016,5:30 PM,Concordia (TX),30,60,10,24,11,13,81,7,27,34,14,13,14,3,16,Hardin-Simmons,23,54,4,13,9,13,59,6,22,28,6,20,6,3,9
Men,2016,D2,02/23/2016,7:30pm,Point Loma,26,56,12,28,4,9,68,6,16,22,12,18,4,2,13,Hawaii Hilo,37,68,5,15,4,7,83,17,29,46,25,20,7,1,13
Men,2016,D2,02/23/2016,7:30pm,Hawaii Hilo,37,68,5,15,4,7,83,17,29,46,25,20,7,1,13,Point Loma,26,56,12,28,4,9,68,6,16,22,12,18,4,2,13
Women,2016,D3,02/19/2016,6:00 pm,Hendrix,15,50,0,11,10,13,40,9,27,36,6,17,10,3,12,Millsaps,17,50,4,14,9,12,47,9,29,38,4,13,7,3,17
Women,2016,D3,02/19/2016,6:00 pm,Millsaps,17,50,4,14,9,12,47,9,29,38,4,13,7,3,17,Hendrix,15,50,0,11,10,13,40,9,27,36,6,17,10,3,12
Women,2017,D2,01/25/2017,3:48 p.m.,Fresno Pacific,23,55,6,14,15,19,67,10,22,32,10,19,4,2,24,Holy Names,21,64,3,13,15,21,60,22,25,47,7,21,10,3,24
