Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D2,01/21/2017,2:00 PM,Alas. Fairbanks,23,50,7,21,19,24,72,8,25,33,16,18,9,0,17,Seattle Pacific,22,55,3,11,12,19,59,10,19,29,14,20,9,3,22
Women,2017,D2,01/21/2017,2:00 PM,Seattle Pacific,22,55,3,11,12,19,59,10,19,29,14,20,9,3,22,Alas. Fairbanks,23,50,7,21,19,24,72,8,25,33,16,18,9,0,17
Women,2016,D2,11/28/2015,3:15 pm,Northwood (MI),27,56,6,15,30,44,90,9,32,41,11,19,7,4,27,Alas. Fairbanks,24,62,8,20,22,29,78,7,29,36,15,15,12,5,29
Women,2016,D2,11/28/2015,3:15 pm,Alas. Fairbanks,24,62,8,20,22,29,78,7,29,36,15,15,12,5,29,Northwood (MI),27,56,6,15,30,44,90,9,32,41,11,19,7,4,27
Women,2017,D2,11/26/2016,3pm AKST,MSU Denver,20,51,6,21,24,28,70,13,27,40,11,15,3,1,24,Alas. Fairbanks,18,55,5,15,16,19,57,11,19,30,7,11,4,1,24
Women,2017,D2,11/26/2016,3pm AKST,Alas. Fairbanks,18,55,5,15,16,19,57,11,19,30,7,11,4,1,24,MSU Denver,20,51,6,21,24,28,70,13,27,40,11,15,3,1,24
Men,2016,D1,12/18/2015,6 p.m.,Arkansas St.,24,62,6,22,16,23,70,14,28,42,13,18,6,6,21,UT Martin,24,71,6,30,20,25,74,22,27,49,12,17,9,2,17
Men,2016,D1,12/18/2015,6 p.m.,UT Martin,24,71,6,30,20,25,74,22,27,49,12,17,9,2,17,Arkansas St.,24,62,6,22,16,23,70,14,28,42,13,18,6,6,21
Men,2016,D1,02/18/2016,7:30 p.m.,Arkansas St.,18,60,7,29,16,22,59,9,27,36,5,12,6,6,20,Ga. Southern,28,72,13,40,21,29,90,21,38,59,10,12,7,1,23
Men,2016,D1,02/18/2016,7:30 p.m.,Ga. Southern,28,72,13,40,21,29,90,21,38,59,10,12,7,1,23,Arkansas St.,18,60,7,29,16,22,59,9,27,36,5,12,6,6,20
Women,2016,D3,01/16/2016,5:00 PM,Colby-Sawyer,36,75,4,13,5,6,81,18,29,47,16,13,12,3,9,Green Mountain,20,50,7,15,3,6,50,3,22,25,14,24,6,0,9
Women,2016,D3,01/16/2016,5:00 PM,Green Mountain,20,50,7,15,3,6,50,3,22,25,14,24,6,0,9,Colby-Sawyer,36,75,4,13,5,6,81,18,29,47,16,13,12,3,9
Men,2017,D2,01/19/2017,8:00,Walsh,27,59,7,19,18,21,79,11,24,35,10,8,4,3,15,Hillsdale,30,59,10,27,7,10,77,7,21,28,21,9,5,2,18
Men,2017,D2,01/19/2017,8:00,Hillsdale,30,59,10,27,7,10,77,7,21,28,21,9,5,2,18,Walsh,27,59,7,19,18,21,79,11,24,35,10,8,4,3,15
Women,2017,D1,02/21/2017,7:05 p.m.,Iowa St.,30,53,10,15,20,29,90,10,26,36,18,10,7,4,15,Kansas,27,65,11,29,10,17,75,14,17,31,12,10,7,1,24
Women,2017,D1,02/21/2017,7:05 p.m.,Kansas,27,65,11,29,10,17,75,14,17,31,12,10,7,1,24,Iowa St.,30,53,10,15,20,29,90,10,26,36,18,10,7,4,15
Men,2017,D3,11/18/2016,8:00 PM,St. Joseph's (L.I.),28,69,9,27,8,14,73,6,25,31,7,16,2,2,18,Ithaca,42,75,10,24,17,18,111,9,36,45,28,11,11,1,15
Men,2017,D3,11/18/2016,8:00 PM,Ithaca,42,75,10,24,17,18,111,9,36,45,28,11,11,1,15,St. Joseph's (L.I.),28,69,9,27,8,14,73,6,25,31,7,16,2,2,18
Men,2016,D3,01/05/2016,7:00 pm,Goucher,22,50,2,10,16,19,62,10,19,29,11,13,9,1,23,Juniata,24,48,5,17,16,23,69,9,20,29,8,13,5,6,17
Men,2016,D3,01/05/2016,7:00 pm,Juniata,24,48,5,17,16,23,69,9,20,29,8,13,5,6,17,Goucher,22,50,2,10,16,19,62,10,19,29,11,13,9,1,23
Men,2016,D3,11/29/2015,2:00 PM,Linfield,28,65,12,36,11,17,79,12,22,34,18,15,13,2,24,Redlands,28,65,9,19,22,32,87,20,28,48,16,16,7,6,15
Men,2016,D3,11/29/2015,2:00 PM,Redlands,28,65,9,19,22,32,87,20,28,48,16,16,7,6,15,Linfield,28,65,12,36,11,17,79,12,22,34,18,15,13,2,24
Men,2016,D3,12/09/2015,7:05 p.m.,Luther,16,46,6,18,8,12,46,9,27,36,11,19,3,2,19,Wis.-La Crosse,19,55,7,28,13,16,58,10,23,33,13,9,6,5,16
Men,2016,D3,12/09/2015,7:05 p.m.,Wis.-La Crosse,19,55,7,28,13,16,58,10,23,33,13,9,6,5,16,Luther,16,46,6,18,8,12,46,9,27,36,11,19,3,2,19
Women,2016,D1,01/28/2016,8:05 pm,Tennessee,24,55,3,8,12,20,63,10,32,42,9,14,3,4,24,Mississippi St.,24,73,3,16,14,20,65,20,26,46,12,5,5,3,21
Women,2016,D1,01/28/2016,8:05 pm,Mississippi St.,24,73,3,16,14,20,65,20,26,46,12,5,5,3,21,Tennessee,24,55,3,8,12,20,63,10,32,42,9,14,3,4,24
Men,2016,D1,12/01/2015,7:00 PM ET,Oakland,27,65,11,29,17,21,82,13,24,37,11,11,5,3,18,Georgia,32,61,7,22,15,22,86,9,28,37,19,10,5,5,17
Men,2016,D1,12/01/2015,7:00 PM ET,Georgia,32,61,7,22,15,22,86,9,28,37,19,10,5,5,17,Oakland,27,65,11,29,17,21,82,13,24,37,11,11,5,3,18
Men,2016,D3,01/09/2016,3:00 PM,Ozarks (AR),34,80,13,30,10,13,91,15,22,37,22,7,6,2,12,Hardin-Simmons,40,83,20,46,12,18,112,24,33,57,32,12,6,9,7
Men,2016,D3,01/09/2016,3:00 PM,Hardin-Simmons,40,83,20,46,12,18,112,24,33,57,32,12,6,9,7,Ozarks (AR),34,80,13,30,10,13,91,15,22,37,22,7,6,2,12
Women,2016,D3,01/30/2016,1:00 pm,Regis (MA),23,68,5,12,24,39,75,22,27,49,16,12,11,5,16,Daniel Webster,24,56,10,17,13,17,71,7,33,40,14,23,6,3,26
Women,2016,D3,01/30/2016,1:00 pm,Daniel Webster,24,56,10,17,13,17,71,7,33,40,14,23,6,3,26,Regis (MA),23,68,5,12,24,39,75,22,27,49,16,12,11,5,16
Women,2016,D1,02/13/2016,2:05 PM,San Francisco,20,55,5,14,14,17,59,14,28,42,8,19,7,5,17,San Diego,22,59,4,13,6,8,54,10,23,33,8,16,5,3,15
Women,2016,D1,02/13/2016,2:05 PM,San Diego,22,59,4,13,6,8,54,10,23,33,8,16,5,3,15,San Francisco,20,55,5,14,14,17,59,14,28,42,8,19,7,5,17
Women,2017,D2,01/06/2017,5 p.m.,Indiana (PA),34,62,8,16,19,23,95,11,27,38,21,17,10,6,22,Slippery Rock,21,54,4,16,26,32,72,10,18,28,12,13,7,4,16
Women,2017,D2,01/06/2017,5 p.m.,Slippery Rock,21,54,4,16,26,32,72,10,18,28,12,13,7,4,16,Indiana (PA),34,62,8,16,19,23,95,11,27,38,21,17,10,6,22
Women,2016,D1,01/14/2016,11 a.m.,Texas St.,24,60,5,20,20,26,73,13,23,36,11,10,7,2,10,South Ala.,27,61,11,29,6,8,71,10,27,37,17,14,6,4,23
Women,2016,D1,01/14/2016,11 a.m.,South Ala.,27,61,11,29,6,8,71,10,27,37,17,14,6,4,23,Texas St.,24,60,5,20,20,26,73,13,23,36,11,10,7,2,10
Men,2017,D1,12/27/2016,6:01 P.M.,Kent St.,26,69,3,17,8,13,63,22,31,53,10,21,8,2,23,Texas,21,58,2,18,14,24,58,11,23,34,7,18,10,6,19
Men,2017,D1,12/27/2016,6:01 P.M.,Texas,21,58,2,18,14,24,58,11,23,34,7,18,10,6,19,Kent St.,26,69,3,17,8,13,63,22,31,53,10,21,8,2,23
