Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D1,01/05/2017,7:00 p.m.,A&M-Corpus Chris,17,52,2,8,20,26,56,15,18,33,9,25,8,6,21,SFA,24,60,2,15,14,21,64,19,23,42,12,20,14,3,18
Women,2017,D1,01/05/2017,7:00 p.m.,SFA,24,60,2,15,14,21,64,19,23,42,12,20,14,3,18,A&M-Corpus Chris,17,52,2,8,20,26,56,15,18,33,9,25,8,6,21
Women,2017,D3,01/29/2017,2:00 pm,Piedmont,25,54,8,26,4,8,62,7,18,25,16,13,10,1,7,Agnes Scott,17,45,0,13,2,5,36,12,25,37,6,27,5,0,4
Women,2017,D3,01/29/2017,2:00 pm,Agnes Scott,17,45,0,13,2,5,36,12,25,37,6,27,5,0,4,Piedmont,25,54,8,26,4,8,62,7,18,25,16,13,10,1,7
Men,2017,D1,12/14/2016,7:30 pm,Alabama St.,15,59,3,21,13,27,46,18,24,42,6,21,11,0,17,Tennessee St.,25,53,5,17,13,22,68,9,32,41,12,20,13,10,23
Men,2017,D1,12/14/2016,7:30 pm,Tennessee St.,25,53,5,17,13,22,68,9,32,41,12,20,13,10,23,Alabama St.,15,59,3,21,13,27,46,18,24,42,6,21,11,0,17
Men,2017,D2,02/25/2017,7:00pm,Northwest Nazarene,25,55,8,22,12,20,70,7,32,39,6,17,4,2,17,Alas. Fairbanks,29,66,7,29,8,11,73,8,28,36,16,11,8,1,14
Men,2017,D2,02/25/2017,7:00pm,Alas. Fairbanks,29,66,7,29,8,11,73,8,28,36,16,11,8,1,14,Northwest Nazarene,25,55,8,22,12,20,70,7,32,39,6,17,4,2,17
Women,2016,D3,12/30/2015,03:15 PM,Albion,20,59,0,10,14,25,54,13,32,45,11,23,5,4,24,Chapman,25,70,3,17,16,20,69,14,31,45,15,14,12,1,25
Women,2016,D3,12/30/2015,03:15 PM,Chapman,25,70,3,17,16,20,69,14,31,45,15,14,12,1,25,Albion,20,59,0,10,14,25,54,13,32,45,11,23,5,4,24
Women,2016,D3,12/31/2015,5:30 PM,Southwestern (TX),29,60,1,8,16,22,75,10,22,32,20,17,13,3,14,Hardin-Simmons,26,59,9,23,9,13,70,13,25,38,15,21,10,1,21
Women,2016,D3,12/31/2015,5:30 PM,Hardin-Simmons,26,59,9,23,9,13,70,13,25,38,15,21,10,1,21,Southwestern (TX),29,60,1,8,16,22,75,10,22,32,20,17,13,3,14
Women,2017,D2,11/19/2016,1 p.m.,Hillsdale,25,61,7,19,15,20,72,13,30,43,14,17,16,2,14,Wis.-Parkside,21,60,4,16,4,8,50,11,26,37,9,23,9,5,19
Women,2017,D2,11/19/2016,1 p.m.,Wis.-Parkside,21,60,4,16,4,8,50,11,26,37,9,23,9,5,19,Hillsdale,25,61,7,19,15,20,72,13,30,43,14,17,16,2,14
Men,2016,D1,02/06/2016,8:06 p.m.,Indiana,17,47,9,27,20,26,63,8,28,36,12,15,5,2,18,Penn St.,25,60,8,24,10,16,68,10,22,32,11,7,8,2,22
Men,2016,D1,02/06/2016,8:06 p.m.,Penn St.,25,60,8,24,10,16,68,10,22,32,11,7,8,2,22,Indiana,17,47,9,27,20,26,63,8,28,36,12,15,5,2,18
Men,2017,D3,01/14/2017,4 p.m.,Nazareth,29,63,11,20,24,29,93,7,30,37,16,9,3,4,17,Ithaca,27,64,4,19,21,25,79,9,31,40,15,10,5,6,23
Men,2017,D3,01/14/2017,4 p.m.,Ithaca,27,64,4,19,21,25,79,9,31,40,15,10,5,6,23,Nazareth,29,63,11,20,24,29,93,7,30,37,16,9,3,4,17
Women,2016,D1,01/13/2016,5:30 p.m.,Jacksonville St.,16,50,7,17,8,10,47,7,26,33,8,20,4,1,17,Southeast Mo. St.,26,57,5,15,4,11,61,9,26,35,19,14,9,1,16
Women,2016,D1,01/13/2016,5:30 p.m.,Southeast Mo. St.,26,57,5,15,4,11,61,9,26,35,19,14,9,1,16,Jacksonville St.,16,50,7,17,8,10,47,7,26,33,8,20,4,1,17
Women,2017,D3,02/01/2017,5:00 pm,Lynchburg,17,58,5,25,9,16,48,14,21,35,10,22,6,2,17,Guilford,23,48,2,4,10,16,58,7,29,36,12,25,7,1,14
Women,2017,D3,02/01/2017,5:00 pm,Guilford,23,48,2,4,10,16,58,7,29,36,12,25,7,1,14,Lynchburg,17,58,5,25,9,16,48,14,21,35,10,22,6,2,17
Men,2017,D1,11/17/2016,9:30pm,Michigan,27,53,9,23,16,20,79,6,29,35,15,17,3,5,17,Marquette,22,54,4,15,13,18,61,6,21,27,12,15,9,4,19
Men,2017,D1,11/17/2016,9:30pm,Marquette,22,54,4,15,13,18,61,6,21,27,12,15,9,4,19,Michigan,27,53,9,23,16,20,79,6,29,35,15,17,3,5,17
Women,2017,D1,03/11/2017,3 p.m. PT,Seattle U,16,48,2,10,14,20,48,11,23,34,3,13,13,3,13,New Mexico St.,23,58,5,19,12,17,63,17,25,42,11,14,12,3,18
Women,2017,D1,03/11/2017,3 p.m. PT,New Mexico St.,23,58,5,19,12,17,63,17,25,42,11,14,12,3,18,Seattle U,16,48,2,10,14,20,48,11,23,34,3,13,13,3,13
Women,2016,D2,11/21/2015,1:00,York (NE),13,47,4,18,13,23,43,2,25,27,6,25,8,0,16,Newman,29,72,5,19,15,18,78,20,31,51,22,15,12,2,22
Women,2016,D2,11/21/2015,1:00,Newman,29,72,5,19,15,18,78,20,31,51,22,15,12,2,22,York (NE),13,47,4,18,13,23,43,2,25,27,6,25,8,0,16
Men,2016,D3,01/30/2016,3:10 p.m.,Ozarks (AR),28,67,5,23,19,25,80,18,24,42,15,18,9,0,20,Belhaven,31,63,6,24,11,18,79,11,26,37,22,18,11,7,21
Men,2016,D3,01/30/2016,3:10 p.m.,Belhaven,31,63,6,24,11,18,79,11,26,37,22,18,11,7,21,Ozarks (AR),28,67,5,23,19,25,80,18,24,42,15,18,9,0,20
Women,2016,D3,01/02/2016,6:00 p.m.,Swarthmore,20,55,4,18,14,22,58,10,20,30,9,19,10,4,16,Roanoke,33,67,3,4,9,14,78,17,29,46,23,17,12,2,20
Women,2016,D3,01/02/2016,6:00 p.m.,Roanoke,33,67,3,4,9,14,78,17,29,46,23,17,12,2,20,Swarthmore,20,55,4,18,14,22,58,10,20,30,9,19,10,4,16
Men,2017,D2,01/20/2017,8:14 pm,Minnesota St.,23,51,8,22,14,27,68,6,26,32,10,11,5,5,22,Sioux Falls,19,48,6,18,23,28,67,4,25,29,7,15,6,2,20
Men,2017,D2,01/20/2017,8:14 pm,Sioux Falls,19,48,6,18,23,28,67,4,25,29,7,15,6,2,20,Minnesota St.,23,51,8,22,14,27,68,6,26,32,10,11,5,5,22
