Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,02/11/2017,12:07 pm CT,Kentucky,27,62,3,15,10,18,67,12,29,41,12,12,7,6,27,Alabama,23,51,3,14,9,26,58,9,29,38,4,16,3,0,20
Men,2017,D1,02/11/2017,12:07 pm CT,Alabama,23,51,3,14,9,26,58,9,29,38,4,16,3,0,20,Kentucky,27,62,3,15,10,18,67,12,29,41,12,12,7,6,27
Men,2017,D1,03/04/2017,1:01 p.m.,Alabama,19,47,8,17,8,13,54,5,27,32,10,13,4,6,19,Tennessee,19,59,7,23,14,20,59,15,25,40,12,7,2,6,13
Men,2017,D1,03/04/2017,1:01 p.m.,Tennessee,19,59,7,23,14,20,59,15,25,40,12,7,2,6,13,Alabama,19,47,8,17,8,13,54,5,27,32,10,13,4,6,19
Women,2017,D1,01/09/2017,5:30 p.m.,Alabama A&M,21,57,4,15,11,12,57,8,32,40,10,19,6,8,17,Ark.-Pine Bluff,22,72,8,25,9,15,61,21,28,49,15,14,8,4,15
Women,2017,D1,01/09/2017,5:30 p.m.,Ark.-Pine Bluff,22,72,8,25,9,15,61,21,28,49,15,14,8,4,15,Alabama A&M,21,57,4,15,11,12,57,8,32,40,10,19,6,8,17
Women,2017,D1,12/21/2016,7 p.m.,Alabama A&M,22,52,5,11,5,7,54,8,22,30,11,20,7,5,16,Evansville,22,59,7,21,12,17,63,19,22,41,13,17,10,2,8
Women,2017,D1,12/21/2016,7 p.m.,Evansville,22,59,7,21,12,17,63,19,22,41,13,17,10,2,8,Alabama A&M,22,52,5,11,5,7,54,8,22,30,11,20,7,5,16
Men,2017,D1,02/04/2017,5 p.m.,Ark.-Pine Bluff,24,60,8,25,9,14,65,12,23,35,12,13,3,2,26,Alabama St.,23,47,7,22,24,37,77,9,27,36,14,12,8,2,13
Men,2017,D1,02/04/2017,5 p.m.,Alabama St.,23,47,7,22,24,37,77,9,27,36,14,12,8,2,13,Ark.-Pine Bluff,24,60,8,25,9,14,65,12,23,35,12,13,3,2,26
Women,2017,D2,01/07/2017,12:00 p.m.,Alas. Anchorage,25,59,4,17,13,16,67,15,20,35,18,17,10,2,17,Concordia Portland,19,49,6,17,14,21,58,12,18,30,10,23,6,3,16
Women,2017,D2,01/07/2017,12:00 p.m.,Concordia Portland,19,49,6,17,14,21,58,12,18,30,10,23,6,3,16,Alas. Anchorage,25,59,4,17,13,16,67,15,20,35,18,17,10,2,17
Women,2016,D3,02/04/2016,7:00pm,Anna Maria,18,68,4,18,6,12,46,14,29,43,13,15,3,0,15,Western Conn. St.,30,80,5,23,13,22,78,26,38,64,20,11,9,5,12
Women,2016,D3,02/04/2016,7:00pm,Western Conn. St.,30,80,5,23,13,22,78,26,38,64,20,11,9,5,12,Anna Maria,18,68,4,18,6,12,46,14,29,43,13,15,3,0,15
Women,2016,D1,03/04/2016,2:00 p.m.,Arizona,19,61,5,18,8,11,51,12,27,39,11,15,4,1,12,UCLA,28,68,5,16,11,13,72,13,30,43,15,9,9,7,14
Women,2016,D1,03/04/2016,2:00 p.m.,UCLA,28,68,5,16,11,13,72,13,30,43,15,9,9,7,14,Arizona,19,61,5,18,8,11,51,12,27,39,11,15,4,1,12
Women,2016,D1,02/12/2016,7:00 p.m.,Arizona St.,22,57,8,18,12,13,64,14,18,32,14,10,3,1,17,California,18,46,5,11,8,14,49,9,20,29,11,14,5,1,14
Women,2016,D1,02/12/2016,7:00 p.m.,California,18,46,5,11,8,14,49,9,20,29,11,14,5,1,14,Arizona St.,22,57,8,18,12,13,64,14,18,32,14,10,3,1,17
Women,2017,D3,01/12/2017,5:30 p.m.,Regis (MA),25,54,11,19,15,19,76,11,31,42,17,15,5,7,17,Becker,17,58,7,18,8,13,49,10,20,30,10,15,8,1,23
Women,2017,D3,01/12/2017,5:30 p.m.,Becker,17,58,7,18,8,13,49,10,20,30,10,15,8,1,23,Regis (MA),25,54,11,19,15,19,76,11,31,42,17,15,5,7,17
Women,2017,D2,12/10/2016,5:00 PM,Chaminade,20,51,3,14,16,23,59,12,29,41,10,20,5,4,13,Hawaii Hilo,24,60,1,11,5,6,54,7,25,32,15,16,4,2,19
