Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2016,D2,03/23/2016,8:30pm,Grand Valley St.,15,47,6,25,11,17,47,8,13,21,12,17,10,0,15,Alas. Anchorage,24,44,8,17,11,14,67,7,25,32,9,19,8,2,19
Women,2016,D2,03/23/2016,8:30pm,Alas. Anchorage,24,44,8,17,11,14,67,7,25,32,9,19,8,2,19,Grand Valley St.,15,47,6,25,11,17,47,8,13,21,12,17,10,0,15
Men,2016,D2,11/20/2015,5 pm,Cal St. Dom. Hills,25,58,10,27,13,24,73,7,31,38,14,18,7,6,17,Alas. Fairbanks,33,73,5,23,10,16,81,12,32,44,19,13,5,2,20
Men,2016,D2,11/20/2015,5 pm,Alas. Fairbanks,33,73,5,23,10,16,81,12,32,44,19,13,5,2,20,Cal St. Dom. Hills,25,58,10,27,13,24,73,7,31,38,14,18,7,6,17
Men,2017,D3,12/03/2016,1:00 p.m.,Wittenberg,31,55,8,21,19,24,89,12,24,36,16,12,11,1,15,Allegheny,25,55,14,29,5,8,69,9,14,23,13,17,5,2,20
Men,2017,D3,12/03/2016,1:00 p.m.,Allegheny,25,55,14,29,5,8,69,9,14,23,13,17,5,2,20,Wittenberg,31,55,8,21,19,24,89,12,24,36,16,12,11,1,15
Women,2016,D2,03/05/2016,12:00 pm,Lincoln Memorial,18,68,1,14,14,21,51,17,25,42,4,21,11,3,28,Anderson (SC),22,58,4,16,21,31,69,14,37,51,12,22,7,6,24
Women,2016,D2,03/05/2016,12:00 pm,Anderson (SC),22,58,4,16,21,31,69,14,37,51,12,22,7,6,24,Lincoln Memorial,18,68,1,14,14,21,51,17,25,42,4,21,11,3,28
Women,2017,D2,01/03/2017,7:30 p.m.,Cheyney,21,55,3,12,14,22,59,15,29,44,12,18,14,6,17,Bloomsburg,17,67,5,19,9,16,48,24,22,46,13,18,9,4,19
Women,2017,D2,01/03/2017,7:30 p.m.,Bloomsburg,17,67,5,19,9,16,48,24,22,46,13,18,9,4,19,Cheyney,21,55,3,12,14,22,59,15,29,44,12,18,14,6,17
