Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D2,11/11/2016,8:05 p.m.,Alas. Fairbanks,25,65,7,25,14,18,71,9,22,31,11,12,10,3,26,Hawaii Pacific,22,59,9,27,25,31,78,18,34,52,12,20,6,2,19
Men,2017,D2,11/11/2016,8:05 p.m.,Hawaii Pacific,22,59,9,27,25,31,78,18,34,52,12,20,6,2,19,Alas. Fairbanks,25,65,7,25,14,18,71,9,22,31,11,12,10,3,26
Women,2016,D3,11/21/2015,3:00 PM,Ill. Wesleyan,22,63,5,20,8,14,57,17,22,39,13,19,10,5,17,Albion,22,59,1,16,9,14,54,16,24,40,12,19,7,3,17
Women,2016,D3,11/21/2015,3:00 PM,Albion,22,59,1,16,9,14,54,16,24,40,12,19,7,3,17,Ill. Wesleyan,22,63,5,20,8,14,57,17,22,39,13,19,10,5,17
Women,2016,D2,11/15/2015,3:45 p.m.,Anderson (SC),17,51,5,21,16,29,55,14,17,31,11,29,7,4,19,Western Caro.,27,60,3,13,15,21,72,19,25,44,12,26,14,4,26
Women,2016,D2,11/15/2015,3:45 p.m.,Western Caro.,27,60,3,13,15,21,72,19,25,44,12,26,14,4,26,Anderson (SC),17,51,5,21,16,29,55,14,17,31,11,29,7,4,19
Women,2017,D1,02/10/2017,7:00 p.m.,William & Mary,20,51,2,16,6,12,48,14,20,34,13,17,4,0,15,Drexel,25,55,9,23,6,12,65,13,20,33,13,12,5,3,13
Women,2017,D1,02/10/2017,7:00 p.m.,Drexel,25,55,9,23,6,12,65,13,20,33,13,12,5,3,13,William & Mary,20,51,2,16,6,12,48,14,20,34,13,17,4,0,15
Women,2017,D2,02/02/2017,5:30 PM,Holy Names,28,67,5,17,14,18,75,15,34,49,16,24,14,4,19,Academy of Art,23,72,7,18,16,21,69,16,23,39,13,20,15,7,17
Women,2017,D2,02/02/2017,5:30 PM,Academy of Art,23,72,7,18,16,21,69,16,23,39,13,20,15,7,17,Holy Names,28,67,5,17,14,18,75,15,34,49,16,24,14,4,19
Men,2017,D3,02/11/2017,3:00 p.m.,Marywood,21,58,8,23,11,20,61,11,37,48,9,19,3,9,20,Immaculata,20,69,6,27,25,32,71,16,29,45,10,10,10,2,18
Men,2017,D3,02/11/2017,3:00 p.m.,Immaculata,20,69,6,27,25,32,71,16,29,45,10,10,10,2,18,Marywood,21,58,8,23,11,20,61,11,37,48,9,19,3,9,20
Men,2016,D3,02/03/2016,9:30 p.m.,Luther,27,66,10,32,7,9,71,7,27,34,11,7,2,0,19,Central (IA),25,60,13,35,21,24,84,9,33,42,14,8,1,2,16
Men,2016,D3,02/03/2016,9:30 p.m.,Central (IA),25,60,13,35,21,24,84,9,33,42,14,8,1,2,16,Luther,27,66,10,32,7,9,71,7,27,34,11,7,2,0,19
Women,2016,D3,12/14/2015,7:00pm,Manhattanville,26,57,2,7,17,27,71,6,30,36,10,15,9,2,29,SUNY Oneonta,21,66,1,14,20,32,63,21,33,54,15,16,8,2,20
Women,2016,D3,12/14/2015,7:00pm,SUNY Oneonta,21,66,1,14,20,32,63,21,33,54,15,16,8,2,20,Manhattanville,26,57,2,7,17,27,71,6,30,36,10,15,9,2,29
Men,2017,D1,12/03/2016,7:00 pm,Vanderbilt,19,63,8,25,6,9,52,14,32,46,12,12,4,4,13,Minnesota,23,59,3,9,7,15,56,10,31,41,15,9,7,8,7
Men,2017,D1,12/03/2016,7:00 pm,Minnesota,23,59,3,9,7,15,56,10,31,41,15,9,7,8,7,Vanderbilt,19,63,8,25,6,9,52,14,32,46,12,12,4,4,13
Men,2016,D1,11/18/2015,7:00 p.m,Eastern Mich.,30,76,7,30,14,19,81,17,28,45,17,19,9,6,26,Oakland,29,71,12,31,21,24,91,16,27,43,22,14,3,4,21
