Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D3,01/28/2017,2:00 pm,Salem,25,73,5,24,3,8,58,15,29,44,17,7,6,2,16,Agnes Scott,19,67,3,15,12,15,53,19,33,52,13,12,4,2,11
Women,2017,D3,01/28/2017,2:00 pm,Agnes Scott,19,67,3,15,12,15,53,19,33,52,13,12,4,2,11,Salem,25,73,5,24,3,8,58,15,29,44,17,7,6,2,16
Women,2017,D3,01/11/2017,7:30 p.m.,Wesleyan (GA),16,63,3,19,15,27,50,9,27,36,6,12,9,5,25,Agnes Scott,21,57,0,6,23,32,65,14,44,58,8,19,2,2,20
Women,2017,D3,01/11/2017,7:30 p.m.,Agnes Scott,21,57,0,6,23,32,65,14,44,58,8,19,2,2,20,Wesleyan (GA),16,63,3,19,15,27,50,9,27,36,6,12,9,5,25
Women,2016,D2,11/17/2015,4:30 p.m.,Alas. Anchorage,25,68,5,23,7,12,62,18,25,43,7,22,8,4,30,Hawaii Pacific,15,44,2,10,19,30,51,6,26,32,10,27,4,3,16
Women,2016,D2,11/17/2015,4:30 p.m.,Hawaii Pacific,15,44,2,10,19,30,51,6,26,32,10,27,4,3,16,Alas. Anchorage,25,68,5,23,7,12,62,18,25,43,7,22,8,4,30
Women,2017,D2,01/11/2017,5 p.m.,Bridgeport,30,57,4,10,8,11,72,12,27,39,17,21,5,10,20,LIU Post,21,72,7,21,20,24,69,25,18,43,13,13,8,5,17
Women,2017,D2,01/11/2017,5 p.m.,LIU Post,21,72,7,21,20,24,69,25,18,43,13,13,8,5,17,Bridgeport,30,57,4,10,8,11,72,12,27,39,17,21,5,10,20
Women,2017,D1,03/17/2017,7:00 p.m.,Duquesne,16,50,6,22,9,14,47,8,22,30,9,15,7,3,20,Drexel,23,60,7,24,17,20,70,15,29,44,18,12,9,2,13
Women,2017,D1,03/17/2017,7:00 p.m.,Drexel,23,60,7,24,17,20,70,15,29,44,18,12,9,2,13,Duquesne,16,50,6,22,9,14,47,8,22,30,9,15,7,3,20
Women,2017,D1,11/17/2016,7:00 PM,Grand Canyon,18,64,7,31,4,9,47,12,18,30,12,22,5,1,21,Duke,33,64,5,11,19,26,90,11,35,46,20,13,12,4,19
Women,2017,D1,11/17/2016,7:00 PM,Duke,33,64,5,11,19,26,90,11,35,46,20,13,12,4,19,Grand Canyon,18,64,7,31,4,9,47,12,18,30,12,22,5,1,21
Men,2017,D1,11/22/2016,12:30 PM,NJIT,17,50,10,28,9,15,53,7,22,29,10,21,7,2,17,Georgia St.,32,56,2,13,8,16,74,7,32,39,10,16,8,3,21
Men,2017,D1,11/22/2016,12:30 PM,Georgia St.,32,56,2,13,8,16,74,7,32,39,10,16,8,3,21,NJIT,17,50,10,28,9,15,53,7,22,29,10,21,7,2,17
