Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2016,D2,03/01/2016,8:48 p.m.,Ala.-Huntsville,21,47,4,16,13,17,59,4,20,24,5,23,10,0,24,Shorter,24,49,3,14,21,26,72,8,24,32,6,19,13,1,23
Women,2016,D2,03/01/2016,8:48 p.m.,Ala.-Huntsville,21,47,4,16,13,17,59,4,20,24,5,23,10,0,24,Shorter,32,61,8,25,10,16,82,9,23,32,15,17,9,1,26
Women,2016,D2,03/01/2016,8:48 p.m.,Shorter,24,49,3,14,21,26,72,8,24,32,6,19,13,1,23,Ala.-Huntsville,21,47,4,16,13,17,59,4,20,24,5,23,10,0,24
Women,2016,D2,03/01/2016,8:48 p.m.,Shorter,24,49,3,14,21,26,72,8,24,32,6,19,13,1,23,Ala.-Huntsville,27,55,2,16,30,35,86,8,24,32,13,14,8,2,19
Men,2016,D2,03/01/2016,8:48 p.m.,Shorter,32,61,8,25,10,16,82,9,23,32,15,17,9,1,26,Ala.-Huntsville,21,47,4,16,13,17,59,4,20,24,5,23,10,0,24
Men,2016,D2,03/01/2016,8:48 p.m.,Shorter,32,61,8,25,10,16,82,9,23,32,15,17,9,1,26,Ala.-Huntsville,27,55,2,16,30,35,86,8,24,32,13,14,8,2,19
Men,2016,D2,03/01/2016,8:48 p.m.,Ala.-Huntsville,27,55,2,16,30,35,86,8,24,32,13,14,8,2,19,Shorter,24,49,3,14,21,26,72,8,24,32,6,19,13,1,23
Men,2016,D2,03/01/2016,8:48 p.m.,Ala.-Huntsville,27,55,2,16,30,35,86,8,24,32,13,14,8,2,19,Shorter,32,61,8,25,10,16,82,9,23,32,15,17,9,1,26
Men,2017,D1,02/18/2017,5:30 p.m.,Alabama St.,22,58,7,23,16,25,67,14,22,36,9,18,7,2,16,Alcorn,26,50,8,17,15,22,75,7,28,35,12,16,6,3,19
Men,2017,D1,02/18/2017,5:30 p.m.,Alcorn,26,50,8,17,15,22,75,7,28,35,12,16,6,3,19,Alabama St.,22,58,7,23,16,25,67,14,22,36,9,18,7,2,16
Men,2017,D2,01/05/2017,7:00pm,Alas. Anchorage,26,51,6,16,19,30,77,11,31,42,11,8,2,2,17,Simon Fraser,15,55,6,22,11,14,47,8,19,27,6,9,6,5,26
Men,2017,D2,01/05/2017,7:00pm,Simon Fraser,15,55,6,22,11,14,47,8,19,27,6,9,6,5,26,Alas. Anchorage,26,51,6,16,19,30,77,11,31,42,11,8,2,2,17
Men,2016,D2,01/23/2016,7:30 pm,Alas. Fairbanks,21,59,5,18,12,15,59,11,28,39,14,10,8,2,12,Western Ore.,19,56,13,31,13,14,64,10,29,39,13,13,8,6,16
Men,2016,D2,01/23/2016,7:30 pm,Western Ore.,19,56,13,31,13,14,64,10,29,39,13,13,8,6,16,Alas. Fairbanks,21,59,5,18,12,15,59,11,28,39,14,10,8,2,12
Women,2016,D3,11/20/2015,07:39 PM,Rose-Hulman,21,52,2,14,9,15,53,13,24,37,10,13,2,4,15,Albion,17,58,4,19,7,9,45,17,18,35,7,14,4,1,17
Women,2016,D3,11/20/2015,07:39 PM,Albion,17,58,4,19,7,9,45,17,18,35,7,14,4,1,17,Rose-Hulman,21,52,2,14,9,15,53,13,24,37,10,13,2,4,15
Men,2016,D3,01/13/2016,7:30 p.m.,Allegheny,21,50,9,23,2,3,53,6,20,26,12,20,5,1,20,Oberlin,24,48,7,21,13,20,68,6,21,27,17,14,11,3,13
Men,2016,D3,01/13/2016,7:30 p.m.,Oberlin,24,48,7,21,13,20,68,6,21,27,17,14,11,3,13,Allegheny,21,50,9,23,2,3,53,6,20,26,12,20,5,1,20
Women,2017,D3,02/13/2017,6:00 p.m.,Fitchburg St.,28,76,11,36,2,6,69,20,22,42,17,27,14,5,19,Becker,25,60,8,15,15,18,73,13,29,42,15,32,18,0,11
Women,2017,D3,02/13/2017,6:00 p.m.,Becker,25,60,8,15,15,18,73,13,29,42,15,32,18,0,11,Fitchburg St.,28,76,11,36,2,6,69,20,22,42,17,27,14,5,19
Women,2017,D2,01/21/2017,12:30 p.m.,Bridgeport,25,56,5,14,17,25,72,14,29,43,13,26,12,6,15,Mercy,24,57,5,14,6,11,59,6,23,29,18,23,12,3,21
Women,2017,D2,01/21/2017,12:30 p.m.,Mercy,24,57,5,14,6,11,59,6,23,29,18,23,12,3,21,Bridgeport,25,56,5,14,17,25,72,14,29,43,13,26,12,6,15
Men,2017,D3,01/05/2017,7:00 PM,Cal Lutheran,26,45,8,14,15,23,75,3,16,19,12,7,1,0,19,Pomona-Pitzer,28,53,6,14,15,23,77,12,20,32,16,7,4,1,15
Men,2017,D3,01/05/2017,7:00 PM,Pomona-Pitzer,28,53,6,14,15,23,77,12,20,32,16,7,4,1,15,Cal Lutheran,26,45,8,14,15,23,75,3,16,19,12,7,1,0,19
Women,2016,D3,12/11/2015,7 P.M.,Hamilton,26,55,5,11,5,10,62,5,28,33,13,18,4,8,15,Brockport,25,63,7,20,10,13,67,11,25,36,16,15,10,4,16
Women,2016,D3,12/11/2015,7 P.M.,Brockport,25,63,7,20,10,13,67,11,25,36,16,15,10,4,16,Hamilton,26,55,5,11,5,10,62,5,28,33,13,18,4,8,15
Women,2017,D2,01/05/2017,5:30 p.m.,East Central,24,48,10,21,9,13,67,3,20,23,12,17,6,4,22,Harding,25,55,7,23,17,24,74,12,23,35,13,16,9,3,20
Women,2017,D2,01/05/2017,5:30 p.m.,Harding,25,55,7,23,17,24,74,12,23,35,13,16,9,3,20,East Central,24,48,10,21,9,13,67,3,20,23,12,17,6,4,22
Men,2017,D2,01/21/2017,3:00,Tiffin,23,69,4,19,12,18,62,15,20,35,9,8,7,3,25,Hillsdale,23,49,10,23,24,28,80,9,34,43,14,15,4,10,20
Men,2017,D2,01/21/2017,3:00,Hillsdale,23,49,10,23,24,28,80,9,34,43,14,15,4,10,20,Tiffin,23,69,4,19,12,18,62,15,20,35,9,8,7,3,25
