Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D1,01/11/2017,8:55 p.m.,Southeastern La.,25,65,6,25,5,13,61,7,14,21,12,16,16,0,29,A&M-Corpus Chris,25,49,4,10,23,32,77,14,38,52,12,30,4,2,17
Women,2017,D1,01/11/2017,8:55 p.m.,A&M-Corpus Chris,25,49,4,10,23,32,77,14,38,52,12,30,4,2,17,Southeastern La.,25,65,6,25,5,13,61,7,14,21,12,16,16,0,29
Men,2017,D1,02/24/2017,8:00 pm,Akron,28,50,13,22,20,29,89,5,17,22,16,12,7,5,23,Buffalo,23,56,7,23,30,37,83,19,23,42,8,15,8,1,24
Men,2017,D1,02/24/2017,8:00 pm,Buffalo,23,56,7,23,30,37,83,19,23,42,8,15,8,1,24,Akron,28,50,13,22,20,29,89,5,17,22,16,12,7,5,23
Men,2017,D1,12/11/2016,3:05 PM,Alabama,24,58,2,19,6,9,56,11,22,33,8,18,7,4,18,Oregon,23,52,8,20,11,14,65,6,21,27,18,13,9,8,13
Men,2017,D1,12/11/2016,3:05 PM,Oregon,23,52,8,20,11,14,65,6,21,27,18,13,9,8,13,Alabama,24,58,2,19,6,9,56,11,22,33,8,18,7,4,18
Women,2016,D2,11/05/2015,4 pm,New Hope Christian,11,46,5,18,21,24,48,9,21,30,8,31,6,6,13,Alas. Anchorage,41,84,15,32,12,15,109,22,28,50,27,15,22,6,21
Women,2016,D2,11/05/2015,4 pm,Alas. Anchorage,41,84,15,32,12,15,109,22,28,50,27,15,22,6,21,New Hope Christian,11,46,5,18,21,24,48,9,21,30,8,31,6,6,13
Men,2016,D3,02/06/2016,7:30pm,Alma,23,54,7,24,4,6,57,5,25,30,16,13,8,2,17,Hope,24,62,7,24,16,22,71,16,27,43,10,10,8,1,11
Men,2016,D3,02/06/2016,7:30pm,Hope,24,62,7,24,16,22,71,16,27,43,10,10,8,1,11,Alma,23,54,7,24,4,6,57,5,25,30,16,13,8,2,17
Women,2016,D1,02/28/2016,2 p.m.,Arizona,24,55,3,8,12,19,63,15,23,38,9,19,7,2,15,Southern California,20,50,5,16,11,15,56,7,18,25,13,19,11,4,20
Women,2016,D1,02/28/2016,2 p.m.,Southern California,20,50,5,16,11,15,56,7,18,25,13,19,11,4,20,Arizona,24,55,3,8,12,19,63,15,23,38,9,19,7,2,15
Men,2017,D1,01/07/2017,7:30 p.m.,Colorado,27,62,9,29,10,14,73,12,26,38,11,15,5,4,25,Arizona,24,55,8,14,26,33,82,9,23,32,15,11,5,1,16
Men,2017,D1,01/07/2017,7:30 p.m.,Arizona,24,55,8,14,26,33,82,9,23,32,15,11,5,1,16,Colorado,27,62,9,29,10,14,73,12,26,38,11,15,5,4,25
Men,2016,D3,11/29/2015,5 p.m.,Randolph-Macon,29,54,16,25,2,6,76,7,18,25,16,12,3,2,18,Averett,32,60,7,13,14,21,85,16,20,36,20,10,6,2,12
Men,2016,D3,11/29/2015,5 p.m.,Averett,32,60,7,13,14,21,85,16,20,36,20,10,6,2,12,Randolph-Macon,29,54,16,25,2,6,76,7,18,25,16,12,3,2,18
Women,2017,D3,02/04/2017,2:00 p.m.,Union (NY),23,58,0,11,6,12,52,17,33,50,14,13,5,4,12,Bard,8,43,3,15,9,16,28,3,21,24,4,13,6,1,11
Women,2017,D3,02/04/2017,2:00 p.m.,Bard,8,43,3,15,9,16,28,3,21,24,4,13,6,1,11,Union (NY),23,58,0,11,6,12,52,17,33,50,14,13,5,4,12
Women,2017,D1,12/19/2016,7:00PM,Bradley,19,57,6,22,23,32,67,14,34,48,13,14,7,5,24,Valparaiso,19,61,2,19,16,18,56,8,27,35,8,12,1,5,23
Women,2017,D1,12/19/2016,7:00PM,Valparaiso,19,61,2,19,16,18,56,8,27,35,8,12,1,5,23,Bradley,19,57,6,22,23,32,67,14,34,48,13,14,7,5,24
Women,2017,D2,11/20/2016,1:00 pm,Bridgeport,20,60,4,17,19,28,63,13,33,46,11,20,10,4,11,Dominican (NY),20,64,2,17,6,9,48,10,32,42,11,20,12,3,24
Women,2017,D2,11/20/2016,1:00 pm,Dominican (NY),20,64,2,17,6,9,48,10,32,42,11,20,12,3,24,Bridgeport,20,60,4,17,19,28,63,13,33,46,11,20,10,4,11
Women,2016,D1,12/21/2015,3 p.m.,Cal Poly,14,65,0,9,15,18,43,12,15,27,7,12,10,1,22,Oregon St.,27,55,6,15,20,26,80,14,40,54,21,20,7,11,18
Women,2016,D1,12/21/2015,3 p.m.,Oregon St.,27,55,6,15,20,26,80,14,40,54,21,20,7,11,18,Cal Poly,14,65,0,9,15,18,43,12,15,27,7,12,10,1,22
Women,2017,D1,01/27/2017,7:05 p.m.,Drexel,16,51,6,20,9,15,47,14,19,33,13,19,10,3,20,James Madison,18,50,6,18,12,16,54,15,22,37,12,21,5,3,18
Women,2017,D1,01/27/2017,7:05 p.m.,James Madison,18,50,6,18,12,16,54,15,22,37,12,21,5,3,18,Drexel,16,51,6,20,9,15,47,14,19,33,13,19,10,3,20
Men,2017,D3,02/08/2017,8:15 p.m.,Immaculata,21,67,6,31,18,24,66,13,26,39,13,9,5,2,18,Gwynedd Mercy,22,68,3,23,13,20,60,20,35,55,9,18,1,5,20
Men,2017,D3,02/08/2017,8:15 p.m.,Gwynedd Mercy,22,68,3,23,13,20,60,20,35,55,9,18,1,5,20,Immaculata,21,67,6,31,18,24,66,13,26,39,13,9,5,2,18
Men,2017,D1,11/11/2016,11:05 a.m.,Howard,20,43,4,12,14,29,58,8,21,29,7,17,1,1,26,Michigan,22,52,9,24,23,26,76,10,20,30,16,10,9,4,21
Men,2017,D1,11/11/2016,11:05 a.m.,Michigan,22,52,9,24,23,26,76,10,20,30,16,10,9,4,21,Howard,20,43,4,12,14,29,58,8,21,29,7,17,1,1,26
Men,2017,D2,11/17/2016,7:30 p.m.,Northwestern Okla.,27,62,6,25,16,27,76,13,22,35,17,17,8,4,26,Harding,24,50,11,28,21,28,80,4,27,31,16,21,3,3,21
Men,2017,D2,11/17/2016,7:30 p.m.,Harding,24,50,11,28,21,28,80,4,27,31,16,21,3,3,21,Northwestern Okla.,27,62,6,25,16,27,76,13,22,35,17,17,8,4,26
Men,2016,D1,02/26/2016,9:00 p.m.,Detroit,39,84,7,26,12,16,97,16,16,32,11,7,8,1,23,Oakland,38,64,11,25,21,28,108,12,31,43,25,14,4,2,18
Men,2016,D1,02/26/2016,9:00 p.m.,Oakland,38,64,11,25,21,28,108,12,31,43,25,14,4,2,18,Detroit,39,84,7,26,12,16,97,16,16,32,11,7,8,1,23
Men,2017,D2,11/19/2016,8:10 pm,Concordia Wisconsin,22,58,9,24,12,17,65,4,17,21,11,14,7,1,19,Sioux Falls,39,63,13,26,9,13,100,9,35,44,21,15,6,8,18
