Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D1,11/30/2016,8:46 p.m.,Okla. Panhandle,13,49,1,7,13,18,40,12,18,30,5,16,7,5,15,A&M-Corpus Chris,27,56,5,13,7,13,66,15,26,41,12,15,5,6,19
Women,2017,D1,11/30/2016,8:46 p.m.,A&M-Corpus Chris,27,56,5,13,7,13,66,15,26,41,12,15,5,6,19,Okla. Panhandle,13,49,1,7,13,18,40,12,18,30,5,16,7,5,15
Women,2016,D2,02/20/2016,6:00 PM,Alas. Anchorage,30,66,7,20,3,7,70,9,29,38,14,9,15,3,17,Seattle Pacific,15,58,3,20,14,17,47,14,28,42,10,19,3,2,11
Women,2016,D2,02/20/2016,6:00 PM,Seattle Pacific,15,58,3,20,14,17,47,14,28,42,10,19,3,2,11,Alas. Anchorage,30,66,7,20,3,7,70,9,29,38,14,9,15,3,17
Men,2016,D3,01/06/2016,7:30 PM,Alma,30,66,11,31,15,21,86,16,26,42,20,16,10,5,11,Kalamazoo,32,69,13,27,8,11,85,13,23,36,18,16,8,1,17
Men,2016,D3,01/06/2016,7:30 PM,Kalamazoo,32,69,13,27,8,11,85,13,23,36,18,16,8,1,17,Alma,30,66,11,31,15,21,86,16,26,42,20,16,10,5,11
Women,2016,D2,03/06/2016,1:00pm,Wingate,23,54,2,11,19,32,67,11,26,37,11,14,10,2,27,Anderson (SC),16,58,4,22,25,32,61,19,29,48,8,16,6,3,26
Women,2016,D2,03/06/2016,1:00pm,Anderson (SC),16,58,4,22,25,32,61,19,29,48,8,16,6,3,26,Wingate,23,54,2,11,19,32,67,11,26,37,11,14,10,2,27
Men,2017,D1,03/09/2017,6:05 PM,Colorado,24,61,8,25,22,26,78,9,24,33,10,7,5,6,21,Arizona,30,54,10,19,22,30,92,6,28,34,17,7,3,4,20
Men,2017,D1,03/09/2017,6:05 PM,Arizona,30,54,10,19,22,30,92,6,28,34,17,7,3,4,20,Colorado,24,61,8,25,22,26,78,9,24,33,10,7,5,6,21
Women,2017,D3,11/22/2016,6:00 PM,Becker,18,61,6,22,5,12,47,16,19,35,12,25,18,3,17,MCLA,22,46,4,9,8,13,56,5,28,33,12,30,11,5,12
Women,2017,D3,11/22/2016,6:00 PM,MCLA,22,46,4,9,8,13,56,5,28,33,12,30,11,5,12,Becker,18,61,6,22,5,12,47,16,19,35,12,25,18,3,17
Women,2016,D1,02/17/2016,7 p.m.,Boston U.,26,60,7,13,12,17,71,16,33,49,15,17,9,2,24,Colgate,17,59,4,20,20,25,58,13,20,33,6,13,7,4,20
Women,2016,D1,02/17/2016,7 p.m.,Colgate,17,59,4,20,20,25,58,13,20,33,6,13,7,4,20,Boston U.,26,60,7,13,12,17,71,16,33,49,15,17,9,2,24
Women,2016,D1,01/06/2016,7:00 p.m.,Bucknell,23,49,8,19,12,18,66,8,22,30,11,13,5,4,16,American,25,51,4,11,6,8,60,5,21,26,15,14,7,0,19
Women,2016,D1,01/06/2016,7:00 p.m.,American,25,51,4,11,6,8,60,5,21,26,15,14,7,0,19,Bucknell,23,49,8,19,12,18,66,8,22,30,11,13,5,4,16
Women,2017,D3,01/24/2017,7:30 PM,Daniel Webster,23,62,10,24,3,6,59,8,23,31,19,13,10,1,14,Becker,27,65,6,17,8,13,68,18,33,51,21,20,10,1,11
Women,2017,D3,01/24/2017,7:30 PM,Becker,27,65,6,17,8,13,68,18,33,51,21,20,10,1,11,Daniel Webster,23,62,10,24,3,6,59,8,23,31,19,13,10,1,14
Men,2017,D1,03/04/2017,2:30 p.m.,Ga. Southern,23,56,11,35,10,18,67,5,16,21,13,11,6,4,19,Georgia St.,24,51,11,19,13,20,72,11,34,45,14,20,3,5,17
Men,2017,D1,03/04/2017,2:30 p.m.,Georgia St.,24,51,11,19,13,20,72,11,34,45,14,20,3,5,17,Ga. Southern,23,56,11,35,10,18,67,5,16,21,13,11,6,4,19
Men,2017,D1,03/07/2017,6:05 PM,St. Mary's (CA),21,57,8,17,6,7,56,6,25,31,10,14,4,5,18,Gonzaga,27,54,4,7,16,20,74,4,30,34,15,9,11,5,12
Men,2017,D1,03/07/2017,6:05 PM,Gonzaga,27,54,4,7,16,20,74,4,30,34,15,9,11,5,12,St. Mary's (CA),21,57,8,17,6,7,56,6,25,31,10,14,4,5,18
Women,2017,D2,11/17/2016,5:30 p.m.,Northwestern Okla.,17,60,10,33,12,20,56,13,16,29,10,16,5,0,19,Harding,33,55,9,26,14,24,89,9,31,40,28,17,6,3,25
Women,2017,D2,11/17/2016,5:30 p.m.,Harding,33,55,9,26,14,24,89,9,31,40,28,17,6,3,25,Northwestern Okla.,17,60,10,33,12,20,56,13,16,29,10,16,5,0,19
Men,2017,D3,01/25/2017,8:00 pm,Blackburn,31,58,8,14,21,28,91,11,22,33,11,19,5,0,25,Iowa Wesleyan,24,50,10,26,26,34,84,6,17,23,14,16,7,0,22
Men,2017,D3,01/25/2017,8:00 pm,Iowa Wesleyan,24,50,10,26,26,34,84,6,17,23,14,16,7,0,22,Blackburn,31,58,8,14,21,28,91,11,22,33,11,19,5,0,25
Men,2016,D1,11/27/2015,7:00 p.m.,Savannah St.,13,48,4,21,12,19,42,13,28,41,6,21,4,0,22,Jackson St.,26,58,9,22,8,12,69,8,25,33,15,11,8,3,21
Men,2016,D1,11/27/2015,7:00 p.m.,Jackson St.,26,58,9,22,8,12,69,8,25,33,15,11,8,3,21,Savannah St.,13,48,4,21,12,19,42,13,28,41,6,21,4,0,22
Women,2016,D1,02/13/2016,5:30 p.m.,Jacksonville St.,16,64,4,20,13,20,49,14,31,45,7,14,8,5,21,Tennessee Tech,16,56,1,4,18,25,51,12,36,48,9,17,3,13,19
Women,2016,D1,02/13/2016,5:30 p.m.,Tennessee Tech,16,56,1,4,18,25,51,12,36,48,9,17,3,13,19,Jacksonville St.,16,64,4,20,13,20,49,14,31,45,7,14,8,5,21
Men,2017,D1,03/04/2017,1:30 p.m. CT,Creighton,33,68,8,28,9,10,83,9,26,35,23,15,8,2,21,Marquette,33,62,14,28,11,17,91,8,24,32,21,14,10,4,14
Men,2017,D1,03/04/2017,1:30 p.m. CT,Marquette,33,62,14,28,11,17,91,8,24,32,21,14,10,4,14,Creighton,33,68,8,28,9,10,83,9,26,35,23,15,8,2,21
Men,2017,D1,12/04/2016,2:00 PM ET,Marquette,31,67,13,29,14,17,89,15,27,42,15,10,9,2,18,Georgia,29,59,7,21,14,20,79,8,23,31,21,12,8,7,16
Men,2017,D1,12/04/2016,2:00 PM ET,Georgia,29,59,7,21,14,20,79,8,23,31,21,12,8,7,16,Marquette,31,67,13,29,14,17,89,15,27,42,15,10,9,2,18
Women,2016,D3,01/26/2016,5:30 pm,Viterbo,17,60,5,18,9,12,48,18,18,36,6,18,10,5,15,Martin Luther,26,59,2,6,6,10,60,17,26,43,13,19,12,4,15
Women,2016,D3,01/26/2016,5:30 pm,Martin Luther,26,59,2,6,6,10,60,17,26,43,13,19,12,4,15,Viterbo,17,60,5,18,9,12,48,18,18,36,6,18,10,5,15
Men,2016,D1,01/12/2016,10:59 p.m.,Maryland,26,58,6,24,9,11,67,11,25,36,8,12,3,2,16,Michigan,25,53,12,29,8,13,70,7,20,27,12,8,7,4,12
Men,2016,D1,01/12/2016,10:59 p.m.,Michigan,25,53,12,29,8,13,70,7,20,27,12,8,7,4,12,Maryland,26,58,6,24,9,11,67,11,25,36,8,12,3,2,16
Men,2016,D2,02/20/2016,6 p.m.,Minn.-Crookston,18,61,1,20,9,9,46,10,18,28,7,4,5,2,16,MSU Moorhead,32,61,7,17,9,18,80,16,33,49,15,7,3,2,12
Men,2016,D2,02/20/2016,6 p.m.,MSU Moorhead,32,61,7,17,9,18,80,16,33,49,15,7,3,2,12,Minn.-Crookston,18,61,1,20,9,9,46,10,18,28,7,4,5,2,16
Women,2017,D1,01/28/2017,2:00 p.m.,Utah Valley,15,49,3,13,13,18,46,14,20,34,5,17,2,0,21,New Mexico St.,24,56,8,25,7,12,63,17,24,41,13,16,7,4,19
Women,2017,D1,01/28/2017,2:00 p.m.,New Mexico St.,24,56,8,25,7,12,63,17,24,41,13,16,7,4,19,Utah Valley,15,49,3,13,13,18,46,14,20,34,5,17,2,0,21
Women,2016,D2,01/07/2016,6:00 PM,Newman,16,62,5,19,5,10,42,18,19,37,9,18,6,1,17,Lubbock Christian,29,56,11,23,18,22,87,10,29,39,21,13,12,7,11
Women,2016,D2,01/07/2016,6:00 PM,Lubbock Christian,29,56,11,23,18,22,87,10,29,39,21,13,12,7,11,Newman,16,62,5,19,5,10,42,18,19,37,9,18,6,1,17
Women,2017,D2,01/05/2017,5:30 p.m.,Northeastern St.,22,57,8,28,19,26,71,8,25,33,10,10,5,3,15,Lindenwood (MO),24,56,3,9,13,21,64,10,30,40,3,15,5,3,24
Women,2017,D2,01/05/2017,5:30 p.m.,Lindenwood (MO),24,56,3,9,13,21,64,10,30,40,3,15,5,3,24,Northeastern St.,22,57,8,28,19,26,71,8,25,33,10,10,5,3,15
Men,2016,D1,12/30/2015,6:00 p.m.,Oakland,19,51,8,21,12,17,58,11,25,36,5,16,5,2,15,Virginia,25,55,6,16,15,21,71,8,23,31,16,7,7,2,14
Men,2016,D1,12/30/2015,6:00 p.m.,Virginia,25,55,6,16,15,21,71,8,23,31,16,7,7,2,14,Oakland,19,51,8,21,12,17,58,11,25,36,5,16,5,2,15
Women,2017,D3,12/06/2016,6:00 p.m.,RIT,30,69,5,25,3,5,68,13,33,46,19,15,10,3,15,Buffalo St.,19,65,5,23,9,13,52,15,28,43,12,18,8,2,9
