Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,11/26/2016,10:58,Cal St. Fullerton,20,51,1,18,26,38,67,8,27,35,8,23,6,3,25,Alabama St.,23,60,9,24,21,28,76,14,30,44,13,23,9,2,30
Men,2017,D1,11/26/2016,10:58,Alabama St.,23,60,9,24,21,28,76,14,30,44,13,23,9,2,30,Cal St. Fullerton,20,51,1,18,26,38,67,8,27,35,8,23,6,3,25
Women,2016,D2,12/03/2015,7:30pm,Alas. Anchorage,31,72,8,24,6,12,76,20,21,41,16,16,12,3,22,Simon Fraser,24,47,11,25,15,20,74,3,26,29,21,17,8,9,15
Women,2016,D2,12/03/2015,7:30pm,Simon Fraser,24,47,11,25,15,20,74,3,26,29,21,17,8,9,15,Alas. Anchorage,31,72,8,24,6,12,76,20,21,41,16,16,12,3,22
Women,2016,D3,01/18/2016,7:00 p.m.,Siena Heights,21,51,5,15,14,24,61,16,22,38,9,25,5,4,21,Alma,23,52,9,21,11,18,66,10,21,31,12,22,4,4,21
Women,2016,D3,01/18/2016,7:00 p.m.,Alma,23,52,9,21,11,18,66,10,21,31,12,22,4,4,21,Siena Heights,21,51,5,15,14,24,61,16,22,38,9,25,5,4,21
Women,2016,D3,11/21/2015,7:00 pm,Concordia-M'head,24,59,6,20,16,18,70,11,30,41,20,20,9,1,10,UC Santa Cruz,27,66,7,21,4,5,65,10,25,35,13,17,7,3,21
Women,2016,D3,11/21/2015,7:00 pm,UC Santa Cruz,27,66,7,21,4,5,65,10,25,35,13,17,7,3,21,Concordia-M'head,24,59,6,20,16,18,70,11,30,41,20,20,9,1,10
Men,2017,D1,04/03/2017,6:20PM,Gonzaga,20,59,8,19,17,26,65,12,37,49,11,14,2,5,22,North Carolina,26,73,4,27,15,26,71,15,31,46,15,4,7,8,22
Men,2017,D1,04/03/2017,6:20PM,North Carolina,26,73,4,27,15,26,71,15,31,46,15,4,7,8,22,Gonzaga,20,59,8,19,17,26,65,12,37,49,11,14,2,5,22
Women,2016,D3,01/29/2016,6 p.m.,Millsaps,24,61,1,11,14,19,63,11,19,30,17,10,9,1,18,Hendrix,21,50,9,20,15,20,66,10,27,37,14,19,1,7,21
Women,2016,D3,01/29/2016,6 p.m.,Hendrix,21,50,9,20,15,20,66,10,27,37,14,19,1,7,21,Millsaps,24,61,1,11,14,19,63,11,19,30,17,10,9,1,18
Women,2017,D2,01/19/2017,6:00,Walsh,24,60,9,24,11,14,68,17,27,44,14,21,9,2,16,Hillsdale,21,53,6,17,12,16,60,8,18,26,13,16,11,4,14
Women,2017,D2,01/19/2017,6:00,Hillsdale,21,53,6,17,12,16,60,8,18,26,13,16,11,4,14,Walsh,24,60,9,24,11,14,68,17,27,44,14,21,9,2,16
