Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2016,D2,01/23/2016,6 p.m.,Seattle Pacific,24,60,4,11,4,11,56,20,24,44,18,19,6,2,20,Alas. Fairbanks,20,50,5,14,13,17,58,8,19,27,13,14,6,1,17
Women,2016,D2,01/23/2016,6 p.m.,Alas. Fairbanks,20,50,5,14,13,17,58,8,19,27,13,14,6,1,17,Seattle Pacific,24,60,4,11,4,11,56,20,24,44,18,19,6,2,20
Men,2016,D3,01/16/2016,4:00 pm,Averett,26,56,8,23,13,15,73,12,20,32,7,11,11,4,15,Piedmont,24,51,8,16,5,7,61,9,19,28,13,13,3,1,14
Men,2016,D3,01/16/2016,4:00 pm,Piedmont,24,51,8,16,5,7,61,9,19,28,13,13,3,1,14,Averett,26,56,8,23,13,15,73,12,20,32,7,11,11,4,15
Women,2016,D1,03/02/2016,6:00 p.m.,Bucknell,24,53,7,22,13,21,68,12,31,43,15,21,7,1,12,Lafayette,22,62,4,24,11,12,59,9,22,31,11,15,15,3,19
Women,2016,D1,03/02/2016,6:00 p.m.,Lafayette,22,62,4,24,11,12,59,9,22,31,11,15,15,3,19,Bucknell,24,53,7,22,13,21,68,12,31,43,15,21,7,1,12
Women,2016,D1,02/27/2016,2 p.m.,UC Santa Barbara,21,49,7,13,11,14,60,15,23,38,15,24,7,4,18,Cal Poly,24,54,5,13,13,15,66,9,16,25,12,15,13,3,16
Women,2016,D1,02/27/2016,2 p.m.,Cal Poly,24,54,5,13,13,15,66,9,16,25,12,15,13,3,16,UC Santa Barbara,21,49,7,13,11,14,60,15,23,38,15,24,7,4,18
Women,2016,D3,01/30/2016,1:00,Husson,32,82,7,23,6,7,77,20,18,38,23,13,16,2,17,Colby-Sawyer,17,53,5,22,15,15,54,17,30,47,11,35,8,7,14
Women,2016,D3,01/30/2016,1:00,Colby-Sawyer,17,53,5,22,15,15,54,17,30,47,11,35,8,7,14,Husson,32,82,7,23,6,7,77,20,18,38,23,13,16,2,17
Women,2017,D3,11/22/2016,8:04 PM,Franklin,19,66,10,25,10,14,58,16,19,35,14,14,6,0,27,DePauw,27,53,7,13,23,33,84,10,34,44,19,14,6,3,18
Women,2017,D3,11/22/2016,8:04 PM,DePauw,27,53,7,13,23,33,84,10,34,44,19,14,6,3,18,Franklin,19,66,10,25,10,14,58,16,19,35,14,14,6,0,27
Men,2017,D2,02/18/2017,3 p.m.,Hillsdale,25,59,7,22,3,3,60,10,27,37,12,12,5,2,17,Ohio Dominican,19,52,7,23,6,11,51,10,24,34,11,15,5,2,10
Men,2017,D2,02/18/2017,3 p.m.,Ohio Dominican,19,52,7,23,6,11,51,10,24,34,11,15,5,2,10,Hillsdale,25,59,7,22,3,3,60,10,27,37,12,12,5,2,17
Women,2017,D2,02/08/2017,6:36 p.m.,Dominican (CA),29,60,7,16,21,31,86,9,31,40,16,13,12,4,18,Holy Names,25,62,5,15,12,17,67,10,27,37,8,20,7,5,23
Women,2017,D2,02/08/2017,6:36 p.m.,Holy Names,25,62,5,15,12,17,67,10,27,37,8,20,7,5,23,Dominican (CA),29,60,7,16,21,31,86,9,31,40,16,13,12,4,18
Women,2016,D3,02/06/2016,1:00 pm,Manhattanville,25,74,4,10,17,24,71,20,23,43,15,21,20,2,22,King's (PA),23,68,7,19,15,21,68,21,31,52,18,29,6,12,22
Women,2016,D3,02/06/2016,1:00 pm,King's (PA),23,68,7,19,15,21,68,21,31,52,18,29,6,12,22,Manhattanville,25,74,4,10,17,24,71,20,23,43,15,21,20,2,22
Men,2017,D1,11/26/2016,7:00 PM,Mt. St. Mary's,18,48,6,14,5,5,47,3,21,24,8,11,4,4,12,Michigan,24,55,11,27,5,6,64,11,25,36,14,12,4,2,8
Men,2017,D1,11/26/2016,7:00 PM,Michigan,24,55,11,27,5,6,64,11,25,36,14,12,4,2,8,Mt. St. Mary's,18,48,6,14,5,5,47,3,21,24,8,11,4,4,12
Men,2016,D2,01/16/2016,5:03 p.m.,Kentucky St.,30,64,5,13,17,28,82,12,28,40,6,15,3,3,24,Miles,29,67,9,24,17,31,84,15,27,42,15,15,4,5,21
Men,2016,D2,01/16/2016,5:03 p.m.,Miles,29,67,9,24,17,31,84,15,27,42,15,15,4,5,21,Kentucky St.,30,64,5,13,17,28,82,12,28,40,6,15,3,3,24
Men,2016,D2,12/12/2015,7:09 p.m.,Montevallo,33,57,5,15,16,30,87,10,24,34,14,13,10,5,20,Miles,29,58,8,17,17,24,83,9,22,31,11,11,2,3,24
Men,2016,D2,12/12/2015,7:09 p.m.,Miles,29,58,8,17,17,24,83,9,22,31,11,11,2,3,24,Montevallo,33,57,5,15,16,30,87,10,24,34,14,13,10,5,20
Men,2016,D1,01/02/2016,6:30 p.m. PT,New Mexico,25,47,6,14,21,27,77,8,31,39,14,24,9,7,22,Fresno St.,26,72,1,18,9,19,62,21,16,37,7,14,16,7,23
Men,2016,D1,01/02/2016,6:30 p.m. PT,Fresno St.,26,72,1,18,9,19,62,21,16,37,7,14,16,7,23,New Mexico,25,47,6,14,21,27,77,8,31,39,14,24,9,7,22
Women,2016,D2,01/30/2016,1 p.m.,Newman,23,60,6,18,7,10,59,17,23,40,11,15,7,1,18,St. Mary's (TX),22,49,9,24,14,24,67,8,21,29,17,12,9,1,12
Women,2016,D2,01/30/2016,1 p.m.,St. Mary's (TX),22,49,9,24,14,24,67,8,21,29,17,12,9,1,12,Newman,23,60,6,18,7,10,59,17,23,40,11,15,7,1,18
Women,2017,D2,11/11/2016,1:00 p.m.,Southeastern Okla.,22,62,12,30,14,20,70,13,32,45,10,12,5,2,14,Northeastern St.,22,60,9,29,7,12,60,8,30,38,9,9,4,5,17
Women,2017,D2,11/11/2016,1:00 p.m.,Northeastern St.,22,60,9,29,7,12,60,8,30,38,9,9,4,5,17,Southeastern Okla.,22,62,12,30,14,20,70,13,32,45,10,12,5,2,14
Men,2016,D2,02/15/2016,7:30PM,Alderson Broaddus,34,58,9,18,13,15,90,11,23,34,12,16,3,3,16,Ohio Valley,30,53,10,20,12,21,82,5,14,19,15,12,10,1,16
Men,2016,D2,02/15/2016,7:30PM,Ohio Valley,30,53,10,20,12,21,82,5,14,19,15,12,10,1,16,Alderson Broaddus,34,58,9,18,13,15,90,11,23,34,12,16,3,3,16
Men,2016,D2,11/28/2015,5:30 p.m.,Oklahoma City,29,57,13,20,12,18,83,6,21,27,15,12,10,0,20,Okla. Christian,23,47,5,16,19,23,70,4,26,30,17,18,4,2,16
Men,2016,D2,11/28/2015,5:30 p.m.,Okla. Christian,23,47,5,16,19,23,70,4,26,30,17,18,4,2,16,Oklahoma City,29,57,13,20,12,18,83,6,21,27,15,12,10,0,20
Women,2016,D1,11/21/2015,4:05 PM,Arizona,23,56,3,8,5,9,54,12,25,37,12,16,3,5,25,San Diego,20,53,2,13,17,22,59,12,23,35,11,15,7,4,15
Women,2016,D1,11/21/2015,4:05 PM,San Diego,20,53,2,13,17,22,59,12,23,35,11,15,7,4,15,Arizona,23,56,3,8,5,9,54,12,25,37,12,16,3,5,25
Women,2016,D2,11/21/2015,4:00 pm,Simon Fraser,27,59,10,25,13,15,77,14,20,34,23,18,7,3,21,Cal Poly Pomona,25,59,2,8,22,26,74,15,18,33,13,14,8,2,19
Women,2016,D2,11/21/2015,4:00 pm,Cal Poly Pomona,25,59,2,8,22,26,74,15,18,33,13,14,8,2,19,Simon Fraser,27,59,10,25,13,15,77,14,20,34,23,18,7,3,21
Women,2017,D2,01/18/2017,5 p.m.,Pitt.-Johnstown,28,64,13,31,19,21,88,18,23,41,19,19,6,3,19,Slippery Rock,30,59,9,18,15,20,84,8,20,28,18,14,15,1,21
Women,2017,D2,01/18/2017,5 p.m.,Slippery Rock,30,59,9,18,15,20,84,8,20,28,18,14,15,1,21,Pitt.-Johnstown,28,64,13,31,19,21,88,18,23,41,19,19,6,3,19
Men,2016,D2,12/01/2015,7:00 PM,Daemen,18,60,4,23,11,18,51,8,25,33,6,14,8,2,13,Slippery Rock,28,61,7,16,9,12,72,9,37,46,16,15,7,6,17
Men,2016,D2,12/01/2015,7:00 PM,Slippery Rock,28,61,7,16,9,12,72,9,37,46,16,15,7,6,17,Daemen,18,60,4,23,11,18,51,8,25,33,6,14,8,2,13
Men,2017,D1,12/10/2016,7:00 p.m.,South Ala.,31,70,6,24,10,13,78,9,23,32,17,11,5,1,23,Stetson,28,54,8,20,23,29,87,6,29,35,14,15,4,1,14
Men,2017,D1,12/10/2016,7:00 p.m.,Stetson,28,54,8,20,23,29,87,6,29,35,14,15,4,1,14,South Ala.,31,70,6,24,10,13,78,9,23,32,17,11,5,1,23
