Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D3,01/03/2017,6 p.m.,Agnes Scott,12,38,1,14,13,24,38,10,26,36,5,22,3,2,6,Birmingham-So.,27,65,12,27,4,7,70,13,20,33,14,7,16,1,18
Women,2017,D3,01/03/2017,6 p.m.,Birmingham-So.,27,65,12,27,4,7,70,13,20,33,14,7,16,1,18,Agnes Scott,12,38,1,14,13,24,38,10,26,36,5,22,3,2,6
Men,2017,D1,01/07/2017,7:30 p.m.,Alabama St.,23,63,7,23,10,16,63,18,23,41,11,29,15,3,19,Ark.-Pine Bluff,25,57,7,24,14,22,71,12,26,38,11,22,18,5,13
Men,2017,D1,01/07/2017,7:30 p.m.,Ark.-Pine Bluff,25,57,7,24,14,22,71,12,26,38,11,22,18,5,13,Alabama St.,23,63,7,23,10,16,63,18,23,41,11,29,15,3,19
Men,2016,D2,11/13/2015,3 pm,Chaminade,27,60,10,30,26,32,90,10,26,36,16,10,3,2,32,Alas. Anchorage,24,63,5,23,39,44,92,16,28,44,13,10,2,0,25
Men,2016,D2,11/13/2015,3 pm,Alas. Anchorage,24,63,5,23,39,44,92,16,28,44,13,10,2,0,25,Chaminade,27,60,10,30,26,32,90,10,26,36,16,10,3,2,32
Women,2017,D2,02/11/2017,2 pm,Alas. Fairbanks,19,48,3,13,19,28,60,11,13,24,10,23,12,2,14,Northwest Nazarene,36,66,14,21,7,8,93,17,25,42,19,20,13,2,24
Women,2017,D2,02/11/2017,2 pm,Northwest Nazarene,36,66,14,21,7,8,93,17,25,42,19,20,13,2,24,Alas. Fairbanks,19,48,3,13,19,28,60,11,13,24,10,23,12,2,14
Women,2016,D3,01/06/2016,07:34 PM,Alma,22,48,9,16,12,21,65,6,19,25,14,17,10,1,26,Albion,26,57,6,18,15,28,73,18,26,44,20,16,7,0,15
Women,2016,D3,01/06/2016,07:34 PM,Albion,26,57,6,18,15,28,73,18,26,44,20,16,7,0,15,Alma,22,48,9,16,12,21,65,6,19,25,14,17,10,1,26
Women,2016,D1,02/12/2016,7:30 PM,Arizona,23,55,3,10,9,15,58,10,16,26,9,20,6,5,17,Stanford,30,58,7,18,15,19,82,14,24,38,17,17,13,7,21
Women,2016,D1,02/12/2016,7:30 PM,Stanford,30,58,7,18,15,19,82,14,24,38,17,17,13,7,21,Arizona,23,55,3,10,9,15,58,10,16,26,9,20,6,5,17
