Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D2,02/18/2017,5 pm,Seattle Pacific,15,49,5,20,15,22,50,10,18,28,13,24,5,2,20,Alas. Anchorage,31,61,7,21,25,28,94,11,25,36,19,11,15,4,18
Women,2017,D2,02/18/2017,5 pm,Alas. Anchorage,31,61,7,21,25,28,94,11,25,36,19,11,15,4,18,Seattle Pacific,15,49,5,20,15,22,50,10,18,28,13,24,5,2,20
Women,2017,D2,12/13/2016,7:00PM,Alas. Anchorage,33,86,7,23,12,16,85,23,31,54,21,11,21,1,23,BYU-Hawaii,15,50,2,12,14,24,46,11,32,43,9,30,3,4,12
Women,2017,D2,12/13/2016,7:00PM,BYU-Hawaii,15,50,2,12,14,24,46,11,32,43,9,30,3,4,12,Alas. Anchorage,33,86,7,23,12,16,85,23,31,54,21,11,21,1,23
Women,2016,D2,10/31/2015,8:30pm,Cal St. Dom. Hills,15,49,2,13,29,36,61,14,24,38,6,26,4,1,19,Alas. Anchorage,28,67,12,24,14,16,82,15,23,38,17,19,11,0,29
Women,2016,D2,10/31/2015,8:30pm,Alas. Anchorage,28,67,12,24,14,16,82,15,23,38,17,19,11,0,29,Cal St. Dom. Hills,15,49,2,13,29,36,61,14,24,38,6,26,4,1,19
Women,2016,D2,11/19/2015,5:00 pm,Alas. Fairbanks,31,74,6,23,14,18,82,18,27,45,13,14,9,2,16,Chaminade,25,60,3,13,10,20,63,12,24,36,9,18,7,2,17
Women,2016,D2,11/19/2015,5:00 pm,Chaminade,25,60,3,13,10,20,63,12,24,36,9,18,7,2,17,Alas. Fairbanks,31,74,6,23,14,18,82,18,27,45,13,14,9,2,16
Women,2016,D3,02/10/2016,06:03 PM,Trine,27,53,4,12,5,8,63,8,23,31,20,11,8,2,14,Albion,16,54,6,23,9,14,47,17,20,37,10,15,2,2,10
Women,2016,D3,02/10/2016,06:03 PM,Albion,16,54,6,23,9,14,47,17,20,37,10,15,2,2,10,Trine,27,53,4,12,5,8,63,8,23,31,20,11,8,2,14
Women,2016,D3,02/13/2016,1:00 PM,Anna Maria,23,59,12,26,15,20,73,9,35,44,14,14,9,0,27,Rivier,22,57,3,21,18,27,65,7,29,36,16,14,7,2,20
Women,2016,D3,02/13/2016,1:00 PM,Rivier,22,57,3,21,18,27,65,7,29,36,16,14,7,2,20,Anna Maria,23,59,12,26,15,20,73,9,35,44,14,14,9,0,27
Men,2017,D1,01/29/2017,1:30 p.m.,Washington,27,69,5,19,7,17,66,18,20,38,10,10,7,2,23,Arizona,24,53,7,21,22,30,77,12,30,42,13,13,3,4,16
Men,2017,D1,01/29/2017,1:30 p.m.,Arizona,24,53,7,21,22,30,77,12,30,42,13,13,3,4,16,Washington,27,69,5,19,7,17,66,18,20,38,10,10,7,2,23
Women,2017,D3,11/18/2016,8:00pm,Becker,9,46,2,21,10,17,30,16,21,37,6,37,7,1,19,WPI,30,58,4,13,8,14,72,8,24,32,19,20,19,3,15
Women,2017,D3,11/18/2016,8:00pm,WPI,30,58,4,13,8,14,72,8,24,32,19,20,19,3,15,Becker,9,46,2,21,10,17,30,16,21,37,6,37,7,1,19
Women,2017,D2,11/19/2016,1:00 p.m.,Pitt.-Johnstown,23,57,3,16,19,25,68,13,29,42,12,26,14,4,21,Bloomsburg,23,59,1,9,10,19,57,11,24,35,14,26,8,4,22
Women,2017,D2,11/19/2016,1:00 p.m.,Bloomsburg,23,59,1,9,10,19,57,11,24,35,14,26,8,4,22,Pitt.-Johnstown,23,57,3,16,19,25,68,13,29,42,12,26,14,4,21
Women,2017,D2,02/25/2017,2:40 p.m.,North Ala.,30,63,12,31,8,13,80,9,23,32,25,12,11,2,12,Christian Bros.,23,56,6,20,9,11,61,11,27,38,14,16,9,2,19
Women,2017,D2,02/25/2017,2:40 p.m.,Christian Bros.,23,56,6,20,9,11,61,11,27,38,14,16,9,2,19,North Ala.,30,63,12,31,8,13,80,9,23,32,25,12,11,2,12
Women,2017,D3,02/11/2017,1:00 pm,DePauw,17,50,7,19,23,33,64,15,21,36,5,16,4,0,16,Kenyon,24,52,7,21,15,17,70,7,19,26,15,12,9,2,26
Women,2017,D3,02/11/2017,1:00 pm,Kenyon,24,52,7,21,15,17,70,7,19,26,15,12,9,2,26,DePauw,17,50,7,19,23,33,64,15,21,36,5,16,4,0,16
Women,2017,D1,12/29/2016,7:00 PM,Kentucky,18,60,5,16,13,18,54,15,21,36,6,18,15,2,15,Duke,24,50,6,13,15,18,69,6,28,34,15,21,12,4,14
Women,2017,D1,12/29/2016,7:00 PM,Duke,24,50,6,13,15,18,69,6,28,34,15,21,12,4,14,Kentucky,18,60,5,16,13,18,54,15,21,36,6,18,15,2,15
Women,2016,D1,12/29/2015,7:00 p.m.,IUPUI,27,54,4,13,10,16,68,8,21,29,16,13,8,3,10,Evansville,23,47,5,13,11,13,62,3,21,24,16,16,8,2,19
Women,2016,D1,12/29/2015,7:00 p.m.,Evansville,23,47,5,13,11,13,62,3,21,24,16,16,8,2,19,IUPUI,27,54,4,13,10,16,68,8,21,29,16,13,8,3,10
Men,2017,D3,11/30/2016,8:00 pm,Immaculata,27,61,3,17,19,22,76,9,30,39,13,19,11,3,27,Keystone,22,65,3,14,20,30,67,17,27,44,8,18,6,3,20
Men,2017,D3,11/30/2016,8:00 pm,Keystone,22,65,3,14,20,30,67,17,27,44,8,18,6,3,20,Immaculata,27,61,3,17,19,22,76,9,30,39,13,19,11,3,27
Men,2016,D1,01/09/2016,5:30 PM,Jackson St.,28,63,10,21,14,26,80,12,30,42,12,4,10,6,14,Alcorn,26,70,10,26,9,16,71,17,25,42,11,15,2,2,19
Men,2016,D1,01/09/2016,5:30 PM,Alcorn,26,70,10,26,9,16,71,17,25,42,11,15,2,2,19,Jackson St.,28,63,10,21,14,26,80,12,30,42,12,4,10,6,14
Women,2016,D3,01/20/2016,6:00 pm,Eastern,26,56,3,11,10,21,65,9,30,39,14,29,7,6,19,Manhattanville,31,71,3,8,15,22,80,15,27,42,20,20,19,1,22
Women,2016,D3,01/20/2016,6:00 pm,Manhattanville,31,71,3,8,15,22,80,15,27,42,20,20,19,1,22,Eastern,26,56,3,11,10,21,65,9,30,39,14,29,7,6,19
Men,2017,D1,02/11/2017,12 p.m.,Minnesota,28,60,3,17,13,15,72,14,26,40,16,11,6,5,18,Rutgers,25,60,3,14,10,22,63,14,20,34,11,9,7,4,18
Men,2017,D1,02/11/2017,12 p.m.,Rutgers,25,60,3,14,10,22,63,14,20,34,11,9,7,4,18,Minnesota,28,60,3,17,13,15,72,14,26,40,16,11,6,5,18
Men,2017,D3,01/29/2017,3:00 pm,Penn St.-Berks,23,65,8,27,16,18,70,17,19,36,10,12,6,3,24,Keuka,26,64,5,28,14,26,71,22,27,49,12,15,3,4,18
Men,2017,D3,01/29/2017,3:00 pm,Keuka,26,64,5,28,14,26,71,22,27,49,12,15,3,4,18,Penn St.-Berks,23,65,8,27,16,18,70,17,19,36,10,12,6,3,24
Women,2016,D3,11/21/2015,5:25pm,Sewanee,25,71,13,33,5,12,68,16,25,41,16,13,11,3,14,Roanoke,24,61,3,10,13,16,64,12,33,45,13,18,4,1,13
Women,2016,D3,11/21/2015,5:25pm,Roanoke,24,61,3,10,13,16,64,12,33,45,13,18,4,1,13,Sewanee,25,71,13,33,5,12,68,16,25,41,16,13,11,3,14
Men,2016,D2,12/11/2015,7:00 p.m.,Northwest (WA),24,60,6,21,10,11,64,8,21,29,7,8,6,2,26,Seattle Pacific,20,51,4,21,32,40,76,14,28,42,10,8,4,1,12
Men,2016,D2,12/11/2015,7:00 p.m.,Seattle Pacific,20,51,4,21,32,40,76,14,28,42,10,8,4,1,12,Northwest (WA),24,60,6,21,10,11,64,8,21,29,7,8,6,2,26
Men,2017,D2,12/10/2016,6 p.m.,Minn. Duluth,26,62,6,20,12,14,70,5,29,34,10,13,3,1,18,Sioux Falls,30,66,10,21,13,18,83,10,33,43,13,10,4,4,17
Men,2017,D2,12/10/2016,6 p.m.,Sioux Falls,30,66,10,21,13,18,83,10,33,43,13,10,4,4,17,Minn. Duluth,26,62,6,20,12,14,70,5,29,34,10,13,3,1,18
Men,2016,D2,01/03/2016,1:00 p.m.,Slippery Rock,22,67,4,17,19,26,67,22,33,55,14,17,3,4,28,Bloomsburg,24,55,4,13,18,33,70,7,27,34,12,9,6,10,22
Men,2016,D2,01/03/2016,1:00 p.m.,Bloomsburg,24,55,4,13,18,33,70,7,27,34,12,9,6,10,22,Slippery Rock,22,67,4,17,19,26,67,22,33,55,14,17,3,4,28
Women,2016,D2,11/18/2015,5:30 PM,Slippery Rock,25,61,8,22,8,9,66,9,18,27,11,14,12,1,20,Edinboro,30,59,10,22,13,19,83,15,28,43,22,20,7,6,8
Women,2016,D2,11/18/2015,5:30 PM,Edinboro,30,59,10,22,13,19,83,15,28,43,22,20,7,6,8,Slippery Rock,25,61,8,22,8,9,66,9,18,27,11,14,12,1,20
Women,2016,D1,11/19/2015,7:00 pm,Western Ky.,23,65,8,31,6,8,60,18,18,36,17,16,11,4,20,Ball St.,23,54,6,15,22,24,74,15,25,40,16,19,3,3,14
Women,2016,D1,11/19/2015,7:00 pm,Ball St.,23,54,6,15,22,24,74,15,25,40,16,19,3,3,14,Western Ky.,23,65,8,31,6,8,60,18,18,36,17,16,11,4,20
Men,2017,D2,12/18/2016,1:15pm,West Tex. A&M,27,63,11,27,25,35,90,7,34,41,11,6,5,4,25,Western Wash.,28,67,8,27,19,30,83,12,36,48,12,9,3,2,25
Men,2017,D2,12/18/2016,1:15pm,Western Wash.,28,67,8,27,19,30,83,12,36,48,12,9,3,2,25,West Tex. A&M,27,63,11,27,25,35,90,7,34,41,11,6,5,4,25
Men,2016,D2,02/18/2016,7:30 p.m.,Glenville St.,25,61,8,29,14,18,72,5,26,31,13,16,4,4,19,Wheeling Jesuit,31,68,8,27,14,21,84,15,29,44,21,15,10,5,19
Men,2016,D2,02/18/2016,7:30 p.m.,Wheeling Jesuit,31,68,8,27,14,21,84,15,29,44,21,15,10,5,19,Glenville St.,25,61,8,29,14,18,72,5,26,31,13,16,4,4,19
Men,2016,D1,01/05/2016,7 p.m.,Wofford,20,48,6,20,19,21,65,8,26,34,8,15,6,0,17,VMI,20,49,8,18,13,18,61,5,20,25,13,14,8,5,15
Men,2016,D1,01/05/2016,7 p.m.,VMI,20,49,8,18,13,18,61,5,20,25,13,14,8,5,15,Wofford,20,48,6,20,19,21,65,8,26,34,8,15,6,0,17
Women,2017,D3,01/28/2017,1:00 p.m.,Wooster,19,56,4,18,7,15,49,8,13,21,10,14,9,1,17,DePauw,33,61,9,24,10,16,85,17,32,49,22,15,8,2,14
Women,2017,D3,01/28/2017,1:00 p.m.,DePauw,33,61,9,24,10,16,85,17,32,49,22,15,8,2,14,Wooster,19,56,4,18,7,15,49,8,13,21,10,14,9,1,17
Men,2016,D3,12/16/2015,8:00 PM,Lehman,29,61,4,14,24,34,86,12,32,44,17,22,10,4,18,Yeshiva,31,69,8,28,12,16,82,9,27,36,20,20,10,3,23
Men,2016,D3,12/16/2015,8:00 PM,Yeshiva,31,69,8,28,12,16,82,9,27,36,20,20,10,3,23,Lehman,29,61,4,14,24,34,86,12,32,44,17,22,10,4,18
