Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D1,01/14/2017,6:12 p.m.,Central Ark.,21,46,3,7,4,5,49,6,25,31,13,14,6,2,18,A&M-Corpus Chris,13,46,2,11,13,20,41,10,18,28,7,12,6,2,8
Women,2017,D1,01/14/2017,6:12 p.m.,A&M-Corpus Chris,13,46,2,11,13,20,41,10,18,28,7,12,6,2,8,Central Ark.,21,46,3,7,4,5,49,6,25,31,13,14,6,2,18
Men,2016,D2,01/02/2016,7:00 p.m.,Alas. Fairbanks,26,62,10,18,17,26,79,13,24,37,9,10,5,1,23,Seattle Pacific,24,63,8,26,19,27,75,17,28,45,13,11,2,7,24
Men,2016,D2,01/02/2016,7:00 p.m.,Seattle Pacific,24,63,8,26,19,27,75,17,28,45,13,11,2,7,24,Alas. Fairbanks,26,62,10,18,17,26,79,13,24,37,9,10,5,1,23
Women,2017,D2,01/05/2017,7:00 p.m.,Alas. Fairbanks,27,59,7,16,18,29,79,10,27,37,13,18,7,0,17,Concordia Portland,28,68,6,21,12,18,74,13,29,42,16,20,11,5,26
Women,2017,D2,01/05/2017,7:00 p.m.,Concordia Portland,28,68,6,21,12,18,74,13,29,42,16,20,11,5,26,Alas. Fairbanks,27,59,7,16,18,29,79,10,27,37,13,18,7,0,17
Men,2017,D3,11/19/2016,5:45 pm,Earlham,18,57,9,27,18,30,63,14,29,43,14,16,7,1,27,Allegheny,18,56,8,21,22,28,66,12,32,44,14,18,7,10,28
Men,2017,D3,11/19/2016,5:45 pm,Allegheny,18,56,8,21,22,28,66,12,32,44,14,18,7,10,28,Earlham,18,57,9,27,18,30,63,14,29,43,14,16,7,1,27
Men,2017,D3,01/11/2017,6:05 pm,Wooster,36,65,10,29,9,12,91,10,28,38,22,17,9,4,15,Allegheny,23,57,6,23,15,18,67,8,20,28,8,19,8,3,15
Men,2017,D3,01/11/2017,6:05 pm,Allegheny,23,57,6,23,15,18,67,8,20,28,8,19,8,3,15,Wooster,36,65,10,29,9,12,91,10,28,38,22,17,9,4,15
