Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,01/06/2017,6:30 p.m.,Western Mich.,24,57,6,16,5,13,59,9,24,33,11,9,4,1,18,Akron,25,56,7,29,9,15,66,8,28,36,16,12,3,1,16
Men,2017,D1,01/06/2017,6:30 p.m.,Akron,25,56,7,29,9,15,66,8,28,36,16,12,3,1,16,Western Mich.,24,57,6,16,5,13,59,9,24,33,11,9,4,1,18
Men,2017,D1,11/25/2016,7:30 p.m.,Air Force,25,54,5,15,20,24,75,11,23,34,8,13,6,2,21,Akron,26,58,12,37,20,29,84,14,20,34,12,11,5,3,25
Men,2017,D1,11/25/2016,7:30 p.m.,Akron,26,58,12,37,20,29,84,14,20,34,12,11,5,3,25,Air Force,25,54,5,15,20,24,75,11,23,34,8,13,6,2,21
Women,2017,D1,11/27/2016,2 p.m.,Alabama A&M,12,49,1,14,4,9,29,11,18,29,1,32,3,2,21,Alabama,40,69,4,16,13,25,97,18,29,47,16,12,20,2,12
Women,2017,D1,11/27/2016,2 p.m.,Alabama,40,69,4,16,13,25,97,18,29,47,16,12,20,2,12,Alabama A&M,12,49,1,14,4,9,29,11,18,29,1,32,3,2,21
Men,2017,D2,11/19/2016,4 pm,Cal St. L.A.,24,56,11,25,9,13,68,8,20,28,16,16,8,2,25,Alas. Anchorage,23,56,8,19,19,26,73,17,21,38,12,19,6,2,17
Men,2017,D2,11/19/2016,4 pm,Alas. Anchorage,23,56,8,19,19,26,73,17,21,38,12,19,6,2,17,Cal St. L.A.,24,56,11,25,9,13,68,8,20,28,16,16,8,2,25
Women,2017,D2,01/28/2017,3:00pm,Mont. St. Billings,19,58,2,15,2,2,42,8,20,28,7,14,2,1,14,Alas. Fairbanks,26,60,4,13,10,12,66,15,31,46,16,14,6,0,12
Women,2017,D2,01/28/2017,3:00pm,Alas. Fairbanks,26,60,4,13,10,12,66,15,31,46,16,14,6,0,12,Mont. St. Billings,19,58,2,15,2,2,42,8,20,28,7,14,2,1,14
Women,2017,D2,01/19/2017,6:30 p.m.,Alas. Fairbanks,20,47,5,14,16,20,61,8,25,33,16,19,15,3,20,Saint Martin's,16,54,3,11,18,28,53,17,21,38,6,20,8,2,18
Women,2017,D2,01/19/2017,6:30 p.m.,Saint Martin's,16,54,3,11,18,28,53,17,21,38,6,20,8,2,18,Alas. Fairbanks,20,47,5,14,16,20,61,8,25,33,16,19,15,3,20
Men,2017,D1,03/23/2017,7:43 PM,Xavier,28,53,6,16,11,16,73,7,20,27,14,8,3,1,14,Arizona,27,62,7,27,10,11,71,14,21,35,14,8,4,1,18
Men,2017,D1,03/23/2017,7:43 PM,Arizona,27,62,7,27,10,11,71,14,21,35,14,8,4,1,18,Xavier,28,53,6,16,11,16,73,7,20,27,14,8,3,1,14
Men,2016,D1,11/22/2015,2:35 p.m.,Jackson St.,26,76,7,19,10,16,69,15,29,44,9,8,6,2,26,Arkansas St.,22,52,5,19,29,37,78,6,39,45,14,12,5,8,16
Men,2016,D1,11/22/2015,2:35 p.m.,Arkansas St.,22,52,5,19,29,37,78,6,39,45,14,12,5,8,16,Jackson St.,26,76,7,19,10,16,69,15,29,44,9,8,6,2,26
Men,2016,D2,01/27/2016,7:30 p.m.,Armstrong St.,30,60,10,20,13,20,83,12,26,38,15,16,4,1,15,S.C. Aiken,27,67,10,23,13,17,77,15,22,37,14,12,7,4,16
Men,2016,D2,01/27/2016,7:30 p.m.,S.C. Aiken,27,67,10,23,13,17,77,15,22,37,14,12,7,4,16,Armstrong St.,30,60,10,20,13,20,83,12,26,38,15,16,4,1,15
Women,2016,D1,12/08/2015,7 p.m.,Bucknell,17,47,11,30,7,9,52,8,28,36,15,22,1,3,18,UMBC,25,56,5,13,10,20,65,8,23,31,18,9,14,1,14
Women,2016,D1,12/08/2015,7 p.m.,UMBC,25,56,5,13,10,20,65,8,23,31,18,9,14,1,14,Bucknell,17,47,11,30,7,9,52,8,28,36,15,22,1,3,18
Women,2017,D2,01/28/2017,5:30 p.m.,Chaminade,24,78,5,27,6,11,59,16,24,40,15,9,13,1,17,Concordia (CA),28,60,3,14,11,16,70,11,41,52,20,19,6,2,17
Women,2017,D2,01/28/2017,5:30 p.m.,Concordia (CA),28,60,3,14,11,16,70,11,41,52,20,19,6,2,17,Chaminade,24,78,5,27,6,11,59,16,24,40,15,9,13,1,17
