Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D1,12/06/2016,8:49 p.m.,Schreiner,15,47,6,23,8,14,44,7,19,26,7,18,5,1,25,A&M-Corpus Chris,28,65,6,21,11,28,73,22,27,49,15,10,12,6,14
Women,2017,D1,12/06/2016,8:49 p.m.,A&M-Corpus Chris,28,65,6,21,11,28,73,22,27,49,15,10,12,6,14,Schreiner,15,47,6,23,8,14,44,7,19,26,7,18,5,1,25
Women,2017,D3,11/22/2016,6:00 pm,Millsaps,28,57,6,17,2,4,64,7,26,33,15,17,15,0,17,Agnes Scott,14,48,2,10,10,16,40,15,22,37,9,25,8,0,5
Women,2017,D3,11/22/2016,6:00 pm,Agnes Scott,14,48,2,10,10,16,40,15,22,37,9,25,8,0,5,Millsaps,28,57,6,17,2,4,64,7,26,33,15,17,15,0,17
Men,2017,D1,11/25/2016,1:30 PM,Alabama St.,23,63,2,23,9,13,57,13,24,37,8,13,1,2,24,Northern Ariz.,23,60,4,19,21,29,71,17,29,46,11,10,4,0,14
Men,2017,D1,11/25/2016,1:30 PM,Northern Ariz.,23,60,4,19,21,29,71,17,29,46,11,10,4,0,14,Alabama St.,23,63,2,23,9,13,57,13,24,37,8,13,1,2,24
Men,2017,D1,11/29/2016,7 p.m.,Jacksonville St.,26,58,10,22,10,19,72,11,24,35,13,15,4,3,20,Alabama St.,28,68,5,15,8,12,69,16,24,40,6,12,3,5,18
Men,2017,D1,11/29/2016,7 p.m.,Alabama St.,28,68,5,15,8,12,69,16,24,40,6,12,3,5,18,Jacksonville St.,26,58,10,22,10,19,72,11,24,35,13,15,4,3,20
Women,2017,D3,11/15/2016,5:30 p.m.,Becker,18,51,7,25,6,16,49,8,35,43,13,22,7,2,13,Anna Maria,22,63,14,38,1,6,59,8,31,39,17,14,9,2,16
Women,2017,D3,11/15/2016,5:30 p.m.,Anna Maria,22,63,14,38,1,6,59,8,31,39,17,14,9,2,16,Becker,18,51,7,25,6,16,49,8,35,43,13,22,7,2,13
