Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D3,01/15/2017,2:00 pm,Agnes Scott,12,45,2,16,10,14,36,12,24,36,4,21,5,6,8,Piedmont,23,61,9,24,6,13,61,19,25,44,11,10,11,0,12
Women,2017,D3,01/15/2017,2:00 pm,Piedmont,23,61,9,24,6,13,61,19,25,44,11,10,11,0,12,Agnes Scott,12,45,2,16,10,14,36,12,24,36,4,21,5,6,8
Men,2017,D1,11/30/2016,7 p.m.,Adrian,14,56,3,14,10,14,41,15,10,25,4,16,4,1,15,Akron,37,60,14,27,7,8,95,12,26,38,20,12,6,7,11
Men,2017,D1,11/30/2016,7 p.m.,Akron,37,60,14,27,7,8,95,12,26,38,20,12,6,7,11,Adrian,14,56,3,14,10,14,41,15,10,25,4,16,4,1,15
Women,2017,D2,01/24/2017,7 pm,Alas. Fairbanks,18,48,2,14,10,20,48,7,24,31,11,20,3,2,17,Alas. Anchorage,32,67,12,28,13,17,89,10,29,39,22,8,12,5,17
Women,2017,D2,01/24/2017,7 pm,Alas. Anchorage,32,67,12,28,13,17,89,10,29,39,22,8,12,5,17,Alas. Fairbanks,18,48,2,14,10,20,48,7,24,31,11,20,3,2,17
Men,2016,D1,12/12/2015,2:30 p.m.,Austin Peay,22,63,5,16,19,26,68,19,24,43,9,15,3,2,24,IPFW,27,58,12,26,19,29,85,13,26,39,14,13,7,5,19
Men,2016,D1,12/12/2015,2:30 p.m.,IPFW,27,58,12,26,19,29,85,13,26,39,14,13,7,5,19,Austin Peay,22,63,5,16,19,26,68,19,24,43,9,15,3,2,24
Women,2016,D3,01/23/2016,3:00pm,Bethel (MN),19,46,0,5,22,26,60,6,23,29,4,16,10,3,18,Concordia-M'head,24,52,4,11,12,19,64,9,24,33,15,15,8,2,15
Women,2016,D3,01/23/2016,3:00pm,Concordia-M'head,24,52,4,11,12,19,64,9,24,33,15,15,8,2,15,Bethel (MN),19,46,0,5,22,26,60,6,23,29,4,16,10,3,18
Men,2017,D1,02/04/2017,7:00 PM,Santa Clara,19,48,5,16,12,18,55,2,16,18,9,12,4,2,23,Gonzaga,31,51,8,16,20,30,90,7,32,39,20,10,6,1,16
Men,2017,D1,02/04/2017,7:00 PM,Gonzaga,31,51,8,16,20,30,90,7,32,39,20,10,6,1,16,Santa Clara,19,48,5,16,12,18,55,2,16,18,9,12,4,2,23
