Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2016,D2,01/23/2016,7:40 PM,Alas. Anchorage,31,61,6,20,22,27,90,13,30,43,14,7,4,6,14,Concordia Portland,28,66,5,23,10,12,71,10,20,30,17,8,4,4,23
Men,2016,D2,01/23/2016,7:40 PM,Concordia Portland,28,66,5,23,10,12,71,10,20,30,17,8,4,4,23,Alas. Anchorage,31,61,6,20,22,27,90,13,30,43,14,7,4,6,14
Men,2017,D2,01/05/2017,7:00 pm,Alas. Fairbanks,24,57,6,17,15,17,69,7,18,25,15,11,10,4,19,Western Wash.,28,60,5,20,17,21,78,16,26,42,14,17,6,6,16
Men,2017,D2,01/05/2017,7:00 pm,Western Wash.,28,60,5,20,17,21,78,16,26,42,14,17,6,6,16,Alas. Fairbanks,24,57,6,17,15,17,69,7,18,25,15,11,10,4,19
Women,2016,D3,01/16/2016,3:00 p.m.,Calvin,23,74,8,32,13,25,67,24,20,44,11,17,11,6,11,Alma,19,44,4,12,7,10,49,6,30,36,12,33,7,7,21
Women,2016,D3,01/16/2016,3:00 p.m.,Alma,19,44,4,12,7,10,49,6,30,36,12,33,7,7,21,Calvin,23,74,8,32,13,25,67,24,20,44,11,17,11,6,11
Men,2017,D2,01/28/2017,5:00 PM,Edinboro,16,55,6,22,14,20,52,7,24,31,9,11,10,3,19,California (PA),20,62,6,31,12,20,58,22,34,56,11,18,6,1,17
Men,2017,D2,01/28/2017,5:00 PM,California (PA),20,62,6,31,12,20,58,22,34,56,11,18,6,1,17,Edinboro,16,55,6,22,14,20,52,7,24,31,9,11,10,3,19
Men,2017,D1,01/19/2017,8 p.m.,Gonzaga,30,58,6,19,22,28,88,9,33,42,16,6,4,3,14,Santa Clara,19,52,9,25,10,14,57,1,22,23,13,10,4,4,21
Men,2017,D1,01/19/2017,8 p.m.,Santa Clara,19,52,9,25,10,14,57,1,22,23,13,10,4,4,21,Gonzaga,30,58,6,19,22,28,88,9,33,42,16,6,4,3,14
Men,2016,D2,01/07/2016,7:30 pm,Henderson St.,32,67,8,19,5,11,77,13,27,40,22,9,5,2,15,Southwestern Okla.,18,53,5,23,11,12,52,9,25,34,10,17,3,3,13
Men,2016,D2,01/07/2016,7:30 pm,Southwestern Okla.,18,53,5,23,11,12,52,9,25,34,10,17,3,3,13,Henderson St.,32,67,8,19,5,11,77,13,27,40,22,9,5,2,15
Men,2017,D2,12/15/2016,7:30 p.m.,Hillsdale,23,48,8,23,11,14,65,7,28,35,12,20,5,1,24,Michigan Tech,23,55,7,21,18,22,71,5,19,24,9,7,10,0,16
Men,2017,D2,12/15/2016,7:30 p.m.,Michigan Tech,23,55,7,21,18,22,71,5,19,24,9,7,10,0,16,Hillsdale,23,48,8,23,11,14,65,7,28,35,12,20,5,1,24
Women,2016,D1,03/06/2016,2:30 p.m.,Omaha,22,55,5,12,13,19,62,10,31,41,12,13,7,6,11,IUPUI,20,63,6,23,5,8,51,13,27,40,14,14,6,3,18
Women,2016,D1,03/06/2016,2:30 p.m.,IUPUI,20,63,6,23,5,8,51,13,27,40,14,14,6,3,18,Omaha,22,55,5,12,13,19,62,10,31,41,12,13,7,6,11
Women,2016,D1,02/01/2016,7 p.m.,Iona,30,87,10,24,9,13,79,23,26,49,16,11,9,6,14,Canisius,27,59,7,16,15,18,76,7,33,40,21,19,5,9,15
Women,2016,D1,02/01/2016,7 p.m.,Canisius,27,59,7,16,15,18,76,7,33,40,21,19,5,9,15,Iona,30,87,10,24,9,13,79,23,26,49,16,11,9,6,14
Men,2017,D3,02/08/2017,8 p.m.,Iowa Wesleyan,49,69,1,5,15,26,114,3,37,40,22,25,10,7,21,Greenville,48,102,9,41,17,28,122,23,26,49,19,13,15,4,23
Men,2017,D3,02/08/2017,8 p.m.,Greenville,48,102,9,41,17,28,122,23,26,49,19,13,15,4,23,Iowa Wesleyan,49,69,1,5,15,26,114,3,37,40,22,25,10,7,21
Women,2017,D1,11/14/2016,4:30 P.M.,Jacksonville St.,29,62,2,5,5,9,65,11,28,39,13,14,7,8,19,Kennesaw St.,20,61,3,14,16,24,59,16,22,38,11,12,9,3,14
Women,2017,D1,11/14/2016,4:30 P.M.,Kennesaw St.,20,61,3,14,16,24,59,16,22,38,11,12,9,3,14,Jacksonville St.,29,62,2,5,5,9,65,11,28,39,13,14,7,8,19
Men,2017,D1,12/19/2016,6 pm CT,Saint Francis (PA),23,60,10,20,9,11,65,9,24,33,17,17,10,2,14,Marquette,27,60,13,30,11,15,78,9,27,36,18,15,6,6,14
Men,2017,D1,12/19/2016,6 pm CT,Marquette,27,60,13,30,11,15,78,9,27,36,18,15,6,6,14,Saint Francis (PA),23,60,10,20,9,11,65,9,24,33,17,17,10,2,14
Men,2016,D1,01/23/2016,1:05 PM,Towson,23,50,6,21,27,42,79,12,21,33,11,12,12,3,26,Northeastern,20,46,7,16,25,29,72,4,22,26,10,16,2,1,26
Men,2016,D1,01/23/2016,1:05 PM,Northeastern,20,46,7,16,25,29,72,4,22,26,10,16,2,1,26,Towson,23,50,6,21,27,42,79,12,21,33,11,12,12,3,26
Men,2016,D1,03/05/2016,12:00 pm,North Carolina St.,29,70,7,23,10,14,75,15,23,38,11,11,5,0,15,Notre Dame,31,62,12,26,15,18,89,10,29,39,19,11,7,4,18
Men,2016,D1,03/05/2016,12:00 pm,Notre Dame,31,62,12,26,15,18,89,10,29,39,19,11,7,4,18,North Carolina St.,29,70,7,23,10,14,75,15,23,38,11,11,5,0,15
Men,2016,D2,02/22/2016,7:30PM,Ky. Christian,25,56,3,11,19,26,72,11,23,34,8,22,4,2,13,Ohio Valley,44,77,9,26,9,13,106,13,24,37,14,10,12,3,23
Men,2016,D2,02/22/2016,7:30PM,Ohio Valley,44,77,9,26,9,13,106,13,24,37,14,10,12,3,23,Ky. Christian,25,56,3,11,19,26,72,11,23,34,8,22,4,2,13
Men,2016,D2,01/23/2016,3 p.m.,Rogers St.,24,50,5,16,16,20,69,6,23,29,11,8,4,3,19,Okla. Christian,25,57,6,18,11,19,67,13,22,35,16,9,4,4,15
