Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D3,01/18/2017,8:00 p.m.,Arcadia,19,55,6,13,12,16,56,8,26,34,9,21,11,1,21,Widener,25,50,6,16,14,21,70,4,30,34,14,18,10,7,15
Men,2017,D3,01/18/2017,8:00 p.m.,Widener,25,50,6,16,14,21,70,4,30,34,14,18,10,7,15,Arcadia,19,55,6,13,12,16,56,8,26,34,9,21,11,1,21
Men,2016,D1,11/16/2015,7:00pm,Austin Peay,29,60,7,14,11,14,76,9,16,25,15,23,6,5,15,Indiana,40,60,16,27,6,10,102,6,24,30,25,20,14,3,15
Men,2016,D1,11/16/2015,7:00pm,Indiana,40,60,16,27,6,10,102,6,24,30,25,20,14,3,15,Austin Peay,29,60,7,14,11,14,76,9,16,25,15,23,6,5,15
Women,2016,D1,01/23/2016,4 p.m.,Boston U.,19,51,6,17,12,18,56,10,22,32,10,20,4,6,19,Bucknell,28,63,5,19,13,19,74,15,23,38,17,11,12,3,13
Women,2016,D1,01/23/2016,4 p.m.,Bucknell,28,63,5,19,13,19,74,15,23,38,17,11,12,3,13,Boston U.,19,51,6,17,12,18,56,10,22,32,10,20,4,6,19
Women,2017,D3,03/04/2017,7 p.m.,DePauw,18,52,2,19,11,14,49,7,24,31,5,8,3,2,15,Wis.-Oshkosh,27,61,7,20,3,5,64,11,27,38,9,8,2,1,13
Women,2017,D3,03/04/2017,7 p.m.,Wis.-Oshkosh,27,61,7,20,3,5,64,11,27,38,9,8,2,1,13,DePauw,18,52,2,19,11,14,49,7,24,31,5,8,3,2,15
Women,2017,D3,01/25/2017,7:30 PM,DePauw,19,55,6,19,7,8,51,11,25,36,13,13,7,2,10,Wittenberg,14,48,3,20,7,8,38,9,22,31,8,19,5,2,15
Women,2017,D3,01/25/2017,7:30 PM,Wittenberg,14,48,3,20,7,8,38,9,22,31,8,19,5,2,15,DePauw,19,55,6,19,7,8,51,11,25,36,13,13,7,2,10
