Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,03/20/2017,8:58 p.m.,Akron,22,65,10,35,15,23,69,14,25,39,8,17,7,4,18,UT Arlington,33,62,12,29,7,12,85,7,32,39,21,16,8,3,15
Men,2017,D1,03/20/2017,8:58 p.m.,UT Arlington,33,62,12,29,7,12,85,7,32,39,21,16,8,3,15,Akron,22,65,10,35,15,23,69,14,25,39,8,17,7,4,18
Women,2016,D2,02/20/2016,3:36 p.m.,Ala.-Huntsville,26,57,14,29,4,6,70,5,25,30,12,16,4,0,26,Union (TN),29,56,5,19,21,33,84,9,26,35,13,11,7,1,12
Women,2016,D2,02/20/2016,3:36 p.m.,Union (TN),29,56,5,19,21,33,84,9,26,35,13,11,7,1,12,Ala.-Huntsville,26,57,14,29,4,6,70,5,25,30,12,16,4,0,26
Men,2016,D2,01/30/2016,2 pm,Seattle Pacific,28,51,8,19,10,18,74,10,20,30,20,15,2,2,21,Alas. Anchorage,25,53,8,19,13,17,71,7,19,26,15,11,5,2,20
Men,2016,D2,01/30/2016,2 pm,Alas. Anchorage,25,53,8,19,13,17,71,7,19,26,15,11,5,2,20,Seattle Pacific,28,51,8,19,10,18,74,10,20,30,20,15,2,2,21
Women,2016,D2,11/19/2015,6 p.m,Alas. Anchorage,37,69,9,27,9,17,92,16,31,47,23,16,14,2,25,Hawaii Hilo,13,45,6,22,7,17,39,5,20,25,9,27,5,3,19
Women,2016,D2,11/19/2015,6 p.m,Hawaii Hilo,13,45,6,22,7,17,39,5,20,25,9,27,5,3,19,Alas. Anchorage,37,69,9,27,9,17,92,16,31,47,23,16,14,2,25
Women,2016,D3,01/06/2016,07:34 PM,Alma,22,48,9,16,12,21,65,6,19,25,14,17,10,1,26,Albion,26,57,6,18,15,28,73,18,26,44,20,16,7,0,15
Women,2016,D3,01/06/2016,07:34 PM,Albion,26,57,6,18,15,28,73,18,26,44,20,16,7,0,15,Alma,22,48,9,16,12,21,65,6,19,25,14,17,10,1,26
Women,2017,D3,01/03/2017,5:00 pm,Becker,18,68,5,21,19,28,60,38,27,65,8,35,14,5,22,Mount Ida,19,50,9,20,14,24,61,7,16,23,17,26,23,3,24
Women,2017,D3,01/03/2017,5:00 pm,Mount Ida,19,50,9,20,14,24,61,7,16,23,17,26,23,3,24,Becker,18,68,5,21,19,28,60,38,27,65,8,35,14,5,22
Women,2017,D3,01/26/2017,7:00 p.m.,Wheelock,19,50,5,15,14,18,57,13,23,36,12,25,11,4,17,Becker,24,60,5,17,5,11,58,15,20,35,14,19,17,1,20
Women,2017,D3,01/26/2017,7:00 p.m.,Becker,24,60,5,17,5,11,58,15,20,35,14,19,17,1,20,Wheelock,19,50,5,15,14,18,57,13,23,36,12,25,11,4,17
Women,2017,D2,02/15/2017,8:00 pm,Bridgeport,29,60,2,13,5,6,65,8,24,32,10,22,7,5,22,Queens (NY),30,59,2,8,16,23,78,9,21,30,19,15,13,5,10
Women,2017,D2,02/15/2017,8:00 pm,Queens (NY),30,59,2,8,16,23,78,9,21,30,19,15,13,5,10,Bridgeport,29,60,2,13,5,6,65,8,24,32,10,22,7,5,22
Men,2017,D1,12/10/2016,5:00 PM,Akron,16,60,5,25,6,14,43,20,22,42,7,13,7,3,17,Gonzaga,20,50,4,15,17,20,61,9,27,36,11,11,8,4,13
Men,2017,D1,12/10/2016,5:00 PM,Gonzaga,20,50,4,15,17,20,61,9,27,36,11,11,8,4,13,Akron,16,60,5,25,6,14,43,20,22,42,7,13,7,3,17
