Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D1,12/15/2016,7 p.m.,A&M-Corpus Chris,16,54,2,13,2,9,36,14,12,26,8,17,7,0,20,Rice,27,52,9,23,7,9,70,13,27,40,21,18,8,5,17
Women,2017,D1,12/15/2016,7 p.m.,Rice,27,52,9,23,7,9,70,13,27,40,21,18,8,5,17,A&M-Corpus Chris,16,54,2,13,2,9,36,14,12,26,8,17,7,0,20
Men,2016,D2,11/27/2015,3 p.m.,Alas. Fairbanks,22,66,9,30,5,7,58,9,17,26,12,18,13,4,22,Dixie St.,25,53,2,7,19,24,71,10,30,40,10,22,8,2,16
Men,2016,D2,11/27/2015,3 p.m.,Dixie St.,25,53,2,7,19,24,71,10,30,40,10,22,8,2,16,Alas. Fairbanks,22,66,9,30,5,7,58,9,17,26,12,18,13,4,22
Men,2016,D2,12/11/2015,7 p.m.,Northwest Indian,19,66,11,33,14,18,63,8,22,30,9,19,9,1,18,Alas. Fairbanks,45,77,9,20,14,24,113,15,40,55,26,13,16,2,20
Men,2016,D2,12/11/2015,7 p.m.,Alas. Fairbanks,45,77,9,20,14,24,113,15,40,55,26,13,16,2,20,Northwest Indian,19,66,11,33,14,18,63,8,22,30,9,19,9,1,18
Women,2016,D3,01/13/2016,6:00 PM,Alma,24,48,6,13,12,21,66,5,28,33,14,23,10,7,20,Olivet,24,55,8,16,14,23,70,8,24,32,19,16,15,2,23
Women,2016,D3,01/13/2016,6:00 PM,Olivet,24,55,8,16,14,23,70,8,24,32,19,16,15,2,23,Alma,24,48,6,13,12,21,66,5,28,33,14,23,10,7,20
Women,2017,D2,02/23/2017,6:33 p.m.,Ala.-Huntsville,20,53,3,20,6,10,49,9,23,32,9,14,5,2,17,Christian Bros.,24,59,6,18,6,11,60,10,26,36,14,8,8,2,15
Women,2017,D2,02/23/2017,6:33 p.m.,Christian Bros.,24,59,6,18,6,11,60,10,26,36,14,8,8,2,15,Ala.-Huntsville,20,53,3,20,6,10,49,9,23,32,9,14,5,2,17
