Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2016,D2,02/04/2016,7:00 pm,Alas. Fairbanks,20,52,3,9,19,24,62,6,20,26,12,12,12,1,16,Western Ore.,24,59,4,13,9,13,61,17,29,46,12,19,7,4,20
Women,2016,D2,02/04/2016,7:00 pm,Western Ore.,24,59,4,13,9,13,61,17,29,46,12,19,7,4,20,Alas. Fairbanks,20,52,3,9,19,24,62,6,20,26,12,12,12,1,16
Men,2016,D3,02/10/2016,8:00 p.m.,Calvin,29,82,4,33,17,19,79,22,31,53,12,10,3,1,16,Alma,33,61,9,22,16,17,91,3,29,32,15,10,5,7,19
Men,2016,D3,02/10/2016,8:00 p.m.,Alma,33,61,9,22,16,17,91,3,29,32,15,10,5,7,19,Calvin,29,82,4,33,17,19,79,22,31,53,12,10,3,1,16
Men,2016,D2,02/27/2016,7 p.m.,Armstrong St.,26,51,15,32,4,11,71,6,23,29,21,16,4,0,23,Montevallo,29,57,7,18,11,22,76,11,25,36,12,13,10,3,18
Men,2016,D2,02/27/2016,7 p.m.,Montevallo,29,57,7,18,11,22,76,11,25,36,12,13,10,3,18,Armstrong St.,26,51,15,32,4,11,71,6,23,29,21,16,4,0,23
Women,2017,D2,02/01/2017,5:30 p.m.,West Chester,22,63,5,20,19,26,68,14,21,35,11,14,9,3,22,Bloomsburg,29,61,6,17,17,25,81,14,30,44,20,17,8,6,20
Women,2017,D2,02/01/2017,5:30 p.m.,Bloomsburg,29,61,6,17,17,25,81,14,30,44,20,17,8,6,20,West Chester,22,63,5,20,19,26,68,14,21,35,11,14,9,3,22
Women,2017,D1,11/13/2016,2:00 PM,Penn,20,65,6,27,9,16,55,19,23,42,13,15,8,6,17,Duke,25,61,7,16,11,17,68,15,30,45,16,16,7,6,16
Women,2017,D1,11/13/2016,2:00 PM,Duke,25,61,7,16,11,17,68,15,30,45,16,16,7,6,16,Penn,20,65,6,27,9,16,55,19,23,42,13,15,8,6,17
Women,2017,D1,02/27/2017,7:05 p.m.,Oklahoma St.,20,79,1,19,7,11,48,18,33,51,6,6,3,2,21,Iowa St.,22,64,4,16,13,15,61,9,43,52,12,8,2,4,12
Women,2017,D1,02/27/2017,7:05 p.m.,Iowa St.,22,64,4,16,13,15,61,9,43,52,12,8,2,4,12,Oklahoma St.,20,79,1,19,7,11,48,18,33,51,6,6,3,2,21
Men,2017,D3,02/07/2017,8 p.m.,Elmira,25,76,7,18,10,19,67,23,29,52,9,15,5,3,24,Ithaca,27,60,7,19,22,31,83,11,35,46,17,14,6,8,18
Men,2017,D3,02/07/2017,8 p.m.,Ithaca,27,60,7,19,22,31,83,11,35,46,17,14,6,8,18,Elmira,25,76,7,18,10,19,67,23,29,52,9,15,5,3,24
Women,2016,D3,01/30/2016,3pm,Macalester,18,51,4,17,9,14,49,3,19,22,12,18,3,3,24,Gust. Adolphus,29,56,4,12,24,32,86,11,31,42,21,15,9,2,19
Women,2016,D3,01/30/2016,3pm,Gust. Adolphus,29,56,4,12,24,32,86,11,31,42,21,15,9,2,19,Macalester,18,51,4,17,9,14,49,3,19,22,12,18,3,3,24
Men,2016,D1,12/19/2015,6 p.m.,Rice,29,64,11,27,21,27,90,9,22,31,16,13,11,2,24,New Mexico,30,59,7,19,22,32,89,11,29,40,22,18,8,8,22
Men,2016,D1,12/19/2015,6 p.m.,New Mexico,30,59,7,19,22,32,89,11,29,40,22,18,8,8,22,Rice,29,64,11,27,21,27,90,9,22,31,16,13,11,2,24
Women,2017,D1,12/11/2016,12 p.m.,New Mexico St.,32,56,4,6,11,11,79,5,21,26,14,15,8,0,16,Northern Ariz.,23,57,11,28,11,14,68,15,19,34,17,19,7,1,10
Women,2017,D1,12/11/2016,12 p.m.,Northern Ariz.,23,57,11,28,11,14,68,15,19,34,17,19,7,1,10,New Mexico St.,32,56,4,6,11,11,79,5,21,26,14,15,8,0,16
Men,2016,D2,01/28/2016,9:53 p.m.,Ohio Valley,34,69,7,24,6,10,81,14,28,42,17,19,3,6,25,Trevecca Nazarene,32,68,12,22,14,25,90,12,25,37,17,12,4,2,17
Men,2016,D2,01/28/2016,9:53 p.m.,Trevecca Nazarene,32,68,12,22,14,25,90,12,25,37,17,12,4,2,17,Ohio Valley,34,69,7,24,6,10,81,14,28,42,17,19,3,6,25
Men,2017,D2,11/21/2016,7 p.m.,Okla. Sci. & Arts,21,67,3,22,20,27,65,17,22,39,8,15,2,5,23,Okla. Christian,31,65,9,22,25,32,96,16,33,49,22,10,5,10,24
Men,2017,D2,11/21/2016,7 p.m.,Okla. Christian,31,65,9,22,25,32,96,16,33,49,22,10,5,10,24,Okla. Sci. & Arts,21,67,3,22,20,27,65,17,22,39,8,15,2,5,23
Men,2016,D3,12/12/2015,2 PM,Mt. St. Vincent,27,62,8,26,10,15,72,13,24,37,18,18,9,1,20,Old Westbury,27,64,8,25,14,22,76,17,24,41,14,18,12,6,18
