Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Women,2017,D1,01/02/2017,6 PM,A&M-Corpus Chris,22,48,5,17,5,6,54,8,21,29,10,21,6,2,18,Nicholls St.,25,54,12,27,12,13,74,6,18,24,16,12,14,2,12
Women,2017,D1,01/02/2017,6 PM,Nicholls St.,25,54,12,27,12,13,74,6,18,24,16,12,14,2,12,A&M-Corpus Chris,22,48,5,17,5,6,54,8,21,29,10,21,6,2,18
Men,2017,D1,01/17/2017,7:00 pm,Ohio,28,63,5,16,7,13,68,9,18,27,11,8,5,0,16,Akron,31,56,9,19,12,14,83,7,27,34,19,11,4,5,19
Men,2017,D1,01/17/2017,7:00 pm,Akron,31,56,9,19,12,14,83,7,27,34,19,11,4,5,19,Ohio,28,63,5,16,7,13,68,9,18,27,11,8,5,0,16
Men,2017,D1,03/01/2017,7:35 p.m. CT,Ole Miss,19,61,4,21,13,19,55,13,23,36,5,14,6,1,20,Alabama,24,51,6,21,16,24,70,9,31,40,12,18,5,7,17
Men,2017,D1,03/01/2017,7:35 p.m. CT,Alabama,24,51,6,21,16,24,70,9,31,40,12,18,5,7,17,Ole Miss,19,61,4,21,13,19,55,13,23,36,5,14,6,1,20
Men,2016,D3,11/24/2015,8:00 pm,Allegheny,24,58,5,20,8,13,61,7,23,30,12,15,6,4,20,Carnegie Mellon,28,62,6,23,11,16,73,13,30,43,15,15,10,7,19
Men,2016,D3,11/24/2015,8:00 pm,Carnegie Mellon,28,62,6,23,11,16,73,13,30,43,15,15,10,7,19,Allegheny,24,58,5,20,8,13,61,7,23,30,12,15,6,4,20
Men,2016,D3,02/13/2016,7:00 p.m.,Trine,18,52,9,25,5,6,50,4,20,24,15,18,8,1,10,Alma,29,62,9,25,2,2,69,13,30,43,17,18,8,4,7
Men,2016,D3,02/13/2016,7:00 p.m.,Alma,29,62,9,25,2,2,69,13,30,43,17,18,8,4,7,Trine,18,52,9,25,5,6,50,4,20,24,15,18,8,1,10
