Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,01/28/2017,7:30 p.m.,Buffalo,33,62,10,22,14,23,90,7,22,29,7,8,4,2,28,Akron,27,57,11,31,26,40,91,10,26,36,15,7,2,1,21
Men,2017,D1,01/28/2017,7:30 p.m.,Akron,27,57,11,31,26,40,91,10,26,36,15,7,2,1,21,Buffalo,33,62,10,22,14,23,90,7,22,29,7,8,4,2,28
Men,2017,D2,12/31/2016,5 pm,Saint Martin's,20,50,9,20,0,1,49,3,26,29,14,16,6,8,18,Alas. Anchorage,18,53,4,16,15,18,55,8,28,36,11,10,6,5,8
Men,2017,D2,12/31/2016,5 pm,Alas. Anchorage,18,53,4,16,15,18,55,8,28,36,11,10,6,5,8,Saint Martin's,20,50,9,20,0,1,49,3,26,29,14,16,6,8,18
Women,2017,D2,11/24/2016,3pm AKST,Newman,29,66,3,12,10,19,71,20,30,50,7,30,10,0,19,Alas. Fairbanks,25,63,4,20,7,11,61,11,23,34,17,25,11,0,22
Women,2017,D2,11/24/2016,3pm AKST,Alas. Fairbanks,25,63,4,20,7,11,61,11,23,34,17,25,11,0,22,Newman,29,66,3,12,10,19,71,20,30,50,7,30,10,0,19
Women,2016,D3,11/30/2015,07:34 PM,Rochester College,25,54,4,11,12,17,66,10,32,42,12,22,8,4,21,Albion,21,70,5,26,15,20,62,19,23,42,14,15,9,1,14
Women,2016,D3,11/30/2015,07:34 PM,Albion,21,70,5,26,15,20,62,19,23,42,14,15,9,1,14,Rochester College,25,54,4,11,12,17,66,10,32,42,12,22,8,4,21
Men,2017,D3,01/03/2017,4:41 p.m.,Allegheny,30,59,14,30,17,25,91,5,19,24,18,15,9,0,22,DePauw,34,59,14,30,18,20,100,6,27,33,20,17,4,2,20
Men,2017,D3,01/03/2017,4:41 p.m.,DePauw,34,59,14,30,18,20,100,6,27,33,20,17,4,2,20,Allegheny,30,59,14,30,17,25,91,5,19,24,18,15,9,0,22
Women,2016,D1,11/23/2015,11 a.m.,Kansas,19,59,4,20,10,13,52,13,25,38,9,17,2,5,26,Arizona,23,56,7,12,14,26,67,15,30,45,9,14,5,5,22
Women,2016,D1,11/23/2015,11 a.m.,Arizona,23,56,7,12,14,26,67,15,30,45,9,14,5,5,22,Kansas,19,59,4,20,10,13,52,13,25,38,9,17,2,5,26
Women,2017,D2,01/11/2017,7:30 pm,Mansfield,13,51,3,21,8,12,37,10,29,39,4,17,6,1,17,Bloomsburg,17,56,4,18,15,20,53,11,29,40,12,11,7,4,13
Women,2017,D2,01/11/2017,7:30 pm,Bloomsburg,17,56,4,18,15,20,53,11,29,40,12,11,7,4,13,Mansfield,13,51,3,21,8,12,37,10,29,39,4,17,6,1,17
Women,2016,D1,01/30/2016,1 pm,Bucknell,21,48,2,4,19,23,63,13,32,45,8,18,5,2,21,Army West Point,26,64,8,18,8,12,68,8,15,23,13,5,6,8,18
Women,2016,D1,01/30/2016,1 pm,Army West Point,26,64,8,18,8,12,68,8,15,23,13,5,6,8,18,Bucknell,21,48,2,4,19,23,63,13,32,45,8,18,5,2,21
Women,2016,D3,02/20/2016,1:00,New England Col.,20,52,2,5,19,25,61,14,32,46,15,22,6,4,13,Colby-Sawyer,18,64,2,13,13,18,51,15,20,35,8,16,14,3,18
