Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D2,02/02/2017,07:30 pm,Western Wash.,29,54,5,19,16,23,79,9,24,33,14,15,1,3,19,Alas. Anchorage,29,62,7,16,22,29,87,12,20,32,13,6,6,2,19
Men,2017,D2,02/02/2017,07:30 pm,Alas. Anchorage,29,62,7,16,22,29,87,12,20,32,13,6,6,2,19,Western Wash.,29,54,5,19,16,23,79,9,24,33,14,15,1,3,19
Women,2016,D2,01/14/2016,7 pm,Alas. Fairbanks,23,61,4,15,7,15,57,13,12,25,12,18,12,2,21,Northwest Nazarene,25,51,7,16,17,22,74,15,30,45,13,24,12,3,24
Women,2016,D2,01/14/2016,7 pm,Northwest Nazarene,25,51,7,16,17,22,74,15,30,45,13,24,12,3,24,Alas. Fairbanks,23,61,4,15,7,15,57,13,12,25,12,18,12,2,21
Men,2017,D1,02/02/2017,6:00 PM,Arizona,23,52,5,17,20,26,71,13,26,39,10,11,7,1,14,Oregon St.,21,50,4,15,8,14,54,8,18,26,11,15,7,1,19
Men,2017,D1,02/02/2017,6:00 PM,Oregon St.,21,50,4,15,8,14,54,8,18,26,11,15,7,1,19,Arizona,23,52,5,17,20,26,71,13,26,39,10,11,7,1,14
Women,2017,D1,01/13/2017,7:02 p.m.,Drake,36,70,11,23,10,15,93,13,29,42,30,16,16,8,19,Bradley,24,61,5,15,7,11,60,12,25,37,19,23,6,2,14
Women,2017,D1,01/13/2017,7:02 p.m.,Bradley,24,61,5,15,7,11,60,12,25,37,19,23,6,2,14,Drake,36,70,11,23,10,15,93,13,29,42,30,16,16,8,19
Women,2016,D1,02/20/2016,4:00 PM,Cal Poly,31,62,7,16,8,10,77,9,28,37,22,10,6,3,20,CSUN,24,57,4,10,14,21,66,9,23,32,13,11,7,4,16
Women,2016,D1,02/20/2016,4:00 PM,CSUN,24,57,4,10,14,21,66,9,23,32,13,11,7,4,16,Cal Poly,31,62,7,16,8,10,77,9,28,37,22,10,6,3,20
Women,2016,D3,11/15/2015,1:00 pm,Fitchburg St.,14,61,4,7,8,12,40,19,28,47,5,25,8,3,14,Colby-Sawyer,30,76,3,26,8,16,71,21,30,51,19,13,15,15,12
Women,2016,D3,11/15/2015,1:00 pm,Colby-Sawyer,30,76,3,26,8,16,71,21,30,51,19,13,15,15,12,Fitchburg St.,14,61,4,7,8,12,40,19,28,47,5,25,8,3,14
Women,2017,D3,11/19/2016,2:00PM,Daniel Webster,7,45,0,12,7,10,21,5,20,25,3,26,2,2,15,Smith,33,71,5,15,10,17,81,20,35,55,14,13,14,1,15
Women,2017,D3,11/19/2016,2:00PM,Smith,33,71,5,15,10,17,81,20,35,55,14,13,14,1,15,Daniel Webster,7,45,0,12,7,10,21,5,20,25,3,26,2,2,15
