Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D1,01/31/2017,7 p.m.,Akron,26,57,11,28,13,20,76,7,21,28,13,9,11,3,16,Northern Ill.,28,53,8,12,9,13,73,6,28,34,13,16,5,1,19
Men,2017,D1,01/31/2017,7 p.m.,Northern Ill.,28,53,8,12,9,13,73,6,28,34,13,16,5,1,19,Akron,26,57,11,28,13,20,76,7,21,28,13,9,11,3,16
Men,2017,D1,01/21/2017,3:00 p.m.,Alabama,24,58,6,21,10,19,64,15,19,34,13,16,6,3,26,Auburn,24,48,8,13,28,42,84,10,24,34,10,13,10,2,16
Men,2017,D1,01/21/2017,3:00 p.m.,Auburn,24,48,8,13,28,42,84,10,24,34,10,13,10,2,16,Alabama,24,58,6,21,10,19,64,15,19,34,13,16,6,3,26
Men,2017,D2,12/29/2016,7 pm,Seattle Pacific,17,55,4,25,11,20,49,13,19,32,11,11,1,4,19,Alas. Anchorage,32,61,9,18,12,18,85,13,28,41,24,6,6,5,18
Men,2017,D2,12/29/2016,7 pm,Alas. Anchorage,32,61,9,18,12,18,85,13,28,41,24,6,6,5,18,Seattle Pacific,17,55,4,25,11,20,49,13,19,32,11,11,1,4,19
Men,2016,D2,02/11/2016,7:30 pm,Alas. Fairbanks,25,57,6,20,15,19,71,9,20,29,17,8,5,2,20,Alas. Anchorage,22,53,9,23,23,27,76,11,26,37,12,8,3,3,17
Men,2016,D2,02/11/2016,7:30 pm,Alas. Anchorage,22,53,9,23,23,27,76,11,26,37,12,8,3,3,17,Alas. Fairbanks,25,57,6,20,15,19,71,9,20,29,17,8,5,2,20
Men,2016,D3,11/20/2015,6:10 pm,Adrian,29,50,15,28,11,16,84,9,24,33,15,13,9,3,22,Allegheny,18,47,2,17,13,22,51,10,15,25,9,17,7,1,16
Men,2016,D3,11/20/2015,6:10 pm,Allegheny,18,47,2,17,13,22,51,10,15,25,9,17,7,1,16,Adrian,29,50,15,28,11,16,84,9,24,33,15,13,9,3,22
Men,2016,D3,03/04/2016,5:00 pm,Denison,21,57,10,28,8,15,60,14,22,36,16,13,8,1,14,Alma,29,54,7,16,9,11,74,4,27,31,12,11,7,1,16
Men,2016,D3,03/04/2016,5:00 pm,Alma,29,54,7,16,9,11,74,4,27,31,12,11,7,1,16,Denison,21,57,10,28,8,15,60,14,22,36,16,13,8,1,14
Women,2016,D3,12/12/2015,1:00pm,Anna Maria,20,57,5,18,11,16,56,8,25,33,8,27,11,3,22,Framingham St.,27,72,5,24,21,29,80,22,31,53,20,19,14,6,17
Women,2016,D3,12/12/2015,1:00pm,Framingham St.,27,72,5,24,21,29,80,22,31,53,20,19,14,6,17,Anna Maria,20,57,5,18,11,16,56,8,25,33,8,27,11,3,22
Men,2016,D3,12/02/2015,7:30 PM,Averett,31,56,11,24,18,26,91,12,29,41,14,17,7,2,16,Johnson & Wales (NC),27,64,7,21,12,21,73,10,15,25,6,12,13,3,19
Men,2016,D3,12/02/2015,7:30 PM,Johnson & Wales (NC),27,64,7,21,12,21,73,10,15,25,6,12,13,3,19,Averett,31,56,11,24,18,26,91,12,29,41,14,17,7,2,16
Women,2017,D3,11/22/2016,5 p.m.,Bard,26,73,2,14,8,11,62,10,29,39,16,14,5,6,16,Cazenovia,37,77,13,25,9,14,96,16,38,54,28,13,11,2,12
Women,2017,D3,11/22/2016,5 p.m.,Cazenovia,37,77,13,25,9,14,96,16,38,54,28,13,11,2,12,Bard,26,73,2,14,8,11,62,10,29,39,16,14,5,6,16
Women,2017,D3,01/13/2017,6:00 P.M.,St. Lawrence,39,67,8,20,15,19,101,15,32,47,32,6,9,5,10,Bard,18,58,2,10,5,10,43,12,16,28,7,15,2,0,19
Women,2017,D3,01/13/2017,6:00 P.M.,Bard,18,58,2,10,5,10,43,12,16,28,7,15,2,0,19,St. Lawrence,39,67,8,20,15,19,101,15,32,47,32,6,9,5,10
Men,2017,D3,01/12/2017,7:00 PM,Chapman,30,58,6,13,9,14,75,13,16,29,13,17,4,3,14,Cal Lutheran,35,60,10,17,12,13,92,10,17,27,22,12,8,2,16
Men,2017,D3,01/12/2017,7:00 PM,Cal Lutheran,35,60,10,17,12,13,92,10,17,27,22,12,8,2,16,Chapman,30,58,6,13,9,14,75,13,16,29,13,17,4,3,14
Women,2017,D2,01/03/2017,5:00 p.m.,Concordia (CA),36,69,7,18,14,25,93,12,21,33,19,10,12,0,18,Chaminade,28,58,6,17,15,21,77,11,27,38,19,20,5,1,16
Women,2017,D2,01/03/2017,5:00 p.m.,Chaminade,28,58,6,17,15,21,77,11,27,38,19,20,5,1,16,Concordia (CA),36,69,7,18,14,25,93,12,21,33,19,10,12,0,18
Women,2017,D1,01/22/2017,2:05 p.m.,Duke,29,64,7,15,2,6,67,11,29,40,18,16,14,4,16,Boston College,13,52,4,19,14,18,44,12,26,38,9,25,10,6,10
Women,2017,D1,01/22/2017,2:05 p.m.,Boston College,13,52,4,19,14,18,44,12,26,38,9,25,10,6,10,Duke,29,64,7,15,2,6,67,11,29,40,18,16,14,4,16
Men,2017,D1,02/04/2017,3:00 p.m.,Georgia Tech,20,56,8,20,21,28,69,9,23,32,12,13,5,5,22,Wake Forest,26,56,8,20,21,24,81,9,29,38,14,13,7,6,20
Men,2017,D1,02/04/2017,3:00 p.m.,Wake Forest,26,56,8,20,21,24,81,9,29,38,14,13,7,6,20,Georgia Tech,20,56,8,20,21,28,69,9,23,32,12,13,5,5,22
Men,2017,D1,12/03/2016,2:30 p.m.,Gonzaga,24,54,7,21,14,22,69,9,22,31,9,9,7,7,23,Arizona,22,57,1,8,17,26,62,16,23,39,7,12,7,2,22
Men,2017,D1,12/03/2016,2:30 p.m.,Arizona,22,57,1,8,17,26,62,16,23,39,7,12,7,2,22,Gonzaga,24,54,7,21,14,22,69,9,22,31,9,9,7,7,23
Women,2016,D1,11/13/2015,7 p.m.,Iona,24,63,1,20,4,5,53,12,20,32,6,18,7,2,25,Stony Brook,21,52,2,18,14,20,58,14,27,41,10,22,5,4,12
Women,2016,D1,11/13/2015,7 p.m.,Stony Brook,21,52,2,18,14,20,58,14,27,41,10,22,5,4,12,Iona,24,63,1,20,4,5,53,12,20,32,6,18,7,2,25
Men,2017,D3,02/11/2017,3:00 pm,Westminster (MO),23,65,3,16,12,15,61,8,20,28,7,10,8,4,14,Iowa Wesleyan,31,62,14,31,3,4,79,8,29,37,16,11,7,4,17
Men,2017,D3,02/11/2017,3:00 pm,Iowa Wesleyan,31,62,14,31,3,4,79,8,29,37,16,11,7,4,17,Westminster (MO),23,65,3,16,12,15,61,8,20,28,7,10,8,4,14
Men,2017,D3,02/18/2017,4:50 p.m.,Iowa Wesleyan,31,60,7,26,15,22,84,4,26,30,13,3,3,2,15,Eureka,32,61,8,18,10,12,82,4,27,31,8,8,1,3,19
Men,2017,D3,02/18/2017,4:50 p.m.,Eureka,32,61,8,18,10,12,82,4,27,31,8,8,1,3,19,Iowa Wesleyan,31,60,7,26,15,22,84,4,26,30,13,3,3,2,15
Women,2017,D1,12/21/2016,11:30 a.m.,New Mexico,21,61,4,17,6,13,52,7,32,39,12,14,6,5,14,Marquette,23,71,10,30,6,8,62,16,37,53,16,14,8,5,14
