Gender,Year,Divison,Date,Time,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_Team,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls
Men,2017,D2,11/27/2016,3:00 pm,Fresno Pacific,21,55,3,19,13,21,58,13,21,34,12,11,5,1,23,Alas. Fairbanks,23,53,6,23,22,27,74,12,25,37,14,7,3,1,18
Men,2017,D2,11/27/2016,3:00 pm,Alas. Fairbanks,23,53,6,23,22,27,74,12,25,37,14,7,3,1,18,Fresno Pacific,21,55,3,19,13,21,58,13,21,34,12,11,5,1,23
Men,2016,D2,02/03/2016,7:45 p.m.,Armstrong St.,35,64,10,23,13,17,93,11,28,39,25,14,5,2,11,Flagler,30,66,8,25,9,11,77,9,19,28,17,14,9,5,14
Men,2016,D2,02/03/2016,7:45 p.m.,Flagler,30,66,8,25,9,11,77,9,19,28,17,14,9,5,14,Armstrong St.,35,64,10,23,13,17,93,11,28,39,25,14,5,2,11
Women,2017,D1,03/10/2017,12:00 PM,Fresno St.,17,54,3,9,16,17,53,11,28,39,6,15,3,5,19,Boise St.,22,65,6,20,16,20,66,11,23,34,14,6,4,2,17
Women,2017,D1,03/10/2017,12:00 PM,Boise St.,22,65,6,20,16,20,66,11,23,34,14,6,4,2,17,Fresno St.,17,54,3,9,16,17,53,11,28,39,6,15,3,5,19
Women,2016,D1,02/04/2016,7:06 PM,Navy,18,58,10,29,3,3,49,15,24,39,11,15,7,1,9,Boston U.,21,55,6,15,3,5,51,10,25,35,10,13,7,2,6
Women,2016,D1,02/04/2016,7:06 PM,Boston U.,21,55,6,15,3,5,51,10,25,35,10,13,7,2,6,Navy,18,58,10,29,3,3,49,15,24,39,11,15,7,1,9
Men,2017,D3,02/24/2017,7:00 PM,La Verne,32,64,3,16,12,16,79,15,30,45,9,19,1,3,20,Cal Lutheran,35,65,7,12,15,21,92,5,21,26,23,6,11,3,16
Men,2017,D3,02/24/2017,7:00 PM,Cal Lutheran,35,65,7,12,15,21,92,5,21,26,23,6,11,3,16,La Verne,32,64,3,16,12,16,79,15,30,45,9,19,1,3,20
Women,2016,D3,01/12/2016,7:00 PM,Coast Guard,23,63,9,22,4,6,59,12,32,44,14,20,16,4,15,Wellesley,12,53,4,20,8,14,36,12,29,41,7,27,9,2,8
Women,2016,D3,01/12/2016,7:00 PM,Wellesley,12,53,4,20,8,14,36,12,29,41,7,27,9,2,8,Coast Guard,23,63,9,22,4,6,59,12,32,44,14,20,16,4,15
Men,2017,D2,12/08/2016,8:00,Grand Valley St.,30,58,7,14,8,16,75,10,39,49,17,7,2,7,12,Hillsdale,18,62,7,25,6,8,49,7,23,30,15,7,3,3,16
Men,2017,D2,12/08/2016,8:00,Hillsdale,18,62,7,25,6,8,49,7,23,30,15,7,3,3,16,Grand Valley St.,30,58,7,14,8,16,75,10,39,49,17,7,2,7,12
