School,Division,Team,City,State,Primary Conference
Mansfield University of Pennsylvania,D2,Mountaineers,Mansfield,Pennsylvania,Pennsylvania State Athletic Conference
Mars Hill University,D2,Lions,Mars Hill,North Carolina,South Atlantic Conference
University of Mary,D2,Marauders,Bismarck,North Dakota,Northern Sun Intercollegiate Conference
Maryville University,D2,Saints,St. Louis,Missouri,Great Lakes Valley Conference
McKendree University,D2,Bearcats,Lebanon,Illinois,Great Lakes Valley Conference
Mercy College,D2,Mavericks,Dobbs Ferry,New York,East Coast Conference
Mercyhurst University,D2,Lakers,Erie,Pennsylvania,Pennsylvania State Athletic Conference
Merrimack College,D2,Warriors,North Andover,Massachusetts,Northeast-10 Conference
Metropolitan State University of Denver,D2,Roadrunners,Denver,Colorado,Rocky Mountain Athletic Conference
Michigan Technological University,D2,Huskies,Houghton,Michigan,Great Lakes Intercollegiate Athletic Conference
Midwestern State University,D2,Mustangs,Wichita Falls,Texas,Lone Star Conference
Miles College,D2,Golden Bears,Fairfield,Alabama,Southern Intercollegiate Athletic Conference
Millersville University of Pennsylvania,D2,Marauders,Millersville,Pennsylvania,Pennsylvania State Athletic Conference
Minnesota State University, Mankato,D2,Mavericks,Mankato,Minnesota,Northern Sun Intercollegiate Conference
Minnesota State University Moorhead,D2,Dragons,Moorhead,Minnesota,Northern Sun Intercollegiate Conference
University of Minnesota Crookston,D2,Golden Eagles,Crookston,Minnesota,Northern Sun Intercollegiate Conference
University of Minnesota Duluth,D2,Bulldogs,Duluth,Minnesota,Northern Sun Intercollegiate Conference
Minot State University,D2,Beavers,Minot,North Dakota,Northern Sun Intercollegiate Conference
Mississippi College,D2,Choctaws,Clinton,Mississippi,Gulf South Conference
Missouri University of Science and Technology,D2,Miners,Rolla,Missouri,Great Lakes Valley Conference
Missouri Southern State University,D2,Lions,Joplin,Missouri,Mid-America Intercollegiate Athletics Association
Missouri Western State University,D2,Griffons,St. Joseph,Missouri,Mid-America Intercollegiate Athletics Association
University of Missouri-St. Louis,D2,Tritons,St. Louis,Missouri,Great Lakes Valley Conference
Molloy College,D2,Lions,Rockville Centre,New York,East Coast Conference
Montana State University Billings,D2,Yellowjackets,Billings,Montana,Great Northwest Athletic Conference
University of Montevallo,D2,Falcons,Montevallo,Alabama,Gulf South Conference
Morehouse College,D2,Maroon Tigers,Atlanta,Georgia,Southern Intercollegiate Athletic Conference
University of Mount Olive,D2,Trojans,Mount Olive,North Carolina,Conference Carolinas
University of Nebraska at Kearney,D2,Lopers,Kearney,Nebraska,Mid-America Intercollegiate Athletics Association
University of New Haven,D2,Chargers,West Haven,Connecticut,Northeast-10 Conference
New Mexico Highlands University,D2,Cowboys & Cowgirls,Las Vegas,New Mexico,Rocky Mountain Athletic Conference
New York Institute of Technology,D2,Bears,Old Westbury,New York,East Coast Conference
Newberry College,D2,Wolves,Newberry,South Carolina,South Atlantic Conference
Newman University,D2,Jets,Wichita,Kansas,Heartland Conference
University of North Carolina at Pembroke,D2,Braves,Pembroke,North Carolina,Peach Belt Conference
University of North Georgia,D2,Nighthawks,Dahlonega,Georgia,Peach Belt Conference
North Greenville University,D2,Crusaders,Tigerville,South Carolina,Conference Carolinas
Northeastern State University,D2,RiverHawks,Tahlequah,Oklahoma,Mid-America Intercollegiate Athletics Association
Northern Michigan University,D2,Wildcats,Marquette,Michigan,Great Lakes Intercollegiate Athletic Conference
Northern State University,D2,Wolves,Aberdeen,South Dakota,Northern Sun Intercollegiate Conference
Northwest Missouri State University,D2,Bearcats,Maryville,Missouri,Mid-America Intercollegiate Athletics Association
Northwest Nazarene University,D2,Crusaders,Nampa,Idaho,Great Northwest Athletic Conference
Northwestern Oklahoma State University,D2,Rangers,Alva,Oklahoma,Great American Conference
Northwood University,D2,Timberwolves,Midland,Michigan,Great Lakes Intercollegiate Athletic Conference
Notre Dame College,D2,Falcons,South Euclid,Ohio,Mountain East Conference
Notre Dame de Namur University,D2,Argonauts,Belmont,California,Pacific West Conference
Nova Southeastern University,D2,Sharks,Davie,Florida,Sunshine State Conference
Nyack College,D2,Warriors,Nyack,New York,Central Atlantic Collegiate Conference
Oakland City University,D2,Mighty Oaks,Oakland City,Indiana,Independent
Ohio Dominican University,D2,Panthers,Columbus,Ohio,Great Midwest Athletic Conference
Ohio Valley University,D2,Fighting Scots,Vienna,West Virginia,Great Midwest Athletic Conference
Oklahoma Baptist University,D2,Bison,Shawnee,Oklahoma,Great American Conference
Oklahoma Christian University,D2,Eagles & Lady Eagles,Oklahoma City,Oklahoma,Heartland Conference
Ouachita Baptist University,D2,Tigers,Arkadelphia,Arkansas,Great American Conference
Pace University,D2,Setters,Pleasantville,New York,Northeast-10 Conference
Paine College,D2,Lions,Augusta,Georgia,Southern Intercollegiate Athletic Conference
Palm Beach Atlantic University,D2,Sailfish,West Palm Beach,Florida,Sunshine State Conference
Pittsburg State University,D2,Gorillas,Pittsburg,Kansas,Mid-America Intercollegiate Athletics Association
University of Pittsburgh at Johnstown,D2,Mountain Cats,Johnstown,Pennsylvania,Pennsylvania State Athletic Conference
Point Loma Nazarene University,D2,Sea Lions,San Diego,California,Pacific West Conference
Post University,D2,Eagles,Waterbury,Connecticut,Central Atlantic Collegiate Conference
Queens University of Charlotte,D2,Royals,Charlotte,North Carolina,South Atlantic Conference
Queens College,D2,Knights,Flushing,New York,East Coast Conference
Quincy University,D2,Hawks,Quincy,Illinois,Great Lakes Valley Conference
Regis University,D2,Rangers,Denver,Colorado,Rocky Mountain Athletic Conference
Roberts Wesleyan College,D2,Redhawks,North Chili,New York,East Coast Conference
Rockhurst University,D2,Hawks,Kansas City,Missouri,Great Lakes Valley Conference
Rogers State University,D2,Hillcats,Claremore,Oklahoma,Heartland Conference
Rollins College,D2,Tars,Winter Park,Florida,Sunshine State Conference
Saginaw Valley State University,D2,Cardinals,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference
Saint Anselm College,D2,Hawks,Goffstown,New Hampshire,Northeast-10 Conference
Saint Augustine's University,D2,Falcons,Raleigh,North Carolina,Central Intercollegiate Athletic Association
St. Cloud State University,D2,Huskies,St. Cloud,Minnesota,Northern Sun Intercollegiate Conference
St. Edward's University,D2,Hilltoppers,Austin,Texas,Heartland Conference
Saint Leo University,D2,Lions,St. Leo,Florida,Sunshine State Conference
Saint Martin's University,D2,Saints,Lacey,Washington,Great Northwest Athletic Conference
St. Mary's University,D2,Rattlers,San Antonio,Texas,Heartland Conference
