School,Division,Team,City,State,Primary Conference
Delaware Valley University,D3,Aggies,Doylestown,Pennsylvania,MAC Freedom Conference
Denison University,D3,Big Red,Granville,Ohio,North Coast Athletic Conference
DePauw University,D3,Tigers,Greencastle,Indiana,North Coast Athletic Conference
DeSales University,D3,Bulldogs,Center Valley,Pennsylvania,MAC Freedom Conference
Dickinson College,D3,Red Devils,Carlisle,Pennsylvania,Centennial Conference
Dominican University,D3,Stars,River Forest,Illinois,Northern Athletics Collegiate Conference
Drew University,D3,Rangers,Madison,New Jersey,Landmark Conference
University of Dubuque,D3,Spartans,Dubuque,Iowa,Iowa Intercollegiate Athletic Conference
D'Youville College,D3,Spartans,Buffalo,New York,Allegheny Mountain Collegiate Conference
Earlham College,D3,Quakers,Richmond,Indiana,Heartland Collegiate Athletic Conference
East Texas Baptist University,D3,Tigers,Marshall,Texas,American Southwest Conference
Eastern Connecticut State University,D3,Warriors,Willimantic,Connecticut,Little East Conference
Eastern Mennonite University,D3,Royals,Harrisonburg,Virginia,Old Dominion Athletic Conference
Eastern Nazarene College,D3,Lions,Quincy,Massachusetts,New England Collegiate Conference
Eastern University,D3,Eagles,St. Davids,Pennsylvania,MAC Freedom Conference
Edgewood College,D3,Eagles,Madison,Wisconsin,Northern Athletics Collegiate Conference
Elizabethtown College,D3,Blue Jays,Elizabethtown,Pennsylvania,Landmark Conference
Elmhurst College,D3,Bluejays,Elmhurst,Illinois,College Conference of Illinois and Wisconsin
Elmira College,D3,Soaring Eagles,Elmira,New York,Empire 8
Elms College,D3,Blazers,Chicopee,Massachusetts,New England Collegiate Conference
Emerson College,D3,Lions,Boston,Massachusetts,New England Women's and Men's Athletic Conference
Emmanuel College,D3,Saints,Boston,Massachusetts,Great Northeast Athletic Conference
Emory University,D3,Eagles,Atlanta,Georgia,University Athletic Association
Emory and Henry College,D3,Wasps,Emory,Virginia,Old Dominion Athletic Conference
Endicott College,D3,Gulls,Beverly,Massachusetts,Commonwealth Coast Conference
Eureka College,D3,Red Devils,Eureka,Illinois,St. Louis Intercollegiate Athletic Conference
Fairleigh Dickinson University, Florham,D3,Devils,Madison/Florham Park,New Jersey,MAC Freedom Conference
Farmingdale State College,D3,Rams,Farmingdale,New York,Skyline Conference
Ferrum College,D3,Panthers,Ferrum,Virginia,Old Dominion Athletic Conference
Finlandia University,D3,Lions,Hancock,Michigan,American Collegiate Athletic Association
Fitchburg State University,D3,Falcons,Fitchburg,Massachusetts,Massachusetts State Collegiate Athletic Conference
Fontbonne University,D3,Griffins,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference
Framingham State University,D3,Rams,Framingham,Massachusetts,Massachusetts State Collegiate Athletic Conference
Franciscan University of Steubenville,D3,Barons,Steubenville,Ohio,Allegheny Mountain Collegiate Conference
Franklin & Marshall College,D3,Diplomats,Lancaster,Pennsylvania,Centennial Conference
Franklin College,D3,Grizzlies,Franklin,Indiana,Heartland Collegiate Athletic Conference
Frostburg State University,D3,Bobcats,Frostburg,Maryland,Capital Athletic Conference
Gallaudet University,D3,Bison,Washington,District of Columbia,North Eastern Athletic Conference
Geneva College,D3,Golden Tornadoes,Beaver Falls,Pennsylvania,Presidents' Athletic Conference
George Fox University,D3,Bruins,Newberg,Oregon,Northwest Conference
Gettysburg College,D3,Bullets,Gettysburg,Pennsylvania,Centennial Conference
Gordon College,D3,Fighting Scots,Wenham,Massachusetts,Commonwealth Coast Conference
Goucher College,D3,Gophers,Towson,Maryland,Landmark Conference
Greensboro College,D3,Pride,Greensboro,North Carolina,USA South Athletic Conference
Greenville University,D3,Panthers,Greenville,Illinois,St. Louis Intercollegiate Athletic Conference
Grinnell College,D3,Pioneers,Grinnell,Iowa,Midwest Conference
Grove City College,D3,Wolverines,Grove City,Pennsylvania,Presidents' Athletic Conference
Guilford College,D3,Quakers,Greensboro,North Carolina,Old Dominion Athletic Conference
Gustavus Adolphus College,D3,Gusties,St. Peter,Minnesota,Minnesota Intercollegiate Athletic Conference
Gwynedd Mercy University,D3,Griffins,Lower Gwynedd Township,Pennsylvania,Atlantic East Conference
Hamilton College,D3,Continentals,Clinton,New York,New England Small College Athletic Conference
Hamline University,D3,Pipers,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference
Hampden-Sydney College,D3,Tigers,Hampden Sydney,Virginia,Old Dominion Athletic Conference
Hanover College,D3,Panthers,Hanover,Indiana,Heartland Collegiate Athletic Conference
Hardin-Simmons University,D3,Cowboys and Cowgirls,Abilene,Texas,American Southwest Conference
Hartwick College,D3,Hawks,Oneonta,New York,Empire 8
Haverford College,D3,Fords,Haverford,Pennsylvania,Centennial Conference
Heidelberg University,D3,Student Princes,Tiffin,Ohio,Ohio Athletic Conference
Hendrix College,D3,Warriors,Conway,Arkansas,Southern Athletic Association
Hilbert College,D3,Hawks,Hamburg,New York,Allegheny Mountain Collegiate Conference
Hiram College,D3,Terriers,Hiram,Ohio,North Coast Athletic Conference
Hobart College,D3,Statesmen,Geneva,New York,Liberty League
Hollins University,D3,None,Roanoke,Virginia,Old Dominion Athletic Conference
Hood College,D3,Blazers,Frederick,Maryland,MAC Commonwealth Conference
Hope College,D3,Flying Dutchmen,Holland,Michigan,Michigan Intercollegiate Athletic Association
Houghton College,D3,Highlanders,Houghton,New York,Empire 8
Howard Payne University,D3,Yellow Jackets,Brownwood,Texas,American Southwest Conference
Hunter College,D3,Hawks,New York,New York,City University of New York Athletic Conference
Huntingdon College,D3,Hawks,Montgomery,Alabama,USA South Athletic Conference
Husson University,D3,Eagles,Bangor,Maine,North Atlantic Conference
Illinois College,D3,Blueboys and Lady Blues,Jacksonville,Illinois,Midwest Conference
Illinois Institute of Technology,D3,Scarlet Hawks,Chicago,Illinois,Northern Athletics Collegiate Conference
Illinois Wesleyan University,D3,Titans,Bloomington,Illinois,College Conference of Illinois and Wisconsin
Immaculata University,D3,Mighty Macs,Immaculata,Pennsylvania,Atlantic East Conference
Iowa Wesleyan University,D3,Tigers,Mt. Pleasant,Iowa,St. Louis Intercollegiate Athletic Conference
Ithaca College,D3,Bombers,Ithaca,New York,Liberty League
John Carroll University,D3,Blue Streaks,University Heights,Ohio,Ohio Athletic Conference
John Jay College of Criminal Justice,D3,Bloodhounds,New York,New York,City University of New York Athletic Conference
Johns Hopkins University,D3,Blue Jays,Baltimore,Maryland,Centennial Conference
Johnson & Wales University,D3,Wildcats,Providence,Rhode Island,Great Northeast Athletic Conference
Johnson & Wales University-Denver,D3,Wildcats,Denver,Colorado,Southern Collegiate Athletic Conference
Juniata College,D3,Eagles,Huntingdon,Pennsylvania,Landmark Conference
Kalamazoo College,D3,Hornets,Kalamazoo,Michigan,Michigan Intercollegiate Athletic Association
Kean University,D3,Cougars,Union Township,New Jersey,New Jersey Athletic Conference
Keene State College,D3,Owls,Keene,New Hampshire,Little East Conference
Kenyon College,D3,Lords and Ladies,Gambier,Ohio,North Coast Athletic Conference
Keuka College,D3,Wolves,Keuka Park,New York,North Eastern Athletic Conference
Keystone College,D3,Giants,La Plume Township,Pennsylvania,Colonial States Athletic Conference
King's College,D3,Monarchs,Wilkes-Barre,Pennsylvania,MAC Freedom Conference
Knox College,D3,Prairie Fire,Galesburg,Illinois,Midwest Conference
La Roche College,D3,Redhawks,Pittsburgh,Pennsylvania,Allegheny Mountain Collegiate Conference
University of La Verne,D3,Leopards,La Verne,California,Southern California Intercollegiate Athletic Conference
LaGrange College,D3,Panthers,LaGrange,Georgia,USA South Athletic Conference
Lake Forest College,D3,Foresters,Lake Forest,Illinois,Midwest Conference
Lakeland College,D3,Muskies,Sheboygan,Wisconsin,Northern Athletics Collegiate Conference
Lancaster Bible College,D3,Chargers,Lancaster,Pennsylvania,North Eastern Athletic Conference
Lasell College,D3,Lasers,Newton,Massachusetts,Great Northeast Athletic Conference
Lawrence University,D3,Vikings,Appleton,Wisconsin,Midwest Conference
Lebanon Valley College,D3,Flying Dutchmen,Annville,Pennsylvania,MAC Commonwealth Conference
Lehman College,D3,Lightning,The Bronx,New York,City University of New York Athletic Conference
Lesley University,D3,Lynx,Boston,Massachusetts,New England Collegiate Conference
LeTourneau University,D3,Yellow Jackets,Longview,Texas,American Southwest Conference
Lewis & Clark College,D3,Pioneers,Portland,Oregon,Northwest Conference
Linfield College,D3,Wildcats,McMinnville,Oregon,Northwest Conference
Loras College,D3,Duhawks,Dubuque,Iowa,Iowa Intercollegiate Athletic Conference
Louisiana College,D3,Wildcats,Pineville,Louisiana,American Southwest Conference
Luther College,D3,Norse,Decorah,Iowa,Iowa Intercollegiate Athletic Conference
Lycoming College,D3,Warriors,Williamsport,Pennsylvania,MAC Commonwealth Conference
Lynchburg College,D3,Hornets,Lynchburg,Virginia,Old Dominion Athletic Conference
Macalester College,D3,Scots,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference
MacMurray College,D3,Highlanders,Jacksonville,Illinois,St. Louis Intercollegiate Athletic Conference
University of Maine at Farmington,D3,Beavers,Farmington,Maine,North Atlantic Conference
Maine Maritime Academy,D3,Mariners,Castine,Maine,North Atlantic Conference
University of Maine at Presque Isle,D3,Owls,Presque Isle,Maine,American Collegiate Athletic Association
Manchester University,D3,Spartans,North Manchester,Indiana,Heartland Collegiate Athletic Conference
Manhattanville College,D3,Valiants,Purchase,New York,MAC Freedom Conference(Skyline Conference in 2019)
Maranatha Baptist University,D3,Sabercats,Watertown,Wisconsin,Independent
Marian University,D3,Sabres,Fond du Lac,Wisconsin,Northern Athletics Collegiate Conference
Marietta College,D3,Pioneers,Marietta,Ohio,Ohio Athletic Conference
Martin Luther College,D3,Knights,New Ulm,Minnesota,Upper Midwest Athletic Conference
Mary Baldwin University,D3,Fighting Squirrels,Staunton,Virginia,USA South Athletic Conference
University of Mary Hardin-Baylor,D3,Crusaders,Belton,Texas,American Southwest Conference
University of Mary Washington,D3,Eagles,Fredericksburg,Virginia,Capital Athletic Conference
Marymount University,D3,Saints,Arlington,Virginia,Atlantic East Conference
Maryville College,D3,Scots,Maryville,Tennessee,USA South Athletic Conference
Marywood University,D3,Pacers,Scranton,Pennsylvania,Atlantic East Conference
University of Massachusetts Boston,D3,Beacons,Boston,Massachusetts,Little East Conference
Massachusetts College of Liberal Arts,D3,Trailblazers,North Adams,Massachusetts,Massachusetts State Collegiate Athletic Conference
University of Massachusetts Dartmouth,D3,Corsairs,Dartmouth,Massachusetts,Little East Conference
Massachusetts Institute of Technology,D3,Engineers,Cambridge,Massachusetts,New England Women's and Men's Athletic Conference
Massachusetts Maritime Academy,D3,Buccaneers,Buzzards Bay,Massachusetts,Massachusetts State Collegiate Athletic Conference
McDaniel College,D3,Green Terror,Westminster,Maryland,Centennial Conference
McMurry University,D3,War Hawks,Abilene,Texas,American Southwest Conference
Medaille College,D3,Mavericks,Buffalo,New York,Allegheny Mountain Collegiate Conference
Medgar Evers College,D3,Cougars,Brooklyn,New York,City University of New York Athletic Conference
Meredith College,D3,Angels,Raleigh,North Carolina,USA South Athletic Conference
Messiah College,D3,Falcons,Grantham,Pennsylvania,MAC Commonwealth Conference
Methodist University,D3,Monarchs,Fayetteville,North Carolina,USA South Athletic Conference
Middlebury College,D3,Panthers,Middlebury,Vermont,New England Small College Athletic Conference
Millikin University,D3,Big Blue,Decatur,Illinois,College Conference of Illinois and Wisconsin
Mills College,D3,Cyclones,Oakland,California,American Collegiate Athletic Association
Millsaps College,D3,Majors and Lady Majors,Jackson,Mississippi,Southern Athletic Association
Milwaukee School of Engineering,D3,Raiders,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference
University of Minnesota Morris,D3,Cougars,Morris,Minnesota,Upper Midwest Athletic Conference
Misericordia University,D3,Cougars,Dallas,Pennsylvania,MAC Freedom Conference
Mitchell College,D3,Mariners,New London,Connecticut,New England Collegiate Conference
Monmouth College,D3,Scots,Monmouth,Illinois,Midwest Conference
Montclair State University,D3,Red Hawks,Montclair,New Jersey,New Jersey Athletic Conference
Moravian College,D3,Greyhounds,Bethlehem,Pennsylvania,Landmark Conference
Morrisville State College,D3,Mustangs,Morrisville,New York,North Eastern Athletic Conference
Mount Aloysius College,D3,Mounties,Cresson,Pennsylvania,Allegheny Mountain Collegiate Conference
Mount Holyoke College,D3,Lyons,South Hadley,Massachusetts,New England Women's and Men's Athletic Conference
Mount Mary University,D3,Blue Angels,Milwaukee,Wisconsin,Independent
Mount St. Joseph University,D3,Lions,Cincinnati,Ohio,Heartland Collegiate Athletic Conference
Mount Saint Mary College,D3,Knights,Newburgh,New York,Skyline Conference
College of Mount Saint Vincent,D3,Dolphins,The Bronx,New York,Skyline Conference
University of Mount Union,D3,Purple Raiders,Alliance,Ohio,Ohio Athletic Conference
Muhlenberg College,D3,Mules,Allentown,Pennsylvania,Centennial Conference
Muskingum University,D3,Fighting Muskies,New Concord,Ohio,Ohio Athletic Conference
Nazareth College,D3,Golden Flyers,Pittsford,New York,Empire 8
Nebraska Wesleyan University,D3,Prairie Wolves,Lincoln,Nebraska,Iowa Intercollegiate Athletic Conference
Neumann University,D3,Knights,Aston,Pennsylvania,Atlantic East Conference
New England College,D3,Pilgrims,Henniker,New Hampshire,New England Collegiate Conference
University of New England,D3,Nor'easters,Biddeford,Maine,Commonwealth Coast Conference
The College of New Jersey,D3,Lions,Ewing,New Jersey,New Jersey Athletic Conference
New Jersey City University,D3,Gothic Knights,Jersey City,New Jersey,New Jersey Athletic Conference
College of New Rochelle,D3,Blue Angels,New Rochelle,New York,Independent
State University of New York at Brockport,D3,Golden Eagles,Brockport,New York,State University of New York Athletic Conference
State University of New York at Canton,D3,Kangaroos,Canton,New York,American Collegiate Athletic Association
State University of New York at Cobleskill,D3,Fighting Tigers,Cobleskill,New York,North Eastern Athletic Conference
State University of New York at Cortland,D3,Red Dragons,Cortland,New York,State University of New York Athletic Conference
State University of New York at Delhi,D3,Broncos,Delhi,New York,American Collegiate Athletic Association
State University of New York at Fredonia,D3,Blue Devils,Fredonia,New York,State University of New York Athletic Conference
State University of New York at Geneseo,D3,Knights,Geneseo,New York,State University of New York Athletic Conference
State University of New York Maritime College,D3,Privateers,The Bronx,New York,Skyline Conference
State University of New York Polytechnic Institute,D3,Wildcats,Marcy,New York,North Eastern Athletic Conference
State University of New York at New Paltz,D3,Hawks,New Paltz,New York,State University of New York Athletic Conference
State University of New York at Old Westbury,D3,Panthers,Old Westbury,New York,Skyline Conference
State University of New York at Oneonta,D3,Red Dragons,Oneonta,New York,State University of New York Athletic Conference
State University of New York at Oswego,D3,Lakers,Oswego,New York,State University of New York Athletic Conference
State University of New York at Plattsburgh,D3,Cardinals,Plattsburgh,New York,State University of New York Athletic Conference
State University of New York at Potsdam,D3,Bears,Potsdam,New York,State University of New York Athletic Conference
State University of New York at Purchase,D3,Panthers,Purchase,New York,Skyline Conference
New York University (NYU),D3,Violets,New York,New York,University Athletic Association
Newbury College,D3,Nighthawks,Brookline,Massachusetts,New England Collegiate Conference
Nichols College,D3,Bison,Dudley,Massachusetts,Commonwealth Coast Conference
North Carolina Wesleyan College,D3,Bishops,Rocky Mount,North Carolina,USA South Athletic Conference
North Central College,D3,Cardinals,Naperville,Illinois,College Conference of Illinois and Wisconsin
North Central University,D3,Rams,Minneapolis,Minnesota,Upper Midwest Athletic Conference
North Park University,D3,Vikings,Chicago,Illinois,College Conference of Illinois and Wisconsin
Northern Vermont University-Johnson,D3,Badgers,Johnson,Vermont,North Atlantic Conference
Northern Vermont University-Lyndon,D3,Hornets,Lyndonville,Vermont,North Atlantic Conference
Northland College,D3,Lumberjacks and Lumberjills,Ashland,Wisconsin,Upper Midwest Athletic Conference
University of Northwestern - St. Paul,D3,Eagles,Roseville,Minnesota,Upper Midwest Athletic Conference
Norwich University,D3,Cadets,Northfield,Vermont,Great Northeast Athletic Conference
Notre Dame of Maryland University,D3,Gators,Baltimore,Maryland,Colonial States Athletic Conference
Oberlin College,D3,Yeomen and Yeowomen,Oberlin,Ohio,North Coast Athletic Conference
Occidental College,D3,Tigers,Los Angeles,California,Southern California Intercollegiate Athletic Conference
Oglethorpe University,D3,Stormy Petrels,Atlanta,Georgia,Southern Athletic Association
Ohio Northern University,D3,Polar Bears,Ada,Ohio,Ohio Athletic Conference
Ohio Wesleyan University,D3,Battling Bishops,Delaware,Ohio,North Coast Athletic Conference
Olivet College,D3,Comets,Olivet,Michigan,Michigan Intercollegiate Athletic Association
Otterbein University,D3,Cardinals,Westerville,Ohio,Ohio Athletic Conference
University of the Ozarks,D3,Eagles,Clarksville,Arkansas,American Southwest Conference
Pacific Lutheran University,D3,Lutes,Tacoma,Washington,Northwest Conference
Pacific University,D3,Boxers,Forest Grove,Oregon,Northwest Conference
Pennsylvania College of Technology,D3,Wildcats,Williamsport,Pennsylvania,North Eastern Athletic Conference
Pennsylvania State University, Abington,D3,Nittany Lions,Abington,Pennsylvania,North Eastern Athletic Conference
Pennsylvania State University, Altoona,D3,Lions,Altoona,Pennsylvania,Allegheny Mountain Collegiate Conference
Pennsylvania State University, Berks College,D3,Nittany Lions,Reading,Pennsylvania,North Eastern Athletic Conference
Pennsylvania State University, Erie,D3,Lions,Erie,Pennsylvania,Allegheny Mountain Collegiate Conference
Pennsylvania State University, Harrisburg,D3,Lions,Harrisburg,Pennsylvania,Capital Athletic Conference(North Eastern Athletic Conference in 2019)
Pfeiffer University,D3,Falcons,Misenheimer,North Carolina,USA South Athletic Conference
Piedmont College,D3,Lions,Demorest,Georgia,USA South Athletic Conference
Pine Manor College,D3,Gators,Chestnut Hill,Massachusetts,American Collegiate Athletic Association
University of Pittsburgh at Bradford,D3,Panthers,Bradford,Pennsylvania,Allegheny Mountain Collegiate Conference
University of Pittsburgh at Greensburg,D3,Bobcats,Greensburg,Pennsylvania,Allegheny Mountain Collegiate Conference
Plymouth State University,D3,Panthers,Plymouth,New Hampshire,Little East Conference
Pomona College and Pitzer College,D3,Sagehens,Claremont,California,Southern California Intercollegiate Athletic Conference
Pratt Institute,D3,Cannoneers,Brooklyn,New York,American Collegiate Athletic Association
Principia College,D3,Panthers,Elsah,Illinois,St. Louis Intercollegiate Athletic Conference
University of Puget Sound,D3,Loggers,Tacoma,Washington,Northwest Conference
Ramapo College,D3,Roadrunners,Mahwah,New Jersey,New Jersey Athletic Conference
Randolph College,D3,WildCats,Lynchburg,Virginia,Old Dominion Athletic Conference
Randolph-Macon College,D3,Yellow Jackets,Ashland,Virginia,Old Dominion Athletic Conference
University of Redlands,D3,Bulldogs,Redlands,California,Southern California Intercollegiate Athletic Conference
Regis College,D3,Pride,Weston,Massachusetts,Great Northeast Athletic Conference
Rensselaer Polytechnic Institute,D3,Engineers,Troy,New York,Liberty League
Rhode Island College,D3,Anchormen,Providence,Rhode Island,Little East Conference
Rhodes College,D3,Lynx,Memphis,Tennessee,Southern Athletic Association
Ripon College,D3,Red Hawks,Ripon,Wisconsin,Midwest Conference
Rivier University,D3,Raiders,Nashua,New Hampshire,Great Northeast Athletic Conference
Roanoke College,D3,Maroons,Salem,Virginia,Old Dominion Athletic Conference
University of Rochester,D3,Yellowjackets,Rochester,New York,University Athletic Association
Rochester Institute of Technology,D3,Tigers,Rochester,New York,Liberty League
Rockford University,D3,Regents,Rockford,Illinois,Northern Athletics Collegiate Conference
Roger Williams University,D3,Hawks,Bristol,Rhode Island,Commonwealth Coast Conference
Rose-Hulman Institute of Technology,D3,Engineers,Terre Haute,Indiana,Heartland Collegiate Athletic Conference
Rosemont College,D3,Ravens,Rosement,Pennsylvania,Colonial States Athletic Conference
Rowan University,D3,Profs,Glassboro,New Jersey,New Jersey Athletic Conference
Russell Sage College,D3,Gators,Troy,New York,Empire 8
Rutgers University-Camden,D3,Scarlet Raptors,Camden,New Jersey,New Jersey Athletic Conference
Rutgers University-Newark,D3,Scarlet Raiders,Newark,New Jersey,New Jersey Athletic Conference
College of Saint Benedict,D3,Blazers,St. Joseph,Minnesota,Minnesota Intercollegiate Athletic Conference
St. Catherine University,D3,Wildcats,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference
College of Saint Elizabeth,D3,Screaming Eagles,Convent Station,New Jersey,North Eastern Athletic Conference
St. John Fisher College,D3,Cardinals,Pittsford,New York,Empire 8
Saint John's University,D3,Johnnies,Collegeville,Minnesota,Minnesota Intercollegiate Athletic Conference
University of Saint Joseph,D3,Blue Jays,West Hartford,Connecticut,Great Northeast Athletic Conference
St. Joseph's College (Brooklyn),D3,Bears,Brooklyn,New York,Skyline Conference
St. Joseph's College (Long Island),D3,Golden Eagles,Long Island,New York,Skyline Conference
Saint Joseph's College of Maine,D3,Monks,Standish,Maine,Great Northeast Athletic Conference
St. Lawrence University,D3,Saints,Canton,New York,Liberty League
Saint Mary's College,D3,Belles,Notre Dame,Indiana,Michigan Intercollegiate Athletic Association
St. Mary's College of Maryland,D3,Seahawks,St. Mary's City,Maryland,Capital Athletic Conference
Saint Mary's University of Minnesota,D3,Cardinals,Winona,Minnesota,Minnesota Intercollegiate Athletic Conference
St. Norbert College,D3,Green Knights,De Pere,Wisconsin,Midwest Conference
St. Olaf College,D3,Oles,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference
The College of St. Scholastica,D3,Saints,Duluth,Minnesota,Upper Midwest Athletic Conference
University of St. Thomas,D3,Tommies,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference
Saint Vincent College,D3,Bearcats,Latrobe,Pennsylvania,Presidents' Athletic Conference
Salem College,D3,Spirits,Winston-Salem,North Carolina,USA South Athletic Conference
Salem State University,D3,Vikings,Salem,Massachusetts,Massachusetts State Collegiate Athletic Conference
Salisbury University,D3,Sea Gulls,Salisbury,Maryland,Capital Athletic Conference
Salve Regina University,D3,Seahawks,Newport,Rhode Island,Commonwealth Coast Conference
Sarah Lawrence College,D3,Gryphons,Yonkers,New York,Skyline Conference
Schreiner University,D3,Mountaineers,Kerrville,Texas,Southern Collegiate Athletic Conference
University of Scranton,D3,Royals,Scranton,Pennsylvania,Landmark Conference
Sewanee: The University of the South,D3,Tigers,Sewanee,Tennessee,Southern Athletic Association
Shenandoah University,D3,Hornets,Winchester,Virginia,Old Dominion Athletic Conference
Simmons College,D3,Sharks,Boston,Massachusetts,Great Northeast Athletic Conference
Simpson College,D3,Storm,Indianola,Iowa,Iowa Intercollegiate Athletic Conference
Skidmore College,D3,Thoroughbreds,Saratoga Springs,New York,Liberty League
Smith College,D3,Pioneers,Northampton,Massachusetts,New England Women's and Men's Athletic Conference
University of Southern Maine,D3,Huskies,Portland,Maine,Little East Conference
Southern Vermont College,D3,Mountaineers,Bennington,Vermont,New England Collegiate Conference
Southern Virginia University,D3,Knights,Buena Vista,Virginia,Capital Athletic Conference
Southwestern University,D3,Pirates,Georgetown,Texas,Southern Collegiate Athletic Conference
Spalding University,D3,Golden Eagles,Louisville,Kentucky,St. Louis Intercollegiate Athletic Conference
Springfield College,D3,Pride,Springfield,Massachusetts,New England Women's and Men's Athletic Conference
College of Staten Island,D3,Dolphins,Staten Island,New York,City University of New York Athletic Conference
Stevens Institute of Technology,D3,Ducks,Hoboken,New Jersey,Empire 8(MAC Freedom Conference in 2019)
Stevenson University,D3,Mustangs,Stevenson,Maryland,MAC Commonwealth Conference
Stockton University,D3,Ospreys,Pomona,New Jersey,New Jersey Athletic Conference
Suffolk University,D3,Rams,Boston,Massachusetts,Great Northeast Athletic Conference
Sul Ross State University,D3,Lobos,Alpine,Texas,American Southwest Conference
Susquehanna University,D3,River Hawks,Selinsgrove,Pennsylvania,Landmark Conference
Swarthmore College,D3,Garnet,Swarthmore,Pennsylvania,Centennial Conference
Sweet Briar College,D3,Vixens,Sweet Briar,Virginia,Old Dominion Athletic Conference
University of Texas at Dallas,D3,Comets,Dallas,Texas,American Southwest Conference
Texas Lutheran University,D3,Bulldogs,Seguin,Texas,Southern Collegiate Athletic Conference
University of Texas at Tyler,D3,Patriots,Tyler,Texas,American Southwest Conference
Thiel College,D3,Tomcats,Greenville,Pennsylvania,Presidents' Athletic Conference
Thomas College,D3,Terriers,Waterville,Maine,North Atlantic Conference
Thomas More College,D3,Saints,Crestview Hills,Kentucky,American Collegiate Athletic Association
Transylvania University,D3,Pioneers,Lexington,Kentucky,Heartland Collegiate Athletic Conference
Trine University,D3,Thunder,Angola,Indiana,Michigan Intercollegiate Athletic Association
Trinity College,D3,Bantams,Hartford,Connecticut,New England Small College Athletic Conference
Trinity University,D3,Tigers,San Antonio,Texas,Southern Collegiate Athletic Conference
Trinity Washington University,D3,Tigers,Washington,District of Columbia,Independent
Tufts University,D3,Jumbos,Medford,Massachusetts,New England Small College Athletic Conference
Union College,D3,Dutchmen,Schenectady,New York,Liberty League
United States Coast Guard Academy (Coast Guard),D3,Bears,New London,Connecticut,New England Women's and Men's Athletic Conference
United States Merchant Marine Academy (Merchant Marine),D3,Mariners,Kings Point,New York,Skyline Conference
Ursinus College,D3,Bears,Collegeville,Pennsylvania,Centennial Conference
Utica College,D3,Pioneers,Utica,New York,Empire 8
University of Valley Forge,D3,Patriots,Phoenixville,Pennsylvania,American Collegiate Athletic Association
Vassar College,D3,Brewers,Poughkeepsie,New York,Liberty League
Virginia Wesleyan University,D3,Marlins,Virginia Beach,Virginia,Old Dominion Athletic Conference
Wabash College,D3,Little Giants,Crawfordsville,Indiana,North Coast Athletic Conference
Wartburg College,D3,Knights,Waverly,Iowa,Iowa Intercollegiate Athletic Conference
Washington & Jefferson College,D3,Presidents,Washington,Pennsylvania,Presidents' Athletic Conference
Washington and Lee University,D3,Generals,Lexington,Virginia,Old Dominion Athletic Conference
Washington College,D3,Shoremen,Chestertown,Maryland,Centennial Conference
Washington University in St. Louis,D3,Bears,St. Louis,Missouri,University Athletic Association
Waynesburg University,D3,Yellow Jackets,Waynesburg,Pennsylvania,Presidents' Athletic Conference
Webster University,D3,Gorloks,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference
Wellesley College,D3,Blue,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference
Wells College,D3,Express,Aurora,New York,North Eastern Athletic Conference
Wentworth Institute of Technology,D3,Leopards,Boston,Massachusetts,Commonwealth Coast Conference
Wesley College,D3,Wolverines,Dover,Delaware,Atlantic East Conference
Wesleyan College,D3,Wolves,Macon,Georgia,USA South Athletic Conference
Wesleyan University,D3,Cardinals,Middletown,Connecticut,New England Small College Athletic Conference
Western Connecticut State University,D3,Colonials,Danbury,Connecticut,Little East Conference
Western New England University,D3,Golden Bears,Springfield,Massachusetts,Commonwealth Coast Conference
Westfield State University,D3,Owls,Westfield,Massachusetts,Massachusetts State Collegiate Athletic Conference
Westminster College,D3,Blue Jays,Fulton,Missouri,St. Louis Intercollegiate Athletic Conference
Westminster College,D3,Titans,New Wilmington,Pennsylvania,Presidents' Athletic Conference
Wheaton College,D3,Thunder,Wheaton,Illinois,College Conference of Illinois and Wisconsin
Wheaton College,D3,Lyons,Norton,Massachusetts,New England Women's and Men's Athletic Conference
Whitman College,D3,Blues,Walla Walla,Washington,Northwest Conference
Whittier College,D3,Poets,Whittier,California,Southern California Intercollegiate Athletic Conference
Whitworth University,D3,Pirates,Spokane,Washington,Northwest Conference
Widener University,D3,Pride,Chester,Pennsylvania,MAC Commonwealth Conference
Wilkes University,D3,Colonels,Wilkes-Barre,Pennsylvania,MAC Freedom Conference
Willamette University,D3,Bearcats,Salem,Oregon,Northwest Conference
William Paterson University,D3,Pioneers,Wayne,New Jersey,New Jersey Athletic Conference
William Peace University,D3,Pacers,Raleigh,North Carolina,USA South Athletic Conference
William Smith College,D3,Herons,Geneva,New York,Liberty League
Williams College,D3,Ephs,Williamstown,Massachusetts,New England Small College Athletic Conference
Wilmington College,D3,Quakers,Wilmington,Ohio,Ohio Athletic Conference
Wilson College,D3,Phoenix,Chambersburg,Pennsylvania,Colonial States Athletic Conference
