Gender,Year,Divison,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls,GP,Win,Loss,OREB%,DREB%,POSS,opp_POSS,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,ORtg,DRtg,NetRtg
Men,2017,D3,Marietta,150,319,53,113,81,114,434,59,154,213,72,65,33,15,102,129,305,36,112,74,107,368,42,127,169,52,57,35,11,97,5,4,1,0.32,0.79,379.15,370.825,0.48,1.1446656995911908,0.9923818512775568,0.5532915360501567,0.4819672131147541,0.17143610708162998,0.3573667711598746,0.3542319749216301,0.0889907638373896,0.04918032786885246,114.46656995911908,99.23818512775568,15.2283848313634
Women,2016,D2,King (TN),100,203,25,74,19,27,244,32,78,110,48,39,41,5,45,52,157,19,72,39,50,162,32,74,106,27,77,14,7,26,3,3,0,0.3,0.71,222.825,225.75,0.48,1.0950297318523505,0.717607973421927,0.5541871921182266,0.39171974522292996,0.17502524402558062,0.1330049261083744,0.3645320197044335,0.18161683277962348,0.03184713375796178,109.50297318523505,71.76079734219269,37.74217584304236
Women,2017,D3,Emory & Henry,68,161,11,42,34,59,181,32,71,103,35,71,31,5,54,72,178,11,42,49,69,204,41,72,113,31,55,41,11,51,3,0,3,0.31,0.63,228.02499999999998,224.77499999999998,0.5147058823529411,0.7937726126521215,0.9075742409075743,0.45652173913043476,0.4353932584269663,0.3113693673939261,0.36645962732919257,0.2608695652173913,0.13791569347124905,0.028089887640449437,79.37726126521216,90.75742409075744,-11.380162825545284
Men,2017,D1,Buffalo,71,167,27,72,57,81,226,34,70,104,23,44,14,7,90,81,160,30,64,74,107,266,23,75,98,47,28,14,11,65,3,0,3,0.31,0.75,215.475,215.825,0.323943661971831,1.0488455737324516,1.2324800185335343,0.5059880239520959,0.6,0.2042000232045481,0.48502994011976047,0.4311377245508982,0.0648673693965018,0.04375,104.88455737324516,123.24800185335343,-18.36344448010827
Women,2017,D3,New Rochelle,24,72,3,18,6,14,57,16,30,46,12,11,13,0,12,16,59,4,17,13,16,49,14,37,51,9,19,2,1,14,1,1,0,0.3,0.68,73.65,71.6,0.5,0.7739307535641547,0.6843575418994414,0.3541666666666667,0.3050847457627119,0.1493550577053632,0.19444444444444445,0.25,0.18156424581005587,0.0,77.39307535641548,68.43575418994415,8.957321166471331
Women,2017,D1,Oakwood,21,64,6,13,17,26,65,15,31,46,3,31,7,1,29,29,78,1,5,9,36,68,26,26,52,11,19,11,6,22,1,0,1,0.37,0.54,92.35,88.1,0.14285714285714285,0.7038440714672443,0.7718501702610671,0.375,0.3782051282051282,0.3356794802382242,0.40625,0.203125,0.07945516458569808,0.01282051282051282,70.38440714672443,77.1850170261067,-6.800609879382279
Women,2016,D2,Delta St.,32,95,5,13,40,51,109,22,46,68,21,31,12,2,33,37,94,12,47,17,23,103,12,47,59,23,32,9,5,46,2,1,1,0.32,0.79,128.225,124.92500000000001,0.65625,0.8500682394228894,0.8244946968180907,0.3631578947368421,0.4574468085106383,0.24176252680834473,0.5368421052631579,0.1368421052631579,0.09605763458074844,0.02127659574468085,85.00682394228895,82.44946968180908,2.557354260479869
Women,2016,D3,LeTourneau,59,142,10,31,24,32,152,34,49,83,33,25,23,6,29,53,117,9,30,18,30,133,25,52,77,36,38,11,4,29,2,2,0,0.4,0.66,148.2,144.25,0.559322033898305,1.0256410256410258,0.9220103986135182,0.4507042253521127,0.49145299145299143,0.16869095816464239,0.22535211267605634,0.21830985915492956,0.15944540727902945,0.05128205128205128,102.56410256410258,92.20103986135182,10.363062702750767
Women,2016,D3,Cazenovia,20,54,9,19,13,19,62,11,18,29,15,22,8,1,12,35,72,4,12,12,16,86,21,24,45,24,15,14,8,19,1,0,1,0.31,0.46,74.025,73.6,0.75,0.8375548801080716,1.1684782608695654,0.4537037037037037,0.5138888888888888,0.29719689294157375,0.35185185185185186,0.35185185185185186,0.10869565217391305,0.013888888888888888,83.75548801080716,116.84782608695654,-33.09233807614939
Men,2017,D1,Ball St.,94,218,33,92,44,65,265,38,108,146,48,66,29,12,61,98,235,29,91,39,65,264,40,94,134,46,52,34,14,64,4,1,3,0.29,0.73,276.875,277.875,0.5106382978723404,0.9571106094808126,0.9500674763832658,0.5068807339449541,0.4787234042553192,0.2383747178329571,0.2981651376146789,0.42201834862385323,0.10436347278452542,0.05106382978723404,95.71106094808127,95.00674763832659,0.7043133097546814
Men,2017,D3,Nichols,27,75,7,23,14,19,75,16,27,43,9,14,10,3,18,33,72,1,13,13,19,80,14,35,49,14,17,10,6,14,1,0,1,0.31,0.66,82.025,84.025,0.3333333333333333,0.9143553794574825,0.9520975900029752,0.4066666666666667,0.4652777777777778,0.1706796708320634,0.25333333333333335,0.30666666666666664,0.1190121987503719,0.041666666666666664,91.43553794574825,95.20975900029752,-3.7742210545492725
Men,2016,D1,Texas-Arlington,52,142,20,65,40,52,164,36,61,97,34,25,16,5,42,48,122,18,58,30,42,144,19,55,74,22,29,7,9,42,2,1,1,0.4,0.76,155.7,151.95,0.6538461538461539,1.0533076429030186,0.947680157946693,0.43661971830985913,0.4672131147540984,0.16056518946692358,0.36619718309859156,0.45774647887323944,0.10529779532741033,0.040983606557377046,105.33076429030186,94.7680157946693,10.562748495632562
Men,2016,D2,Georgia College,84,179,25,62,41,56,234,24,70,94,42,38,26,15,58,78,172,22,60,58,85,236,37,80,117,39,43,19,9,52,3,1,2,0.23,0.65,219.6,218.375,0.5,1.0655737704918034,1.0807097882083572,0.5391061452513967,0.5174418604651163,0.17304189435336978,0.3128491620111732,0.3463687150837989,0.11906124785346307,0.0872093023255814,106.55737704918033,108.07097882083572,-1.513601771655388
Men,2016,D1,Nebraska,78,166,20,57,25,39,201,21,60,81,34,35,22,10,61,80,149,29,60,51,69,240,22,75,97,49,40,16,8,51,3,0,3,0.22,0.73,198.525,199.775,0.4358974358974359,1.0124669437098601,1.201351520460518,0.5301204819277109,0.6342281879194631,0.17630021407883137,0.23493975903614459,0.3433734939759036,0.11012388937554748,0.06711409395973154,101.246694370986,120.13515204605181,-18.88845767506581
