Gender,Year,Divison,Team,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,opp_FGM,opp_FGA,opp_3FG,opp_3FGA,opp_FT,opp_FTA,opp_PTS,opp_ORebs,opp_DRebs,opp_Tot Reb,opp_AST,opp_TO,opp_STL,opp_BLK,opp_Fouls,GP,Win,Loss,OREB%,DREB%,POSS,opp_POSS,AST%,PPP,opp_PPP,eFG%,opp_eFG%,TOV%,FTr,3PAr,STL%,BLK%,ORtg,DRtg,NetRtg
Men,2017,D1,La.-Monroe,88,241,30,99,36,52,242,51,105,156,44,58,12,10,67,105,228,31,83,47,74,288,32,107,139,50,35,33,26,56,4,0,4,0.32,0.77,272.7,266.15,0.5,0.8874220755408875,1.0820965620890477,0.42738589211618255,0.5285087719298246,0.2126879354602127,0.2157676348547718,0.4107883817427386,0.04508735675371032,0.043859649122807015,88.74220755408875,108.20965620890478,-19.467448654816025
Women,2016,D1,Iowa St.,34,115,9,42,27,28,104,20,39,59,14,23,10,2,24,49,115,15,39,26,32,139,30,61,91,30,30,10,10,34,2,0,2,0.25,0.57,131.3,130.2,0.4117647058823529,0.792079207920792,1.0675883256528418,0.3347826086956522,0.49130434782608695,0.17517136329017516,0.24347826086956523,0.3652173913043478,0.07680491551459294,0.017391304347826087,79.20792079207921,106.75883256528418,-27.550911773204973
Men,2016,D2,Belmont Abbey,24,52,9,22,11,16,68,4,17,21,8,18,5,4,21,36,64,6,15,17,22,95,14,27,41,7,13,8,3,17,1,0,1,0.13,0.55,73.6,73.45,0.3333333333333333,0.923913043478261,1.2933968686181074,0.5480769230769231,0.609375,0.24456521739130438,0.3076923076923077,0.4230769230769231,0.06807351940095302,0.0625,92.3913043478261,129.33968686181075,-36.948382513984654
Men,2017,D2,Oakland,50,112,16,42,26,40,142,16,54,70,38,26,24,16,42,42,120,12,40,34,44,130,28,52,80,32,28,4,6,32,2,2,0,0.24,0.66,141.0,140.9,0.76,1.0070921985815602,0.9226401703335698,0.5178571428571429,0.4,0.18439716312056736,0.35714285714285715,0.375,0.170333569907736,0.13333333333333333,100.70921985815602,92.26401703335698,8.44520282479904
Women,2016,D3,St. Olaf,80,240,28,96,24,35,212,52,99,151,51,51,36,14,69,65,221,15,69,37,54,182,59,110,169,32,72,23,7,56,4,2,2,0.32,0.63,255.625,259.65,0.6375,0.8293398533007335,0.700943577893318,0.39166666666666666,0.32805429864253394,0.19951100244498776,0.14583333333333334,0.4,0.13864818024263434,0.06334841628959276,82.93398533007334,70.0943577893318,12.839627540741546
Women,2016,D1,Tennessee,71,175,6,20,38,57,186,41,79,120,26,36,18,12,60,64,185,18,49,41,54,187,48,73,121,34,32,13,10,60,3,1,2,0.36,0.62,197.075,194.65,0.36619718309859156,0.9438031206393506,0.9606986899563319,0.4228571428571429,0.3945945945945946,0.1826715717366485,0.32571428571428573,0.11428571428571428,0.09247367069098382,0.06486486486486487,94.38031206393505,96.06986899563319,-1.6895569316981351
Men,2016,D3,Mo.-St. Louis,27,53,8,20,12,15,74,8,34,42,19,20,3,1,22,23,62,3,16,9,18,58,11,21,32,11,12,13,3,16,1,1,0,0.28,0.76,72.125,71.55,0.7037037037037037,1.025996533795494,0.8106219426974144,0.5849056603773585,0.3951612903225806,0.2772963604852686,0.2830188679245283,0.37735849056603776,0.041928721174004195,0.016129032258064516,102.5996533795494,81.06219426974144,21.537459109807955
Men,2017,D3,Marywood,48,123,13,41,18,31,127,23,65,88,26,27,5,11,36,44,123,12,45,40,51,140,20,56,76,22,16,12,4,29,2,0,2,0.29,0.76,141.725,143.225,0.5416666666666666,0.8961016052213795,0.9774829813230931,0.44308943089430897,0.4065040650406504,0.190509790086435,0.25203252032520324,0.3333333333333333,0.03491010647582475,0.08943089430894309,89.61016052213795,97.7482981323093,-8.138137610171356
Men,2017,D1,Illinois,102,212,21,63,31,44,256,30,95,125,52,52,11,5,68,104,222,29,79,41,57,278,31,84,115,46,34,23,6,62,4,1,3,0.26,0.75,254.89999999999998,252.075,0.5098039215686274,1.0043154178109064,1.1028463750867799,0.5306603773584906,0.5337837837837838,0.20400156924284035,0.20754716981132076,0.2971698113207547,0.0436378062084697,0.02252252252252252,100.43154178109064,110.28463750867799,-9.853095727587345
Women,2016,D3,Skidmore,29,55,9,19,15,23,82,8,27,35,17,32,16,2,29,20,60,6,17,27,39,73,18,22,40,11,28,14,1,21,1,1,0,0.27,0.6,89.925,88.525,0.5862068965517241,0.9118710036141229,0.8246258119175374,0.6090909090909091,0.38333333333333336,0.35585209897136505,0.41818181818181815,0.34545454545454546,0.180739903981926,0.03333333333333333,91.18710036141229,82.46258119175374,8.72451916965855
Women,2017,D1,South Dakota,21,62,7,26,13,18,62,15,28,43,9,14,3,1,31,20,51,6,21,23,32,69,6,29,35,15,13,4,1,19,1,0,1,0.34,0.82,69.55,73.2,0.42857142857142855,0.8914450035945364,0.9426229508196721,0.3951612903225806,0.45098039215686275,0.201294033069734,0.2903225806451613,0.41935483870967744,0.040983606557377046,0.0196078431372549,89.14450035945364,94.26229508196721,-5.117794722513565
Women,2017,D3,Cabrini,19,63,0,10,8,14,46,15,25,40,6,19,8,5,16,21,57,2,8,13,20,57,12,30,42,10,20,13,6,16,1,0,1,0.33,0.68,73.65,74.5,0.3157894736842105,0.6245756958587916,0.7651006711409396,0.30158730158730157,0.38596491228070173,0.25797691785471827,0.2222222222222222,0.15873015873015872,0.10738255033557047,0.08771929824561403,62.457569585879156,76.51006711409396,-14.0524975282148
Women,2016,D2,Western N.M.,93,258,27,77,38,52,251,50,117,167,57,56,30,16,80,73,221,16,68,59,107,221,48,117,165,43,65,32,12,69,4,3,1,0.3,0.71,288.7,288.825,0.6129032258064516,0.8694146172497402,0.7651692201159872,0.4127906976744186,0.3665158371040724,0.1939729823346034,0.20155038759689922,0.29844961240310075,0.1038691249026227,0.07239819004524888,86.94146172497402,76.51692201159872,10.424539713375296
Men,2017,D2,Upper Iowa,45,121,9,40,36,60,135,21,59,80,16,17,8,4,36,45,125,20,51,39,45,149,18,66,84,26,21,8,2,48,2,1,1,0.24,0.77,145.5,149.375,0.35555555555555557,0.9278350515463918,0.9974895397489539,0.4090909090909091,0.44,0.11683848797250859,0.49586776859504134,0.3305785123966942,0.05355648535564853,0.032,92.78350515463917,99.7489539748954,-6.965448820256228
Men,2016,D2,Lincoln (PA),45,99,7,28,37,54,134,25,48,73,18,28,12,7,45,44,114,13,45,24,43,125,31,35,66,15,32,6,3,47,2,2,0,0.42,0.61,127.65,135.425,0.4,1.0497453975714846,0.923020121838656,0.4898989898989899,0.44298245614035087,0.21934978456717585,0.5454545454545454,0.2828282828282828,0.08860993169651098,0.06140350877192982,104.97453975714845,92.3020121838656,12.67252757328285
Men,2016,D2,Alas. Anchorage,1112,2450,328,912,947,1175,3499,461,1129,1590,622,470,225,107,749,1071,2514,353,1031,513,718,3008,426,972,1398,680,560,188,146,937,42,29,13,0.32,0.73,3017.125,2989.05,0.5593525179856115,1.1597133032274103,1.0063398069620781,0.5208163265306123,0.4962211614956245,0.15577743712971787,0.47959183673469385,0.3722448979591837,0.07527475284789481,0.042561654733492445,115.97133032274103,100.63398069620781,15.33734962653321
Men,2016,D2,Post,28,54,9,26,7,13,72,8,25,33,18,13,3,3,19,24,57,2,12,8,14,58,13,22,35,7,14,7,2,15,1,1,0,0.27,0.66,65.175,64.65,0.6428571428571429,1.1047180667433834,0.8971384377416859,0.6018518518518519,0.43859649122807015,0.19946298427311088,0.24074074074074073,0.48148148148148145,0.04640371229698376,0.05263157894736842,110.47180667433834,89.7138437741686,20.757962900169744
Women,2017,D1,Austin Peay,19,53,2,10,5,10,45,4,30,34,10,17,3,3,18,25,61,3,10,12,17,65,9,32,41,12,8,7,2,14,1,0,1,0.11,0.77,70.75,68.075,0.5263157894736842,0.6360424028268551,0.9548292324641938,0.37735849056603776,0.4344262295081967,0.24028268551236748,0.18867924528301888,0.18867924528301888,0.04406904149834741,0.04918032786885246,63.60424028268551,95.48292324641938,-31.878682963733866
Women,2017,D3,Randolph,66,171,9,26,28,43,169,32,68,100,31,62,33,7,58,87,182,21,48,32,52,227,39,81,120,56,55,27,10,45,3,0,3,0.28,0.64,221.425,222.7,0.4696969696969697,0.7632381167438184,1.01930848675348,0.41228070175438597,0.5357142857142857,0.2800045162018742,0.25146198830409355,0.15204678362573099,0.14818140996856757,0.038461538461538464,76.32381167438183,101.930848675348,-25.607037000966173
Women,2016,D2,Christian Bros.,42,114,11,36,17,24,112,18,49,67,30,27,10,5,44,39,94,16,44,33,45,127,10,56,66,28,27,11,4,26,2,0,2,0.24,0.83,134.4,132.375,0.7142857142857143,0.8333333333333333,0.959395656279509,0.4166666666666667,0.5,0.20089285714285712,0.21052631578947367,0.3157894736842105,0.07554296506137866,0.05319148936170213,83.33333333333333,95.9395656279509,-12.60623229461757
Women,2017,D2,Roberts Wesleyan,55,136,12,41,43,53,165,16,47,63,18,19,15,3,35,58,126,13,39,39,46,168,21,68,89,33,36,6,3,39,2,1,1,0.19,0.69,164.175,162.85,0.32727272727272727,1.0050251256281406,1.0316241940435984,0.4485294117647059,0.5119047619047619,0.11573016598142226,0.3897058823529412,0.3014705882352941,0.092109303039607,0.023809523809523808,100.50251256281406,103.16241940435984,-2.6599068415457765
Men,2017,D3,Hope,86,175,38,83,65,86,275,30,84,114,60,45,22,13,61,87,204,25,76,37,58,236,41,66,107,41,44,23,13,70,3,3,0,0.31,0.67,230.85000000000002,234.55,0.6976744186046512,1.191249729261425,1.0061820507354509,0.6,0.4877450980392157,0.1949317738791423,0.49142857142857144,0.4742857142857143,0.09379663184821999,0.06372549019607843,119.1249729261425,100.61820507354508,18.50676785259742
Men,2016,D2,St. Edward's,67,142,18,47,28,50,180,16,40,56,25,14,25,1,40,65,104,11,25,33,47,174,8,69,77,37,40,5,4,40,2,1,1,0.19,0.83,163.75,158.325,0.373134328358209,1.099236641221374,1.0990052108005686,0.5352112676056338,0.6778846153846154,0.08549618320610687,0.352112676056338,0.33098591549295775,0.15790304752881731,0.009615384615384616,109.92366412213741,109.90052108005686,0.02314304208054807
Women,2016,D3,Brockport,25,63,7,20,10,13,67,11,25,36,16,15,10,4,16,26,55,5,11,5,10,62,5,28,33,13,18,4,8,15,1,1,0,0.28,0.83,73.175,72.75,0.64,0.9156132558934063,0.852233676975945,0.4523809523809524,0.5181818181818182,0.20498804236419543,0.20634920634920634,0.31746031746031744,0.13745704467353953,0.07272727272727272,91.56132558934063,85.2233676975945,6.337957891746129
Women,2016,D3,Wellesley,32,108,8,31,14,28,86,24,71,95,17,58,18,5,21,40,130,12,44,15,21,107,23,60,83,24,37,30,8,32,2,1,1,0.29,0.76,155.3,153.975,0.53125,0.5537669027688344,0.6949180061698328,0.3333333333333333,0.35384615384615387,0.3734707018673535,0.25925925925925924,0.28703703703703703,0.11690209449585973,0.038461538461538464,55.376690276883444,69.49180061698328,-14.11511034009984
Men,2017,D3,Southern Va.,24,62,6,19,15,18,69,12,23,35,14,13,10,4,11,33,68,9,24,5,7,80,14,28,42,23,16,5,6,16,1,0,1,0.3,0.62,71.55,73.325,0.5833333333333334,0.9643605870020965,1.0910330719399932,0.43548387096774194,0.5514705882352942,0.1816911250873515,0.2903225806451613,0.3064516129032258,0.13637913399249915,0.058823529411764705,96.43605870020964,109.10330719399933,-12.667248493789685
Women,2016,D3,Martin Luther,622,1760,120,468,391,561,1755,448,771,1219,302,514,268,99,535,614,1628,155,553,368,560,1751,334,764,1098,332,511,299,96,532,28,14,14,0.37,0.7,2092.475,2071.0,0.4855305466237942,0.8387196979653282,0.8454852728150651,0.3875,0.42475429975429974,0.24564212236705338,0.31875,0.26590909090909093,0.1294060840173829,0.060810810810810814,83.87196979653282,84.54852728150651,-0.6765574849736851
Men,2017,D3,Occidental,61,120,5,15,13,21,140,18,46,64,31,22,12,4,38,60,115,15,33,23,39,158,17,46,63,32,19,17,0,26,2,0,2,0.28,0.73,133.975,135.525,0.5081967213114754,1.044971076693413,1.1658365615200148,0.5291666666666667,0.5869565217391305,0.1642097406232506,0.175,0.125,0.08854454897620365,0.034782608695652174,104.4971076693413,116.58365615200148,-12.086548482660177
Women,2016,D1,Mississippi St.,937,2355,184,601,524,717,2582,640,846,1486,506,539,294,176,727,720,1922,106,381,491,681,2037,424,859,1283,341,769,218,116,807,37,29,8,0.43,0.67,2594.575,2590.475,0.5400213447171825,0.9951533488143531,0.7863422731352359,0.4369426751592357,0.40218522372528615,0.20774115221182662,0.30445859872611464,0.2552016985138004,0.11349269921539486,0.09157127991675339,99.51533488143531,78.63422731352358,20.881107567911727
Men,2016,D3,Scranton,77,156,11,41,55,70,220,22,53,75,58,39,22,5,56,77,148,11,42,31,54,196,28,63,91,42,58,17,6,56,3,2,1,0.26,0.65,206.25,203.65,0.7532467532467533,1.0666666666666667,0.9624355511907684,0.5288461538461539,0.5574324324324325,0.1890909090909091,0.44871794871794873,0.26282051282051283,0.1080284802356985,0.033783783783783786,106.66666666666667,96.24355511907685,10.423111547589826
Men,2017,D3,Staten Island,35,63,6,12,11,22,87,13,35,48,15,16,7,7,20,23,56,5,20,10,20,61,3,23,26,12,16,7,2,22,1,1,0,0.36,0.92,76.45,78.5,0.42857142857142855,1.1379986919555265,0.7770700636942676,0.6031746031746031,0.45535714285714285,0.2092871157619359,0.3492063492063492,0.19047619047619047,0.08917197452229299,0.125,113.79986919555265,77.70700636942675,36.092862826125895
Women,2016,D3,Maine Maritime,82,220,16,55,46,79,226,42,113,155,60,75,23,9,75,79,246,14,60,47,74,219,56,101,157,44,59,40,21,80,4,2,2,0.29,0.67,290.525,284.15,0.7317073170731707,0.7779020738318562,0.7707196903044168,0.4090909090909091,0.34959349593495936,0.25815334308579296,0.35909090909090907,0.25,0.08094316382192504,0.036585365853658534,77.79020738318562,77.07196903044168,0.7182383527439384
Men,2016,D2,Waldorf,51,127,11,36,19,33,132,26,57,83,21,27,11,8,34,57,127,21,54,14,29,149,23,59,82,29,26,15,5,32,2,1,1,0.31,0.71,143.675,143.775,0.4117647058823529,0.9187402122846702,1.0363415058250738,0.4448818897637795,0.531496062992126,0.18792413433095526,0.25984251968503935,0.28346456692913385,0.07650843331594505,0.06299212598425197,91.87402122846702,103.63415058250737,-11.760129354040359
Women,2017,D2,Southwest Baptist,55,115,15,38,28,39,153,21,53,74,31,23,18,8,25,48,109,11,41,16,21,123,12,45,57,21,29,11,4,31,2,2,0,0.32,0.82,135.525,135.975,0.5636363636363636,1.1289429994465965,0.9045780474351903,0.5434782608695652,0.4908256880733945,0.16971038553772366,0.3391304347826087,0.33043478260869563,0.13237727523441808,0.07339449541284404,112.89429994465965,90.45780474351903,22.436495201140616
Women,2017,D1,Tulsa,60,182,17,48,22,33,159,28,94,122,33,44,12,4,57,67,193,14,64,44,66,192,42,99,141,32,31,16,16,43,3,1,2,0.22,0.69,213.675,213.35,0.55,0.744120744120744,0.899929692992735,0.37637362637362637,0.38341968911917096,0.2059202059202059,0.1813186813186813,0.26373626373626374,0.056245605812045935,0.02072538860103627,74.4120744120744,89.9929692992735,-15.580894887199094
Women,2016,D1,Notre Dame,33,64,4,9,15,24,85,11,22,33,19,13,16,6,18,21,56,4,14,8,14,54,17,27,44,10,29,4,2,22,1,1,0,0.29,0.56,77.4,74.65,0.5757575757575758,1.0981912144702841,0.7233757535164098,0.546875,0.4107142857142857,0.16795865633074933,0.375,0.140625,0.21433355659745476,0.10714285714285714,109.81912144702841,72.33757535164098,37.48154609538743
Men,2016,D1,UConn,28,56,8,20,10,16,74,10,32,42,15,12,2,2,19,18,56,8,29,16,20,60,10,21,31,8,9,3,3,16,2,1,0,0.32,0.76,65.6,64.5,0.5357142857142857,1.128048780487805,0.9302325581395349,0.5714285714285714,0.39285714285714285,0.1829268292682927,0.2857142857142857,0.35714285714285715,0.031007751937984496,0.03571428571428571,112.8048780487805,93.02325581395348,19.78162223482701
Women,2017,D1,Alabama St.,37,105,8,25,32,44,114,35,51,86,22,30,12,3,31,27,93,3,24,15,27,72,19,36,55,10,34,17,4,36,2,2,0,0.49,0.73,120.9,120.82499999999999,0.5945945945945946,0.9429280397022332,0.595903165735568,0.3904761904761905,0.3064516129032258,0.24813895781637715,0.41904761904761906,0.23809523809523808,0.09931719428926133,0.03225806451612903,94.29280397022332,59.5903165735568,34.70248739666652
Women,2017,D1,South Fla.,68,177,14,46,39,59,189,46,93,139,32,40,8,11,42,66,187,19,68,35,47,186,32,73,105,33,26,15,13,58,3,2,1,0.39,0.74,199.025,203.325,0.47058823529411764,0.949629443537244,0.9147915898192549,0.423728813559322,0.4037433155080214,0.20097977640999873,0.3333333333333333,0.2598870056497175,0.0393458748309357,0.058823529411764705,94.9629443537244,91.4791589819255,3.483785371798902
Women,2016,D1,Ole Miss,54,178,13,47,40,68,161,59,51,110,25,42,25,12,67,71,168,8,29,42,60,192,54,80,134,38,48,17,20,57,3,1,2,0.42,0.49,193.3,190.5,0.46296296296296297,0.8329022245214691,1.0078740157480315,0.3398876404494382,0.44642857142857145,0.2172788411795137,0.38202247191011235,0.2640449438202247,0.13123359580052493,0.07142857142857142,83.2902224521469,100.78740157480314,-17.497179122656235
Women,2016,D2,Rogers St.,79,209,26,73,56,74,240,46,114,160,52,67,18,13,80,70,226,15,76,55,74,210,49,91,140,32,53,24,6,77,4,4,0,0.34,0.7,265.15,265.15,0.6582278481012658,0.905148029417311,0.7920045257401471,0.44019138755980863,0.34292035398230086,0.2526871582123327,0.35406698564593303,0.3492822966507177,0.06788610220629833,0.05752212389380531,90.5148029417311,79.20045257401472,11.314350367716386
Women,2017,D3,Eastern Ore.,24,59,8,24,10,12,66,12,19,31,14,14,10,2,9,25,58,7,18,6,6,63,10,19,29,15,15,9,5,16,1,1,0,0.39,0.66,66.7,65.85,0.5833333333333334,0.9895052473763118,0.9567198177676538,0.4745762711864407,0.49137931034482757,0.2098950524737631,0.2033898305084746,0.4067796610169492,0.15186028853454822,0.034482758620689655,98.95052473763118,95.67198177676538,3.2785429608658063
Women,2016,D1,Allen,18,65,3,19,7,9,46,19,23,42,11,28,8,0,20,25,56,5,14,17,27,72,10,29,39,16,20,16,3,12,1,0,1,0.4,0.7,78.275,78.825,0.6111111111111112,0.5876716703928457,0.9134157944814462,0.3,0.49107142857142855,0.35771319067390606,0.13846153846153847,0.2923076923076923,0.1014906438312718,0.0,58.76716703928457,91.34157944814461,-32.57441240886004
Women,2016,D1,Alabama,19,50,2,9,12,20,52,11,25,36,10,20,5,2,22,21,53,3,13,16,22,61,9,20,29,10,13,8,6,20,1,0,1,0.35,0.74,68.5,67.45,0.5263157894736842,0.7591240875912408,0.9043736100815418,0.4,0.42452830188679247,0.291970802919708,0.4,0.18,0.07412898443291327,0.03773584905660377,75.91240875912408,90.43736100815418,-14.524952249030108
Women,2016,D3,Grinnell,16,65,4,24,16,28,52,17,26,43,6,7,4,3,16,27,63,4,15,11,19,69,14,37,51,18,11,4,6,19,1,0,1,0.31,0.65,68.3,69.025,0.375,0.7613469985358712,0.9996378123868163,0.27692307692307694,0.4603174603174603,0.10248901903367497,0.4307692307692308,0.36923076923076925,0.057950018109380656,0.047619047619047616,76.13469985358712,99.96378123868162,-23.829081385094497
Men,2017,D3,Blackburn,56,125,17,35,27,35,156,26,47,73,26,36,8,4,45,53,105,15,44,39,53,160,10,45,55,27,29,15,5,31,2,1,1,0.37,0.82,151.625,149.175,0.4642857142857143,1.0288540807914262,1.0725657784481313,0.516,0.5761904761904761,0.23742786479802144,0.28,0.28,0.053628288922406564,0.0380952380952381,102.88540807914262,107.25657784481312,-4.371169765670501
Men,2016,D2,Western Ore.,262,579,84,233,156,214,764,105,239,344,127,83,67,40,178,244,566,60,171,156,188,704,98,240,338,108,104,41,16,184,10,9,1,0.3,0.71,658.65,661.3,0.4847328244274809,1.159948379260609,1.0645697867836081,0.5250431778929189,0.4840989399293286,0.12601533439611326,0.3696027633851468,0.40241796200345425,0.10131559050355361,0.0706713780918728,115.9948379260609,106.45697867836081,9.537859247700084
Men,2017,D3,Maine Maritime,49,111,16,41,27,33,141,13,39,52,34,31,11,4,38,56,109,13,28,35,43,160,19,52,71,41,36,13,8,34,2,0,2,0.2,0.67,144.675,146.425,0.6938775510204082,0.9745982374287194,1.092709578282397,0.5135135135135135,0.573394495412844,0.2142733713495766,0.2972972972972973,0.36936936936936937,0.0751237835069148,0.03669724770642202,97.45982374287195,109.2709578282397,-11.811134085367755
Men,2017,D1,St. John's (NY),106,245,31,96,73,97,316,40,93,133,56,53,28,20,91,118,237,40,95,68,104,344,47,111,158,69,62,25,8,88,4,1,3,0.26,0.66,304.075,301.4,0.5283018867924528,1.0392172983638905,1.1413404114134043,0.4959183673469388,0.5822784810126582,0.17429910383951328,0.39591836734693875,0.39183673469387753,0.09289980092899802,0.08438818565400844,103.92172983638905,114.13404114134042,-10.21231130495137
Women,2016,D2,Charleston (WV),64,151,23,64,30,36,181,24,82,106,37,57,17,10,60,68,170,8,33,42,58,186,29,65,94,29,37,26,6,48,3,1,2,0.27,0.74,201.1,205.55,0.578125,0.9000497265042268,0.9048893213330089,0.5,0.4235294117647059,0.2834410740924913,0.23841059602649006,0.423841059602649,0.08270493797129652,0.058823529411764705,90.00497265042267,90.48893213330089,-0.48395948287821966
Women,2016,D1,Chattanooga,20,51,2,13,8,9,50,8,21,29,9,19,6,2,18,21,63,3,12,15,20,60,24,20,44,10,17,6,4,19,1,0,1,0.29,0.47,66.275,65.5,0.45,0.7544322897019992,0.916030534351145,0.4117647058823529,0.35714285714285715,0.2866842700867597,0.17647058823529413,0.2549019607843137,0.0916030534351145,0.031746031746031744,75.44322897019991,91.6030534351145,-16.159824464914593
Women,2017,D3,New England Col.,33,71,13,29,12,23,91,17,36,53,20,18,7,2,18,20,56,4,20,11,16,55,2,24,26,9,19,8,1,16,1,1,0,0.41,0.95,82.925,80.6,0.6060606060606061,1.097377148025324,0.6823821339950372,0.5563380281690141,0.39285714285714285,0.21706361169731686,0.323943661971831,0.4084507042253521,0.08684863523573201,0.03571428571428571,109.73771480253241,68.23821339950372,41.49950140302869
Women,2017,D2,Colorado St.-Pueblo,31,66,10,30,19,25,91,17,28,45,17,27,11,5,14,32,73,8,22,15,15,87,13,19,32,16,18,17,1,23,1,1,0,0.47,0.68,87.875,85.125,0.5483870967741935,1.035561877667141,1.0220264317180616,0.5454545454545454,0.4931506849315068,0.30725462304409673,0.3787878787878788,0.45454545454545453,0.12922173274596183,0.0684931506849315,103.55618776671409,102.20264317180616,1.3535445949079303
Women,2017,D2,Concordia Portland,165,451,40,121,115,158,485,97,181,278,88,161,57,33,153,227,491,54,139,108,161,616,102,196,298,142,119,87,22,152,8,1,7,0.33,0.64,590.05,584.475,0.5333333333333333,0.8219642403186171,1.0539372941528722,0.41019955654101997,0.5173116089613035,0.27285823235319046,0.35033259423503327,0.2682926829268293,0.09752341845245734,0.06720977596741344,82.19642403186171,105.39372941528723,-23.197305383425515
Men,2017,D1,Marquette,1000,2061,365,855,505,643,2870,304,849,1153,575,430,252,130,689,935,2033,255,699,515,732,2642,347,826,1173,561,463,220,127,603,35,21,14,0.27,0.71,2492.425,2496.7,0.575,1.1514890117054675,1.058196819802139,0.5737506065016982,0.5226266601082145,0.17252274391405958,0.311984473556526,0.4148471615720524,0.1009332318660632,0.06394490900147565,115.14890117054675,105.8196819802139,9.32921919033285
Men,2016,D3,William Peace,82,193,23,77,39,57,226,45,98,143,45,49,23,9,54,85,219,17,72,28,52,215,54,77,131,34,39,20,8,57,3,3,0,0.37,0.64,224.075,228.7,0.5487804878048781,1.0085908735914315,0.9400961958898121,0.4844559585492228,0.4269406392694064,0.21867678232734578,0.29533678756476683,0.39896373056994816,0.10056843025797989,0.0410958904109589,100.85908735914315,94.00961958898121,6.849467770161937
Women,2017,D1,Kansas,48,127,16,53,21,34,133,23,34,57,26,29,21,4,48,57,110,20,36,43,58,177,25,62,87,35,33,18,9,32,2,0,2,0.27,0.58,149.15,145.55,0.5416666666666666,0.8917197452229298,1.2160769495018893,0.4409448818897638,0.6090909090909091,0.19443513241702984,0.2677165354330709,0.41732283464566927,0.14428031604259703,0.03636363636363636,89.17197452229298,121.60769495018893,-32.435720427895944
Men,2016,D2,Northwestern Okla.,78,185,14,50,48,74,218,33,84,117,18,40,18,2,67,78,173,18,63,54,83,228,28,85,113,33,39,23,17,71,3,1,2,0.28,0.75,227.14999999999998,223.425,0.23076923076923078,0.9597182478538412,1.0204766700234977,0.4594594594594595,0.5028901734104047,0.17609509134932866,0.4,0.2702702702702703,0.08056394763343404,0.011560693641618497,95.97182478538411,102.04766700234977,-6.075842216965654
Men,2016,D2,Southern Conn. St.,64,142,8,38,22,27,158,32,48,80,36,20,10,16,26,54,123,12,34,23,27,143,22,48,70,24,25,7,6,32,2,2,0,0.4,0.69,142.825,138.825,0.5625,1.106248906003851,1.0300738339636233,0.4788732394366197,0.4878048780487805,0.14003150708909506,0.19014084507042253,0.2676056338028169,0.07203313524221143,0.13008130081300814,110.6248906003851,103.00738339636233,7.617507204022772
Men,2017,D2,California Baptist,32,63,6,17,25,30,95,15,31,46,18,19,13,1,20,20,52,4,13,16,22,60,4,19,23,6,23,10,2,21,1,1,0,0.44,0.89,81.25,81.45,0.5625,1.1692307692307693,0.7366482504604052,0.5555555555555556,0.4230769230769231,0.23384615384615384,0.47619047619047616,0.2698412698412698,0.15960712093308776,0.019230769230769232,116.92307692307693,73.66482504604052,43.258251877036415
Men,2017,D2,Ohio Valley,20,62,6,21,11,15,57,14,21,35,11,20,6,2,11,38,72,9,23,9,11,94,14,30,44,20,11,9,6,15,1,0,1,0.32,0.6,75.125,74.225,0.55,0.7587354409317804,1.266419669922533,0.3709677419354839,0.5902777777777778,0.26622296173044924,0.24193548387096775,0.3387096774193548,0.08083529808016168,0.027777777777777776,75.87354409317804,126.6419669922533,-50.76842289907526
Men,2017,D2,Seton Hill,60,114,18,32,27,38,165,16,61,77,34,19,10,12,34,51,128,17,50,11,28,130,25,46,71,22,19,11,4,35,2,2,0,0.26,0.71,135.05,135.3,0.5666666666666667,1.2217697149203997,0.9608277900960827,0.6052631578947368,0.46484375,0.14068863383931876,0.3333333333333333,0.2807017543859649,0.07390983000739097,0.09375,122.17697149203997,96.08277900960826,26.09419248243171
Men,2017,D1,San Diego St.,41,101,10,37,29,40,121,16,62,78,20,30,14,12,22,41,126,15,52,13,22,110,26,48,74,24,22,19,8,39,2,1,1,0.25,0.7,134.0,132.45,0.4878048780487805,0.9029850746268657,0.8305020762551907,0.45544554455445546,0.38492063492063494,0.22388059701492538,0.39603960396039606,0.36633663366336633,0.10570026425066063,0.09523809523809523,90.29850746268657,83.05020762551906,7.248299837167508
Men,2016,D2,Dallas Baptist,57,130,19,54,24,31,157,17,64,81,30,17,12,1,33,45,124,4,36,25,32,119,20,61,81,24,26,10,8,34,2,2,0,0.22,0.76,144.725,145.2,0.5263157894736842,1.0848160304024874,0.8195592286501377,0.5115384615384615,0.3790322580645161,0.11746415615823114,0.23846153846153847,0.4153846153846154,0.08264462809917356,0.008064516129032258,108.48160304024874,81.95592286501378,26.525680175234967
Men,2017,D1,Tulane,24,58,8,22,12,17,68,10,17,27,12,14,7,6,26,28,58,4,11,22,34,82,16,24,40,18,15,5,5,20,1,0,1,0.29,0.52,70.075,73.15,0.5,0.9703888690688548,1.1209842788790156,0.4827586206896552,0.5172413793103449,0.19978594363182303,0.29310344827586204,0.3793103448275862,0.0956937799043062,0.10344827586206896,97.03888690688548,112.09842788790156,-15.059540981016085
